edited	book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	cst_code	cst_nikaya	cst_book	cst_section	cst_vagga	cst_sutta	cst_paranum	cst_m_page	cst_v_page	cst_p_page	cst_t_page	cst_file	dpr_code	dpr_link	sc_code	sc_book	sc_vagga	sc_sutta	sc_eng_sutta	sc_blurb	sc_card_link	sc_pali_link	sc_eng_link	sc_file_path
	Dīgha Nikāya	DN	DN11	kevaṭṭasutta		dn1.11	Dīghanikāyo	Sīlakkhandhavaggapāḷi			11. Kevaṭṭasuttaṃ	481	1.0205	1.0195	1.0211	1.0273	romn/s0101m.mul.xml	DN11	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.10.0.0.m	dn11	Dīgha Nikāya 11		Kevaṭṭasutta	With Kevaḍḍha	The Buddha refuses to perform miracles, explaining that this is not the right way to inspire faith. He goes on to tell the story of a monk whose misguided quest for answers led him as far as Brahmā.	https://suttacentral.net/dn11	https://suttacentral.net/dn11/pli/ms	https://suttacentral.net/dn11/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn11_root-pli-ms.json
	Dīgha Nikāya	DN	DN12	lohiccasutta 1		dn1.12	Dīghanikāyo	Sīlakkhandhavaggapāḷi			12. Lohiccasuttaṃ	501	1.0214	1.0205	1.0224	1.0284	romn/s0101m.mul.xml	DN12	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.11.0.0.m	dn12	Dīgha Nikāya 12		Lohiccasutta	With Lohicca	A brahmin has fallen into the idea that there is no point in trying to offer spiritual help to others. The Buddha goes to see him, and persuades him of the genuine benefits of spiritual teaching.	https://suttacentral.net/dn12	https://suttacentral.net/dn12/pli/ms	https://suttacentral.net/dn12/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn12_root-pli-ms.json
	Dīgha Nikāya	DN	DN13	tevijjasutta 1		dn1.13	Dīghanikāyo	Sīlakkhandhavaggapāḷi			13. Tevijjasuttaṃ	518	1.0222	1.0214	1.0235	1.0295	romn/s0101m.mul.xml	DN13	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.0.0.0.12.0.0.m	dn13	Dīgha Nikāya 13		Tevijjasutta	Experts in the Three Vedas	A number of brahmins are discussing the true path to Brahmā. Contesting the claims to authority based on the Vedas, the Buddha insists that only personal experience can lead to the truth.	https://suttacentral.net/dn13	https://suttacentral.net/dn13/pli/ms	https://suttacentral.net/dn13/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn13_root-pli-ms.json
	Dīgha Nikāya	DN	DN14	mahāpadānasutta		dn2.1	Dīghanikāyo	Mahāvaggapāḷi			1. Mahāpadānasuttaṃ	1	2.0001	2.0001	2.0001	2.0001	romn/s0102m.mul.xml	DN14	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.0.0.0.m	dn14	Dīgha Nikāya 14		Mahāpadānasutta	The Great Discourse on Traces Left Behind	The Buddha teaches about the six Buddhas of the past, and tells a lengthy account of one of those, Vipassī.	https://suttacentral.net/dn14	https://suttacentral.net/dn14/pli/ms	https://suttacentral.net/dn14/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn14_root-pli-ms.json
	Dīgha Nikāya	DN	DN15	mahānidānasutta		dn2.2	Dīghanikāyo	Mahāvaggapāḷi			2. Mahānidānasuttaṃ	95	2.0047	2.0043	2.0055	2.0065	romn/s0102m.mul.xml	DN15	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.1.0.0.m	dn15	Dīgha Nikāya 15		Mahānidānasutta	The Great Discourse on Causation	Rejecting Venerable Ānanda’s claim to easily understand dependent origination, the Buddha presents a complex and demanding analysis, revealing hidden nuances and implications of this central teaching.	https://suttacentral.net/dn15	https://suttacentral.net/dn15/pli/ms	https://suttacentral.net/dn15/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn15_root-pli-ms.json
	Dīgha Nikāya	DN	DN16	mahāparinibbānasutta		dn2.3	Dīghanikāyo	Mahāvaggapāḷi			3. Mahāparinibbānasuttaṃ	131	2.0061	2.0056	2.0072	2.0085	romn/s0102m.mul.xml	DN16	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.2.0.0.m	dn16	Dīgha Nikāya 16		Mahāparinibbānasutta	The Great Discourse on the Buddha’s Extinguishment	The longest of all discourses, this extended narrative tells of the events surrounding the Buddha’s death. Full of vivid and moving details, it is an ideal entry point into knowing the Buddha as a person, and understanding how the Buddhist community coped with his passing.	https://suttacentral.net/dn16	https://suttacentral.net/dn16/pli/ms	https://suttacentral.net/dn16/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn16_root-pli-ms.json
	Dīgha Nikāya	DN	DN17	mahāsudassanasutta		dn2.4	Dīghanikāyo	Mahāvaggapāḷi			4. Mahāsudassanasuttaṃ	241	2.0139	2.0127	2.0169	2.0196	romn/s0102m.mul.xml	DN17	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.3.0.0.m	dn17	Dīgha Nikāya 17		Mahāsudassanasutta	King Mahāsudassana	An elaborate story of a past life of the Buddha as a legendary king who renounced all to practice meditation.	https://suttacentral.net/dn17	https://suttacentral.net/dn17/pli/ms	https://suttacentral.net/dn17/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn17_root-pli-ms.json
	Dīgha Nikāya	DN	DN18	janavasabhasutta		dn2.5	Dīghanikāyo	Mahāvaggapāḷi			5. Janavasabhasuttaṃ	273	2.0162	2.0148	2.02	2.0229	romn/s0102m.mul.xml	DN18	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.4.0.0.m	dn18	Dīgha Nikāya 18		Janavasabhasutta	With Janavasabha	Beginning with an account of the fates of disciples who had recently passed away, the scene shifts to a discussion of Dhamma held by the gods.	https://suttacentral.net/dn18	https://suttacentral.net/dn18/pli/ms	https://suttacentral.net/dn18/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn18_root-pli-ms.json
	Dīgha Nikāya	DN	DN19	mahāgovindasutta		dn2.6	Dīghanikāyo	Mahāvaggapāḷi			6. Mahāgovindasuttaṃ	293	2.0178	2.0162	2.022	2.0252	romn/s0102m.mul.xml	DN19	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.5.0.0.m	dn19	Dīgha Nikāya 19		Mahāgovindasutta	The Great Steward	A minor deity informs the Buddha of the conversations and business of the gods.	https://suttacentral.net/dn19	https://suttacentral.net/dn19/pli/ms	https://suttacentral.net/dn19/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn19_root-pli-ms.json
	Dīgha Nikāya	DN	DN20	mahāsamayasutta		dn2.7	Dīghanikāyo	Mahāvaggapāḷi			7. Mahāsamayasuttaṃ	331	2.0203	2.0185	2.0253	2.0287	romn/s0102m.mul.xml	DN20	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.6.0.0.m	dn20	Dīgha Nikāya 20		Mahāsamayasutta	The Great Congregation	When deities from all realms gather in homage to the Buddha, he gives a series of verses describing them. These verses, which are commonly chanted in Theravadin countries, give one of the most detailed descriptions of the deities worshiped at the the time of the Buddha.	https://suttacentral.net/dn20	https://suttacentral.net/dn20/pli/ms	https://suttacentral.net/dn20/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn20_root-pli-ms.json
	Dīgha Nikāya	DN	DN21	sakkapañhasutta 1	sakkapañha	dn2.8	Dīghanikāyo	Mahāvaggapāḷi			8. Sakkapañhasuttaṃ	344	2.0211	2.0194	2.0264	2.0298	romn/s0102m.mul.xml	DN21	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.7.0.0.m	dn21	Dīgha Nikāya 21		Sakkapañhasutta	Sakka’s Questions	After hearing a love song from a god of music, the Buddha engages in a deep discussion with Sakka on the conditioned origin of attachment and suffering.	https://suttacentral.net/dn21	https://suttacentral.net/dn21/pli/ms	https://suttacentral.net/dn21/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn21_root-pli-ms.json
	Dīgha Nikāya	DN	DN22	mahāsatipaṭṭhānasutta 1		dn2.9	Dīghanikāyo	Mahāvaggapāḷi			9. Mahāsatipaṭṭhānasuttaṃ	372	2.0231	2.0214	2.029	2.0325	romn/s0102m.mul.xml	DN22	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.8.0.0.m	dn22	Dīgha Nikāya 22		Mahāsatipaṭṭhānasutta	The Longer Discourse on Mindfulness Meditation	The Buddha details the seventh factor of the noble eightfold path, mindfulness meditation. This discourse is essentially identical to MN 10, with the addition of an extended section on the four noble truths derived from MN 141.	https://suttacentral.net/dn22	https://suttacentral.net/dn22/pli/ms	https://suttacentral.net/dn22/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn22_root-pli-ms.json
	Dīgha Nikāya	DN	DN23	pāyāsisutta		dn2.10	Dīghanikāyo	Mahāvaggapāḷi			10. Pāyāsisuttaṃ	406	2.0253	2.0237	2.0316	2.0352	romn/s0102m.mul.xml	DN23	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.1.0.0.9.0.0.m	dn23	Dīgha Nikāya 23		Pāyāsisutta	With Pāyāsi	This is a long and entertaining debate between a monk and a skeptic, who went to elaborate and bizarre lengths to prove that there is no such thing as an afterlife. The discourse contains a colorful series of parables and examples.	https://suttacentral.net/dn23	https://suttacentral.net/dn23/pli/ms	https://suttacentral.net/dn23/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn23_root-pli-ms.json
	Dīgha Nikāya	DN	DN24	pāthikasutta		dn3.1	Dīghanikāyo	Pāthikavaggapāḷi			1. Pāthikasuttaṃ	1	3.0001	3.0001	3.0001	3.0001	romn/s0103m.mul.xml	DN24	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.0.0.0.m	dn24	Dīgha Nikāya 24		Pāthikasutta	About Pāṭikaputta	When Sunakkhatta threatens to disrobe, the Buddha is unimpressed. Rejecting showy displays of asceticism or wondrous powers, he demonstrates his pre-eminence.	https://suttacentral.net/dn24	https://suttacentral.net/dn24/pli/ms	https://suttacentral.net/dn24/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn24_root-pli-ms.json
	Dīgha Nikāya	DN	DN25	udumbarikasutta		dn3.2	Dīghanikāyo	Pāthikavaggapāḷi			2. Udumbarikasuttaṃ	49	3.003	3.0026	3.0036	3.0038	romn/s0103m.mul.xml	DN25	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.1.0.0.m	dn25	Dīgha Nikāya 25		Udumbarikasutta	The Lion’s Roar at the Monastery of Lady Udumbarikā	This discourse gives a specially good example of dialog between religions. The Buddha insists that he is not interested to make anyone give up their teacher or practices, but only to help people let go of suffering.	https://suttacentral.net/dn25	https://suttacentral.net/dn25/pli/ms	https://suttacentral.net/dn25/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn25_root-pli-ms.json
	Dīgha Nikāya	DN	DN26	cakkavattisutta 1		dn3.3	Dīghanikāyo	Pāthikavaggapāḷi			3. Cakkavattisuttaṃ	80	3.0048	3.0042	3.0058	3.0062	romn/s0103m.mul.xml	DN26	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.2.0.0.m	dn26	Dīgha Nikāya 26		Cakkavattisutta	The Wheel-Turning Monarch	In illustration of his dictum that one should rely on oneself, the Buddha gives a detailed account of the fall of a kingly lineage of the past, and the subsequent degeneration of society. This process, however, is not over, as the Buddha predicts that eventually society will fall into utter chaos. But far in the future, another Buddha, Metteyya, will arise in a time of peace and plenty.	https://suttacentral.net/dn26	https://suttacentral.net/dn26/pli/ms	https://suttacentral.net/dn26/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn26_root-pli-ms.json
	Dīgha Nikāya	DN	DN27	aggaññasutta		dn3.4	Dīghanikāyo	Pāthikavaggapāḷi			4. Aggaññasuttaṃ	111	3.0066	3.0059	3.008	3.0087	romn/s0103m.mul.xml	DN27	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.3.0.0.m	dn27	Dīgha Nikāya 27		Aggaññasutta	What Came First	In contrast with the brahmin’s self-serving mythologies of the past, the Buddha presents an account of evolution that shows how human choices are an integral part of the ecological balance, and how excessive greed destroys the order of nature.	https://suttacentral.net/dn27	https://suttacentral.net/dn27/pli/ms	https://suttacentral.net/dn27/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn27_root-pli-ms.json
	Dīgha Nikāya	DN	DN28	sampasādanīyasutta		dn3.5	Dīghanikāyo	Pāthikavaggapāḷi			5. Sampasādanīyasuttaṃ	141	3.0082	3.0073	3.0099	3.0108	romn/s0103m.mul.xml	DN28	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.4.0.0.m	dn28	Dīgha Nikāya 28		Sampasādanīyasutta	Inspiring Confidence	Shortly before he passes away, Venerable Sāriputta visits the Buddha and utters a moving eulogy of his great teacher.	https://suttacentral.net/dn28	https://suttacentral.net/dn28/pli/ms	https://suttacentral.net/dn28/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn28_root-pli-ms.json
	Dīgha Nikāya	DN	DN29	pāsādikasutta		dn3.6	Dīghanikāyo	Pāthikavaggapāḷi			6. Pāsādikasuttaṃ	164	3.0097	3.0087	3.0117	3.0128	romn/s0103m.mul.xml	DN29	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.5.0.0.m	dn29	Dīgha Nikāya 29		Pāsādikasutta	An Impressive Discourse	Following the death of Nigaṇṭha Nātaputta, the leader of the Jains, the Buddha emphasizes the stability and maturity of his own community. He encourages the community to come together after his death and recite the teachings in harmony.	https://suttacentral.net/dn29	https://suttacentral.net/dn29/pli/ms	https://suttacentral.net/dn29/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn29_root-pli-ms.json
	Dīgha Nikāya	DN	DN30	lakkhaṇasutta 1		dn3.7	Dīghanikāyo	Pāthikavaggapāḷi			7. Lakkhaṇasuttaṃ	198	3.0117	3.0106	3.0142	3.0157	romn/s0103m.mul.xml	DN30	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.6.0.0.m	dn30	Dīgha Nikāya 30		Lakkhaṇasutta	The Marks of a Great Man	This presents the brahmanical prophecy of the Great Man, and explains the 32 marks in detail. This discourse contains some of the latest and most complex verse forms in the canon.	https://suttacentral.net/dn30	https://suttacentral.net/dn30/pli/ms	https://suttacentral.net/dn30/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn30_root-pli-ms.json
	Dīgha Nikāya	DN	DN31	siṅgālasutta 1		dn3.8	Dīghanikāyo	Pāthikavaggapāḷi			8. Siṅgālasuttaṃ	242	3.0146	3.0136	3.018	3.0194	romn/s0103m.mul.xml	DN31	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.7.0.0.m	dn31	Dīgha Nikāya 31		Siṅgālasutta	Advice to Sigālaka	The Buddha encounters a young man who honors his dead father by performing rituals. The Buddha recasts the meaningless rites in terms of virtuous conduct. This is the most detailed discourse on ethics for lay people.	https://suttacentral.net/dn31	https://suttacentral.net/dn31/pli/ms	https://suttacentral.net/dn31/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn31_root-pli-ms.json
	Dīgha Nikāya	DN	DN32	āṭānāṭiyasutta		dn3.9	Dīghanikāyo	Pāthikavaggapāḷi			9. Āṭānāṭiyasuttaṃ	275	3.0158	3.0147	3.0194	3.0208	romn/s0103m.mul.xml	DN32	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.8.0.0.m	dn32	Dīgha Nikāya 32		Āṭānāṭiyasutta	The Āṭānāṭiya Protection	Mighty spirits hold a congregation, and warn the Buddha that, since not all spirits are friendly, the mendicants should learn verses of protection.	https://suttacentral.net/dn32	https://suttacentral.net/dn32/pli/ms	https://suttacentral.net/dn32/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn32_root-pli-ms.json
	Dīgha Nikāya	DN	DN33	saṅgītisutta		dn3.10	Dīghanikāyo	Pāthikavaggapāḷi			10. Saṅgītisuttaṃ	296	3.0175	3.0166	3.0207	3.0222	romn/s0103m.mul.xml	DN33	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.9.0.0.m	dn33	Dīgha Nikāya 33		Saṅgītisutta	Reciting in Concert	The Buddha encourages Venerable Sāriputta to teach the mendicants, and he offers an extended listing of Buddhist doctrines arranged in numerical sequence.	https://suttacentral.net/dn33	https://suttacentral.net/dn33/pli/ms	https://suttacentral.net/dn33/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn33_root-pli-ms.json
	Dīgha Nikāya	DN	DN34	dasuttarasutta		dn3.11	Dīghanikāyo	Pāthikavaggapāḷi			11. Dasuttarasuttaṃ	350	3.0227	3.0217	3.0272	3.0288	romn/s0103m.mul.xml	DN34	https://www.digitalpalireader.online/_dprhtml/index.html?loc=d.2.0.0.10.0.0.m	dn34	Dīgha Nikāya 34		Dasuttarasutta	Up to Ten	This is similar to the previous, but with a different manner of exposition. These two discourses anticipate some of the methods of the Abhidhamma.	https://suttacentral.net/dn34	https://suttacentral.net/dn34/pli/ms	https://suttacentral.net/dn34/en/sujato	sc_bilara_data/root/pli/ms/sutta/dn/dn34_root-pli-ms.json
																													
	Majjhima Nikāya	MN	MN1	mūlapariyāyasutta		mn1.1.1	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		1. Mūlapariyāyavaggo	1. Mūlapariyāyasuttaṃ	1	1.0001	1.0001	1.0001	1.0001	romn/s0201m.mul.xml	MN1	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.0.0.0.m	mn1	Majjhima Nikāya 1		Mūlapariyāyasutta	The Root of All Things	The Buddha examines how the notion of a permanent self emerges from the process of perception. A wide range of phenomena are considered, embracing both naturalistic and cosmological dimensions. An unawakened person interprets experience in terms of a self, while those more advanced have the same experiences without attachment.	https://suttacentral.net/mn1	https://suttacentral.net/mn1/pli/ms	https://suttacentral.net/mn1/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn1_root-pli-ms.json
	Majjhima Nikāya	MN	MN2	sabbāsavasutta		mn1.1.2	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		1. Mūlapariyāyavaggo	2. Sabbāsavasuttaṃ	14	1.0008	1.0009	1.0006	1.0011	romn/s0201m.mul.xml	MN2	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.0.1.0.m	mn2	Majjhima Nikāya 2		Sabbāsavasutta	All the Defilements	The diverse problems of the spiritual journey demand a diverse range of responses. Rather than applying the same solution to every problem, the Buddha outlines seven methods of dealing with defilements, each of which works in certain cases.	https://suttacentral.net/mn2	https://suttacentral.net/mn2/pli/ms	https://suttacentral.net/mn2/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn2_root-pli-ms.json
	Majjhima Nikāya	MN	MN3	dhammadāyādasutta		mn1.1.3	Majjhimanikāyo	Mūlapaṇṇāsapāḷi		1. Mūlapariyāyavaggo	3. Dhammadāyādasuttaṃ	29	1.0015	1.0016	1.0012	1.002	romn/s0201m.mul.xml	MN3	https://www.digitalpalireader.online/_dprhtml/index.html?loc=m.0.0.0.0.2.0.m	mn3	Majjhima Nikāya 3		Dhammadāyādasutta	Heirs in the Teaching	Some of the Buddha’s students inherit from him only material profits and fame. But his true inheritance is the spiritual path, the way of contentment. Venerable Sāriputta explains how by following the Buddha’s example we can experience the fruits of the path.	https://suttacentral.net/mn3	https://suttacentral.net/mn3/pli/ms	https://suttacentral.net/mn3/en/sujato	sc_bilara_data/root/pli/ms/sutta/mn/mn3_root-pli-ms.json
