"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"
"√ādā"	""	"･"	"3"	"ya"	"take, seize"	"√dā"	"give"	"1, 2, 3, 4"	"ādiyati, samādapeti, anupādiya, samādāna, upādāna"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ā-dā"	"gahaṇe"	"taking"	"-"	"-"	"-"	""	"√"
"√āp"	""	"×"	"4"	"uṇu, uṇā"	"be wet"	"ap"	"water"	"-"	"āpo, dīpa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"āpa"	"byāpane"	"pervading"	"āp ḷ"	"vyāptau"	"covering, pervading"	""	"√"
"√ās"	""	"･"	"1"	"a"	"sit"	"√ās"	"sit"	"2"	"payirupāsati, acchati, āsana, upāsaka"	"299"	"āsa"	"upavesane"	"sitting"	"470"	"āsa"	"upasevane"	"sitting"	"āsa"	"upavesane"	"sitting"	"ās a"	"upaveśane"	"sitting down"	""	"√"
"√i 1"	""	"･"	"1"	"a"	"come, go"	"√i"	"go"	"1, 2"	"eti, ehi, vīta, paccaya, accayena, abhisamecca"	"354"	"i"	"ajjhena-<b>gati</b>-kantisu"	"studying, <b>going</b> and desiring"	"580"	"i"	"ajjhāne <b>gatimhi</b> ca"	"teaching and <b>going</b>"	"i"	"gatiyaṃ"	"going"	"i ṇ"	"gatau"	"going"	""	"√"
"√i 2"	""	"･"	"1"	"a"	"study, recite"	"adhi√i"	"learn"	"1, 2"	"ajjhāyaka, ajjhayana"	"354"	"i"	"<b>ajjhena</b>-gati-kantisu"	"<b>studying</b>, going and liking"	"580"	"i"	"<b>ajjhāne</b> gatimhi ca"	"<b>teaching</b> and going"	"i"	"ajjhayane"	"reciting, learning"	"i ṅ"	"adhyayane"	"reading, studying, reciting"	""	"√"
"√ikkh"	""	"･"	"1"	"a"	"see, mark"	"√īkṣ"	"see"	"1"	"paccavekkhati, anupekkhati, upekkhā"	"15"	"ikkha"	"dassane"	"seeing"	"19"	"ikkho"	"dassana-aṃkesu"	"seeing and marking"	"ikkha"	"dassan-aṅkesu"	"seeing and marking"	"īkṣ a"	"darśane"	"seeing, looking at"	""	"√"
"√iñj"	""	"･"	"1"	"a"	"move, shake"	"√iṅg"	"stir"	"1"	"samiñjati, āviñjati, samiñjita"	"-"	"-"	"-"	"-"	"78"	"iñja"	"kampane"	"trembling, moving"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√idh"	""	"･"	"3"	"ya"	"succeed, accomplish"	"√ṛdh"	"thrive"	"2, 4, 5, 6, 7"	"samijjhati"	"418"	"idha"	"saṃsiddhiyaṃ"	"succeeding"	"249"	"idha"	"siddhimhi"	"succeeding"	"idha"	"vuddhiyaṃ"	"increasing, growing"	"ṛdh u"	"vṛddhau"	"increasing, succeeding"	"related to √edh"	"√"
"√indh"	""	"×"	"2"	"ṃa"	"fire, burn"	"√indh √idh"	"kindle"	"1, 7"	"iṭṭhakā"	"173"	"indha / inda"	"dittiyaṃ"	"shining"	"252"	"indha"	"dittiyaṃ"	"shining"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√is"	""	"･"	"1"	"a"	"wish for"	"√iṣ"	"seek, desire"	"1, 4, 6, 9"	"icchati, icchā"	"295"	"isa"	"icchāyaṃ"	"wishing"	"434"	"isu"	"icchāyaṃ"	"wishing"	"isu"	"icchāyaṃ"	"wishing"	"iṣ a"	"icchāyaṃ"	"wishing"	""	"√"
"√iss"	""	"･"	"1"	"a"	"be envious, be jealous"	"√īrṣy"	"be jealous"	"1"	"issā"	"312"	"issa"	"issāyaṃ"	"being jealous, envious"	"460"	"issa"	"issāyaṃ"	"being jealous"	"issa"	"issāyaṃ"	"jealously, envy"	"īrṣy a"	"īrṣyārthaḥ"	"being envious, jealous"	""	"√"
"√īr 1"	""	"･"	"1"	"a"	"move, shake"	"√īr"	"set in motion"	"1, 2"	"īrati"	"-"	"-"	"-"	"-"	"556"	"iriya"	"vattane"	"moving, continuing"	"īra"	"vacane <b>gati-kampanesu ca</b>"	"saying, <b>going and trembling</b>"	"īr a"	"gatau kampane ca"	"going and shaking"	""	"√"
"√īr 2"	""	"･"	"8"	"e, aya"	"speak"	"√īr"	"set in motion"	"1, 2"	"īreti, udīraṇa"	"-"	"-"	"-"	"-"	"848"	"īra"	"vācā-pakampane"	"speaking and shaking"	"īra"	"khepane gatiyaṃ ca"	"throwing, casting and going"	"īr a"	"kṣepe"	"throwing"	""	"√"
"√īs"	""	"×"	"3"	"ya"	"have power"	"√īś"	"be master"	"1, 2"	"issara"	"449"	"īsa"	"issariye"	"ruling"	"-"	"-"	"-"	"-"	"īsa 1"	"issariye"	"supremacy, domination (issarabhāva)"	"īś a"	"aiśvarye"	"being supreme"	""	"√"
"√īh"	""	"･"	"1"	"a"	"strive"	"√īh"	"be eager"	"1"	"īhati"	"347"	"īha"	"ghaṭane"	"striving"	"502"	"īha"	"ghaṭane"	"striving"	"īha"	"cetāyaṃ"	"striving, exerting, urging"	"īh a"	"ceṣṭāyām"	"endeavouring"	""	"√"
"√uc"	""	"×"	"3"	"ya"	"comfort"	"√uc"	"be pleased"	"4"	"oka"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√uj"	""	"×"	"1"	"a"	"be straight"	"√ubj √ṛñj"	"force"	"6"	"uju"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"uju"	"ajjave"	"being straight"	"ubj a"	"ārjave"	"straightness"	""	"√"
"√ujjh"	""	"･"	"1"	"a"	"leave, discard"	"√ujh √ujjh"	"forsake"	"6"	"ujjhati, ujjhita"	"83"	"ujjha"	"ussagge"	"throwing away"	"101"	"ujjha"	"ussagge"	"throwing away"	"ujjha"	"ussagge"	"throwing away"	"ujjh a"	"utsarge"	"throwing aside"	"alternative form of <i>ud √hā</i> abandon"	"√"
"√uñch"	""	"･"	"1"	"a"	"glean"	"√uñch"	"glean"	"1, 6"	"uñchati, uñcha"	"52"	"uñcha"	"uñche"	"gleaning"	"66"	"uñcha"	"uñchane"	"gleaning"	"uchi"	"uñche"	"searching, seeking"	"uch i"	"uñche"	"gleaning"	""	"√"
"√ud"	""	"･"	"2"	"ṃa"	"be wet"	"√und √ud"	"wet"	"6, 7"	"samudda, udaka, odana"	"-"	"-"	"-"	"-"	"200"	"udi"	"sava-kiledane"	"flowing and being wet"	"udi"	"pasava-kiledanesu"	"flowing and wetness"	"und ī"	"kledane"	"being wet"	""	"√"
"√udrabh"	""	"･"	"1"	"a"	"eat"	"-"	"-"	"-"	"udrabheyyuṃ"	"212"	"udrabha"	"adane"	"eating"	"311"	"udrabha"	"adane"	"eating"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√us"	""	"×"	"6"	"ṇhā"	"be hot"	"√uṣ"	"burn"	"1, 9"	"uṇha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"usa"	"dāhe"	"burning"	"uṣ u"	"dāhe"	"burning"	""	"√"
"√usūy"	""	"･"	"1"	"a"	"be irritated, be jealous"	"√īrṣy"	"be jealous"	"1"	"usūyati"	"238"	"sūya"	"dosāvikaraṇe"	"causing anger"	"342"	"usūya"	"dosāvikaraṇe"	"causing anger"	"-"	"-"	"-"	"-"	"-"	"-"	"= √iss"	"√"
"√ej"	""	"･"	"1"	"a"	"move, shake"	"√ej"	"stir"	"1"	"aneja, ejati, ejā"	"82"	"eja"	"kampane"	"trembling"	"75"	"eja"	"kampane"	"trembling, moving"	"eja"	"kampane"	"trembling"	"ej ṛ"	"kampane"	"trembling, shaking"	"related to √iñj"	"√"
"√edh"	""	"･"	"1"	"a"	"flourish, prosper"	"√edh"	"thrive"	"1"	"edhati"	"-"	"-"	"-"	"-"	"240"	"edha"	"vuddhiyaṃ"	"increasing, prospering"	"edha"	"vuddhiyaṃ lābhe ca"	"increasing, growing and gaining, acquiring"	"edh a"	"vṛddhau"	"increasing"	"related to √edh"	"√"
"√es"	""	"･"	"1"	"a"	"seek, search"	"√iṣ"	"seek, desire"	"1, 4, 6, 9"	"esati, esinī, anvesaṃ"	"297"	"esa"	"maggane"	"seeking, searching"	"-"	"-"	"-"	"-"	"esu"	"gatiyaṃ"	"going"	"eṣ ṛ"	"gatau"	"going"	""	"√"
"√op"	""	"･"	"8"	"e, aya"	"placing"	"-"	"-"	"-"	"opiya, opeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"opa"	"thapane"	"placing, putting"	"-"	"-"	"-"	""	"√"
"√kaṅkh 1"	""	"･"	"1"	"a"	"wish for"	"√kāṅkṣ"	"desire"	"1"	"abhikaṅkhati, ākaṅkamāna"	"20"	"kaṃkha"	"icchāyaṃ"	"wishing"	"21"	"kaṃkha"	"kaṃkhane"	"desiring"	"kakhi 1"	"iccāyaṃ"	"wishing"	"-"	"-"	"-"	""	"√"
"√kaṅkh 2"	""	"･"	"1"	"a"	"doubt"	"√śaṅk"	"doubt"	"1"	"kaṅkhati, kaṅkhā"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kakhi 1"	"kaṅkhāyaṃ"	"doubting"	"kākṣ i"	"kāṅkṣāyām"	"doubting"	"sk root doesnt exist"	"√"
"√kac"	""	"･"	"8"	"e, aya"	"shine, bind"	"√kac √kañc"	"shine, bind"	"1"	"ukkācita"	"-"	"-"	"-"	"-"	"767"	"kaca"	"dittiyaṃ"	"shining"	"kaca"	"dittiyaṃ"	"shining"	"-"	"-"	"-"	""	"√"
"√kañc 1"	""	"×"	"1"	"a"	"bind, cover"	"√kac √kañc"	"bind"	"1"	"kañcuka"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kaca"	"bandhane"	"binding"	"kac a"	"bandhane"	"binding"	""	"√"
"√kañc 2"	""	"×"	"1"	"a"	"shine"	"√kac √kañc √kānc"	"shine"	"1"	"kañcana"	"-"	"-"	"-"	"-"	"58"	"kaci"	"dittiyaṃ"	"shining"	"kaca"	"dittiyaṃ"	"shining"	"-"	"-"	"-"	""	"√"
"√kaṭh 1"	""	"･"	"2"	"ṃa"	"live in distress"	"√kaṭh"	"live in distress"	"1"	"ukkaṇṭhati"	"563n"	"kaṇṭha (8)"	"soke"	"grieving"	"134"	"kaṭhi (1)"	"soke"	"grieving"	"kaṭha (1)"	"kicchajīvane"	"difficult or painful living"	"kaṭh a"	"kṛcchrajīvane"	"living in distress"	""	"√"
"√kaṭh 2"	""	"･"	"1"	"a"	"boil, burn"	"√kvath"	"boil"	"1"	"kaṭhita"	"-"	"-"	"-"	"-"	"132"	"kaṭha"	"sosana-pākesu"	"drying and cooking"	"katha"	"nippāke"	"cooking"	"kvath e"	"niṣpāke"	"cooking"	""	"√"
"√kaḍḍh"	""	"･"	"1"	"a"	"drag, plough"	"√kṛṣ"	"drag, plough"	"1, 6"	"upakaḍḍhati"	"110"	"kaḍḍha"	"kaḍḍhane"	"pulling, dragging"	"161"	"kaḍḍha"	"kaḍḍhane"	"dragging"	"kaḍḍha"	"ākaḍḍhane"	"pulling, dragging"	"-"	"-"	"-"	""	"√"
"√kaṇ"	"kan"	"×"	"1"	"a"	"make sound"	"√kaṇ"	"sound, cry"	"1"	"kaṇṭha"	"117"	"kaṇa"	"saddatthā"	"making sound"	"171"	"kaṇa"	"sadde"	"making sound"	"kaṇa"	"sadde"	"making sound"	"kaṇ a"	"śabdārthaḥ"	"making sound"	""	"√"
"√kaṇḍ"	""	"･"	"8"	"e, aya"	"break, pierce"	"√kaḍ √kaṇḍ"	"separate, destroy"	"10"	"kaṇḍa"	"564"	"kaṇḍa"	"bhedane"	"breaking"	"794"	"kaḍi"	"bhedane"	"breaking"	"kaḍi"	"chede"	"cutting"	"kaḍ i"	"bhedane"	"breaking"	""	"√"
"√kat"	""	"･"	"2"	"ṃa"	"cut"	"√kṛt"	"cut"	"1, 6"	"kantati, kaṇṭaka"	"380"	"kata"	"chedane"	"cutting"	"614"	"kati"	"chede"	"cutting, destroying"	"kati"	"chedane"	"cutting"	"kṛt ī"	"chedane"	"cutting"	"related to English 'cut'?"	"√"
"√katth"	""	"･"	"1"	"a"	"boast"	"√katth"	"boast"	"1"	"akatthamāna"	"128"	"kattha"	"silāghāyaṃ"	"boasting"	"182"	"kattha"	"silāghāyaṃ"	"boasting"	"kattha"	"silāghāyaṃ"	"praising"	"katth a"	"ślāghāyām"	"boasting"	""	"√"
"√kath"	""	"･"	"8"	"e, aya"	"speak, narrate"	"√kath"	"talk"	"10"	"katheti, kathayati, kathā, kacchamāna"	"582"	"katha"	"vākyappabandhane"	"narrating"	"816"	"katha"	"vākyappabandhe ca"	"connected talking, narrating"	"katha"	"vākyapabandhe"	"connected talking, narrating"	"kath a"	"vaakyaprabandhe"	"connected talking, narrating"	""	"√"
"√kan"	""	"×"	"1"	"a"	"shine, like"	"√kan"	"be pleased, enjoy"	"4"	"kaññā"	"177"	"kana"	"ditti-gati-kantisu"	"shining, going and desiring"	"257"	"kana"	"ditti-gati-kantīsu"	"shining, going and liking"	"kana"	"ditti-kantīsu"	"shining and desire, wish"	"kan ī"	"dīpti-kānti-gatiṣu"	"shining, going and liking"	""	"√"
"√kand"	"kkand"	"･"	"1"	"a"	"wail, cry out"	"√krand √kand"	"cry out"	"1"	"kandati, kandana"	"138"	"kanda"	"avhāna-rodanesu"	"calling and crying"	"213"	"kanda"	"avhāne rodane ca"	"calling and crying"	"kadi"	"avhāne rodane ca"	"calling and crying"	"kad i
krad i"	"āhvāne rodane ca
āhvāne rodane ca"	"calling and crying"	""	"√"
"√kap"	""	"×"	"1"	"a"	"take pity"	"√kṛp"	"lament"	"1, 6"	"kapaṇa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kapa"	"karuṇāyaṃ"	"taking pity"	"kṛp a"	"kṛpāyāṃ gatau ca"	"mourning and going"	""	"√"
"√kapp 1"	""	"･"	"1"	"a"	"be fit, be suitable"	"√kḷp"	"be adapted"	"1"	"kappati, kappa, kappiya"	"195"	"kappa"	"sāmatthiye"	"being able"	"273"	"kappa"	"sāmatthe"	"being able, being capable"	"kapu"	"sāmatthiye"	"being suitable"	"kṛp ū"	"sāmarthye"	"being appropriate, suitable"	""	"√"
"√kapp 2"	""	"･"	"8"	"e, aya"	"think"	"√kḷp"	"be adapted"	"1"	"saṅkappa"	"601"	"kappa"	"vitakke"	"thinking, considering"	"839"	"kappa"	"vitakke"	"thinking"	"kappa"	"<b>vitakke</b> vidhimhi chedane ca"	"<b>thinking</b>, doing and cutting"	"-"	"-"	"-"	""	"√"
"√kam 1"	"kkam"	"･"	"1"	"a"	"go"	"√kram"	"stride"	"1, 4"	"pakkamati, upasaṅkamitvā, caṅkamati, kanta, caṅkama"	"217"	"kama"	"padavikkhepe"	"walking"	"313"	"kamū"	"padavikkhepe"	"moving feet"	"kamu"	"padavikkhepe"	"moving feet"	"kram u"	"pādavikṣepe"	"moving feet"	""	"√"
"√kam 2"	""	"･"	"8"	"e, aya"	"desire"	"√kam"	"love"	"3, 5"	"kāmeti, kāma, kanta"	"603"	"kama"	"icchāyaṃ"	"wishing"	"844"	"kamu"	"icchāya-kantimhi"	"wishing and desiring"	"kamu"	"icchā-kantīsu"	"wishing and delighting"	"kam u"	"kāntau"	"desiring, being pleased"	""	"√"
"√kamp"	""	"･"	"1"	"a"	"shake, tremble"	"√kamp"	"tremble"	"1"	"kampati, kampita, okampetvā"	"186"	"kampa"	"calane"	"trembling, shaking"	"272"	"kapi"	"kiñcicale"	"something shaking"	"kapa 8"	"avakampane"	"shaking"	"kṛp a"	"avakalkane"	"mixing together"	""	"√"
"√kar"	""	"･"	"7"	"o, yira"	"do, make"	"√kṛ"	"make"	"1, 2, 5, 8"	"karoti, kara, kamma"	"526"	"kara"	"karaṇe"	"doing"	"740"	"kara"	"karaṇasmiṃ"	"doing, making"	"kara"	"karaṇe"	"doing, making"	"ḍu kṛ ñ"	"karaṇe"	"doing, making"	""	"√"
"√kal 1"	""	"×"	"8"	"e, aya"	"spend time"	"√kal"	"drive, produce"	"10"	"kāla"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kala"	"khepe"	"spend time"	"kal a"	"kṣepe"	"spending time"	"in reality from <i>kāla</i>"	"√"
"√kal 2"	""	"×"	"8"	"e, aya"	"accomplish"	"√kal"	"drive, produce"	"10"	"kalla"	"613"	"kala"	"saṃkhyāne"	"calculating"	"856"	"kala"	"saṃkalanādisu"	"addition etc"	"kala"	"<b>gati</b>-saṅkhyānesu"	"<b>going</b> and calculating"	"kal a"	"<b>gatau</b> saṃkhyāne ca"	"<b>going</b> and calculating"	""	"√"
"√kal 3"	""	"×"	"1"	"a"	"calculate, add"	"√kal"	"drive, produce"	"10"	"kalā, sakala"	"-"	"-"	"-"	"-"	"399"	"kala"	"kalile"	"calculating"	"kala"	"saṅkhyāne"	"calculating"	"kal a"	"śabda-saṃkhyānayoḥ"	"reckoning, calculating"	""	"√"
"√kalah"	""	"×"	"1"	"a"	"argue"	"√galh √garh"	"chide"	"1, 10"	"kalaha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kalaha"	"kucchane"	"reproaching, contempt"	"galh a"	"kutsāyām"	"criticising"	""	"√"
