id,pali_1,meaning_1,meaning_lit
41326,pañcamahāpariccāgā,"five great sacrifices (of the most value things, sons, wives, kingdoms and limbs)",
41729,paññapeti 3,"(of a seat, water, etc.) prepares; sets out",causes to know
41704,paññāpanāya,to describe; to declare; for definition;  designation,
41705,paññāpāramī,highest state of understanding; perfection of wisdom,
41843,paññāya mattaso,with wisdom; from sufficient measure of wisdom,
45091,paṭinivatti,turned back,
44988,paṭilābhato,as personal acquisition; as obtaining; as gain,
45336,paṭisandhi 3,incarnation; conception,reunion (with)
45318,paṭisaṃvidita 3,undergone; felt; experienced,
45424,paṭissatimattāya,for a measure of mindfulness; enough for mindfulness,
44791,paṭihaṅkhāmi,I will destroy; I will put an end to; I will terminate,
41188,paṇāma,salutation; bending; adoration; bowing down,
41198,paṇāmenta,opening; turning; stretching out,bending forward
41754,paṇṇarasama,fifteenth (15th),
44951,patikoṭeti,strongly beats; thrashes; smashes,
45503,patiṭṭhiyati,is stubborn; is obstinate; is pig-headed; is resistant,
45701,pattapiṇḍika,ascetic who eats only from alms-bowl,
45702,pattapiṇḍikaṅga,practice of eating only from alms-bowl,
45793,pattidāna,sharing of merit; giving of profit,
40047,padāla,breaking; destroying;  splitting; tearing,
41566,panidhekacca,and here a certain; but here some,
39336,pabāḷha 1,pulled out (from); removed (from); dismissed (from),caused to be carried away (from)
39467,pabhāva,might; power; strength; majesty; dignity,
46171,payirupāsanta,associating closely (with); attending closely (to); sitting at the feet (of),sitting around near
42230,paramasacca,ultimate truth; highest truth,
42381,paravajja,fault of another; error of others; another's mistake,
42312,parānudayatā,solicitude of others; sympathy to others; concern about welfare of others,
42313,parānudayatāpaṭisaṃyutta,concerning with solicitude of others; about sympathy to others,
42869,parikittana,high praise,praising all around
42879,parikkhā,a ditch; trench; moat,dug around
42596,pariccajitvā,having given up; having abandoned; having left behind; having bestowed,
42808,parijjhāyanā,thorough burning; complete consuming,
42666,paridhāya,wearing; putting on; clothing oneself (with),putting around
43045,parinibbānika,leading to complete extinction; conducive to liberation,
43033,parinetvā,having led around; carried around,
43146,paripatitvā,having fell down,
42468,paribhañjana,complete breaking up; absolute damaging,
43544,pariy,prefix pari- before the vowel,
43587,pariyāpuṇassu,you must master by yourself; let you learn by yourself,you must reach by yourself
43697,pariyuṭṭhi,obsessed; overwhelmed; overcame,beset all around
43668,pariyogāya,penetrating; scrutinizing; fully examining,completely plunging down
42742,parihāpeti,lets fall away; loses; wastes,causes to decrease
40932,palitta,stuck (to); attached (to),smeared (onto)
43972,passasitvā,having breathed out,
43992,passita,seen; observed,
45944,pavattana 2,turning; setting in motion; move forward,
46002,pavayha,pressing; urgently; constantly; continuously,carrying on
46050,pavicaranta,examining; investigating; considering carefully,moving around
40412,pahātuṃ,to give up; to abandon; to let go,
41108,paṃsukūlikaṅga,practice of wearing rag robs,
44119,pāṭha 2,passage; text reading,
41582,pāṇinā,with hand; by palm,
40067,pādamūla,feet; base of foot,
42028,pāpika,wicked; bad; worthless,
42019,pāpesi 2,helped; brought (to); led (to),caused to reach
41091,pāmokkha 2,leader; chief; eminent; prominent,
42326,pārāpariyattheragāthā 3,theragāthā 257 (TH257),
43217,pāripūrī,fulfilment; completion; perfecting; maturity,
46924,piṭakattaya,"Tipiṭaka; three main collections of scripture: Vinaya, Sutta and Abhidhamma",three baskets
46805,piṇḍapātikaṅga,practice of going for alms,
46938,pitari,in father; towards father,
46863,pipāsavinaya,removal of thirst,
47925,puṭaṃsa,shoulder bag; knapsack on the sholder; bag carrying provisions on journeys,
47918,puṭa 2,knapsack; bag; sack,
47632,puṇṇamī,full-moon day,
47952,puthujjanasukha,ordinary pleasure; unremarkable happiness,
47276,pubbabhāga 3,preliminary,part before
47807,purimā koṭi,the beginning of (time),the first point
47759,pūrāpetvā,having made fill; having caused to be full,
46250,pemamattaka,mere love; simple affection; love alone; by a measure of affection,
46349,phagguṇa,month of the lunar calendar; February – March,
46479,pharitvāna,having filled; having suffused; having pervaded,
46536,phāsuka 2,pleasant; convenient; comfortable,
46597,phoṭṭhabbappaṭisaṃvedī,experiencing touch; conscious of the physical sensation,
46598,phoṭṭhabbarāga,greed for the touch; desire for the physical sensation,
46599,phoṭṭhabbarāgappaṭisaṃvedī,experiencing greed for the touch; experiencing desire for the physical sensation,
13603,bara,excellent; best; noble,selected; wishing
13446,balappatta,come into power; grown strong,reaching power
13161,bahiddha,external; outward,
13354,bahusādhāraṇa,common to many; shared in common with many; same with many,
13624,bāvīsati,twenty-two (22),
13520,bāḷisika,fisherman,
15335,buddhānubhāva,majestic power of the Buddha,
13743,bhagavati,under the Sublime One; under the Blessed One; under the Fortunate One; under the Buddha,
13763,bhaginicitta,attitude as to the sister; a state of mind like to the sister,sister-mind
13765,bhaginimattī,woman of a sister age,sister-measure
13879,bhaṇāpetvāna,having caused to recite; caused to proclaime,
13873,bhaṇāmase,we must speak; say; we must tell; let us chant; let us proclaim,
13903,bhaṇḍati,quarrels (with); abuses (with),
14371,bhayato,as dangerous; as fearful,
14045,bhasmapuṭa 1,deserving the bag of ashes as punishment,
14046,bhasmapuṭa 2,bag of ashes (used as symbolic punishment),
14223,bhavantaṃ,sir; master; good man (object),
14227,bhavanto,sirs; masters; good men (respectful address),
14251,bhavasāta,pleasure of existence; enjoyment of being,
13775,bhāgya,good luck; fortune,
13982,bhārasutta,sutta from Saṃyutta Nikāya 22.22 (SN 22.22),
14493,bhikkhugaṇanā,counting the monks; calculating the number of monks,
14507,bhikkhunisaṅgha,community of nuns,
14582,bhiṅkāra,water jar; a vase; ceremonial vessel (in donations),
14586,bhinnaka 1,broken; damaged,
14740,bhujaga,snake; serpent,going crooked
31757,macchamaṃsa,fish and meat,
32616,majjhimapaṭipadā,"the Middle Way; (comm) not approaching two sides, greed and hatred, freed from them",
33144,mañjiṭṭha,crimson,
33022,maṇḍapeyya,of the best quality,to be drunk like cream
33680,mattika,maternal; came form mother; belonging to a mother,
33451,maraṇapariyosāna,having death as its end; culminating in the death,
33501,mari,died,
33515,maritabba,should be dead; can die,
32242,mahaṇṇava,the great ocean,
32265,mahāpajāpati,the Buddha's foster-mother; first Bhikkhunī,
32020,mahābandhana,strong bondage; great attachment,
32483,mahāya,with large income,
33594,mātaraṃ,mother (object),
33700,mātucitta,attitude as to the mother; a state of mind like to the mother,mother-mind
33726,mātumattī,woman of a mother age,mother-measure
33326,mānusiya,of human state; of human world; belonging to the human world,
33756,māyaṃ vidaṃseti,demonstrates illusion; displays conjurer's trick,causes to see magic
33424,mārāmisa,Mara's bait,Mara's meat
32732,mālavant,with garland; having wreath,
32708,mālāguṇa,garland; wreath of flowers,
31732,mā ahosi,let it not be; may it not exist,
33970,micchatta 2,badness; wrongness; imperfection,
34058,mīḷhapabbata,mountain of excrement; hill of dung,
34308,mucci 2,became free (from); was released (from); was liberated (from),
34657,muṭṭhasacca,forgetfulness,forgotten true
34564,muninda,the Great Sage; the Lord of Sages; epithet of the Buddha,
33880,mettāpāramī,highest state of benevolence; perfection of friendliness,
34251,momūha,foolish; confused; deluded; stupid,
34278,mosalla,worthy of being slain (with clubs); punishable,
69854,yatonidāna,because of what; based on what; on account of which,from what source
69764,yathāpaññatta,as decreed; as prescribed; as formulated,
69800,yathāsanthatikaṅga,practice of being satisfied with whatever dwelling,
69945,yāyaṃ 2,in whatever; in whichever,
70013,yobbañña,youth,
48395,rakkhetha,should protect by oneself; should himself guard,
48367,rajopatha,dusty; dirty,in dusty condition; in state of dirt
48665,raṭṭhapāla,personal name of an arahant monk,protector of the country
48667,raṭṭhapālattheragāthā,theragāthā 251 (TH251),
48576,ratanattaya,"Triple Gem; Buddha, His doctrine, and His community",
