id,pali_1,notes
51317,samatta 1.1,see Edg samātta for discussion.  (PED) pp. of saṃ + āp
51319,samatta 1.3,"(PED) [cp. Sk. samasta, pp. of saṃ + as to throw cp. BSk. samasta, e.g. Jtm.xxxi.90] complete, entire perfect"
52283,sampha,(MW) grass
51778,sammādhārā,(PED) seasonable shower
52982,saṃyuta,"BR: from yu (to unite, fasten)"
56394,sivathikā,(PED) perhaps = *Sk. śivālaya; Kern derives it as śīvan “lying” + atthi “bone
56395,sīvathikā,(PED) perhaps = *Sk. śivālaya; Kern derives it as śīvan “lying” + atthi “bone
57013,suddhāvāsa 1,(BDN) group of 5 heavens
57956,susumāragira,in [DPPN] it is Susumāragiri
55505,sekkha,(BDN) 'noble learner'
55491,sekha,(BDN) 'noble learner'
56468,soci,mā soci “don't be sad”
65231,vasena 1,"(MW) by command of, by force of, on account of, by means of, according to"
65312,vassāna,"(PED) orig. gen. pl. of vassa = vassānaṃ, fr. combination vassāna(ṃ) māse, in a month of raining"
65699,vāyodhātu,"(Abhi) principle of motion, vibration, oscillation"
66834,vijjāvimutti,(NCPED) emancipation through wisdom
66195,vibhavadiṭṭhi,synonym with uccheda-diṭṭhi
68132,virujjhati 1,(BD) opposes; to be hostile.
68206,visama 1,"(MW) unevenness, uneven or rough ground or place"
66662,vihesā 1,vihesā in poerty can be shorten of vihesāya (instr.sg)
66084,vetta,"(PED) twig, rod; creeper; junglerope"
65738,vedalla,one of the nine types of suttas
66104,veyyākaraṇa 2,one of the nine types of suttas
66111,veyyāvacca,(PED) it was later retranslated into BSk. as vaiyāvṛtya (as if vi + ā + vṛt)
