id,pali_1,example_1
2132,adhimucchita,"paṇītaṃ yadi vā lūkhaṃ, appaṃ vā yadi vā bahuṃ.<br/>yāpan'atthaṃ abhuñjiṃsu, agiddhā n'<b>ādhimucchitā</b>."
2286,adhivattati 1,"patirūpe vase dese, ariyamittakaro siyā. <br/>sammāpaṇidhisampanno, pubbe puññakato naro. <br/>dhaññaṃ dhanaṃ yaso kitti, sukhaṃcetaṃ<b>adhivattatī</b>."
2351,adhuva,bhayato upasaggato calato pabhaṅguto <b>adhuvato</b> atāṇato aleṇato asaraṇato rittato tucchato suññato anattato ādīnavato
5539,anattani,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato.<br/><b>anattani</b> anattā'ti, asubhaṃ asubhat'addasuṃ.<br/>sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti"
5571,anatthasañhita,yo c'āyaṃ attakilamath'ānuyogo dukkho anariyo <b>anatthasañhito</b>.
5263,anantara 2,"hetupaccayo, ārammaṇapaccayo, adhipatipaccayo, <b>anantara</b>paccayo, samanantarapaccayo, sahajātapaccayo, aññam'aññapaccayo"
5386,anāpattibahula,"idha, bhaddāli, ekacco bhikkhu adhicc'āpattiko hoti anāpattibahulo."
5379,anāpanna,"tass'etaṃ pāṭikaṅkhaṃ, <b>anāpanno</b> vā pārājikaṃ dhammaṃ na āpajjissati, āpanno vā pārājikaṃ dhammaṃ yathādhammaṃ paṭikarissati."
6026,anikīḷitāvī,"paṭhamena vayasā anikīḷitāvino kāmesu yāvajīvaṃ paripuṇṇaṃ parisuddhaṃ brahmacariyaṃ caranti, addhānañ'ca āpādentī'ti?"
6844,anudahana,tiṇ'ukk'ūpamā kāmā anudahan'aṭṭhenā'ti passanto vikkhambhanato kāme parivajjeti
6889,anudhāvita,"lesakappe pariyāye, parikappe'nudhāvitā.<br/>jīvik'atthā upāyena, saṅkaḍḍhanti bahuṃ dhanaṃ."
7157,anupādāniya,upādinn'upādāniyā dhammā. anupādinn'upādāniyā dhammā. anupādinn'<b>ānupādāniyā</b> dhammā.
7412,anuppadinna,"so ñātidhammo ca ayaṃ nidassito, petāna'pūjā ca katā uḷārā. balañ'ca bhikkhūnam'<b>anuppadinnaṃ</b>, tumhehi puññaṃ pasutaṃ anappakan'ti."
7408,anuppādenta,"manāpe rūpe rāgaṃ, amanāpe dosaṃ, asamapekkhite mohan'ti evaṃ rāg'ādikilese anuppādento upekkhakabhāvena sahati."
6779,anubodhaka,"saṅgho sukhett'ābhyatikhettasaññito, yo diṭṭhasanto sugat'<b>ānubodhako</b>, lolappahīno ariyo sumedhaso"
6803,anubyañjanaso 2,"varaṃ, bhikkhave, tattāya ayosalākāya ādittāya sampajjalitāya sajotibhūtāya cakkhu'ndriyaṃ sampalimaṭṭhaṃ, na tv'eva cakkhuviññeyyesu rūpesu <b>anubyañjanaso</b> nimittaggāho."
6804,anubyañjanassādagathita,"nimitt'assādagathitaṃ vā, bhikkhave, viññāṇaṃ tiṭṭhamānaṃ tiṭṭheyya, anubyañjan'assādagathitaṃ vā tasmiñ'ce samaye kālaṃ kareyya"
7086,anumodanā 1,"mayā dinnānapuññānaṃ <b>anumodana</b>hetunā, sabbe sattā sadā hontu averā sukhajīvino, khemappadañ'ca pappontu tesāsā sijjhataṃ subhā"
7486,anurakkhamāna,"kikī'va aṇḍaṃ, camarī'va vāladhiṃ. piyaṃ'va puttaṃ,<br/>nayanaṃ'va ekakaṃ. tath'eva sīlaṃ, anurakkhamānā."
7640,anusikkhati 2,"ye'pi tassa <b>anusikkhanti</b>, te'pi kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ upapajjanti."
7647,anusocati,"atītaṃ na-<b>anusocanti</b>,<br/>nappajappanti n'āgataṃ,<br/>paccuppannena yāpenti,<br/>tena vaṇṇo pasīdati."
7699,anussāviyamāna,"yo pana bhikkhu, yāvatatiyaṃ <b>anussāviyamāne</b>, saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."
6425,anokamāgamma,"kaṇhaṃ dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/>okā <b>anokam'āgamma</b>, viveke yattha dūramaṃ."
6403,anodhi 2,"cha, bhikkhave, ānisaṃse sampassamānena alam'eva bhikkhunā sabbadhammesu <b>anodhiṃ</b> karitvā anattasaññaṃ upaṭṭhāpetuṃ."
6492,antagaṇṭhi,jīvako … janaṃ ussāretvā tirokaraṇiyaṃ parikkhipitvā thambhe upanibandhitvā bhariyaṃ purato ṭhapetvā udara-cchaviṃ uppāṭetvā antagaṇṭhiṃ nīharitvā bhariyāya dassesi
6593,antarāyeva,aññatr'eva asitapītakhāyitasāyitā aññatra uccārapassāvakammā aññatra niddākilamathapaṭivinodanā vassasatāyuko vassasatajīvī vassasataṃ gantvā appatvā'va lokassa antaṃ antarā'y'eva kālaṅkato.
6197,annā,"ehi tvaṃ, bhikkhu, satisampajaññena sam<b>annā</b>gato hohi, abhikkante paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, samiñjite pasārite sampajānakārī, saṅghāṭipattacīvaradhāraṇe sampajānakārī"
7957,anventa,"pariccajitvā saddhammaṃ, aññam'aññehi bhaṇḍare.<br/>diṭṭhigatāni anventā, idaṃ seyyo'ti maññare."
8172,apakassa 2,"seyyathā'pi, bhikkhave, puriso jar'udapānaṃ vā olokeyya pabbatavisamaṃ vā nadīviduggaṃ vā, <b>apakass</b>'eva kāyaṃ, <b>apakassa</b> cittaṃ"
8038,apaciyati,"so tathāgataṃ sakkaroti garuṃ karoti māneti pūjeti <b>apaciyati</b>, paramāya pūjāya."
8131,apajaha,"ime, bhante, licchavikumārakā caṇḍā pharusā <b>apajahā</b> ... kul'itthīnam'pi kulakumārīnam'pi pacchāliyaṃ khipanti."
8318,apaññatta 1,"yāvakīvañ'ca bhikkhave bhikkhū <b>apaññattaṃ</b> na paññāpessanti, paññattaṃ na samucchindissanti, yathāpaññattesu sikkhāpadesu samādāya vattissanti"
8618,apaṭisevanta,"yañ'hi'ssa, bhikkhave, <b>appaṭisevato</b> uppajjeyyuṃ āsavā vighātapariḷāhā, paṭisevato evaṃsa te āsavā vighātapariḷāhā na honti."
8306,apaṇṇakaṃ,"dumapphalānī'va patanti māṇavā, daharā ca vuḍḍhā ca sarīrabhedā.<br/>etam'pi disvā pabbajito'mhi rāja, <b>apaṇṇakaṃ</b> sāmaññam'eva seyyo."
8631,apattamānasa,ye kho te bhikkhū sekkhā <b>apattamānasā</b> anuttaraṃ yogakkhemaṃ<br/>patthayamānā viharanti tesu me ayaṃ evarūpī anusāsanī hoti.
73079,apatta 2,ye kho te bhikkhū sekkhā apattamānasā anuttaraṃ yogakkhemaṃ<br/>patthayamānā viharanti tesu me ayaṃ evarūpī anusāsanī hoti.
8702,apayanta,"nandopanandabhujagaṃ vibudhaṃ mah'iddhiṃ, puttena therabhujagena dam'<b>āpayanto</b>, iddh'ūpadesavidhinā jitavā mun'indo"
8447,aparihāniya,katame ca bhikkhave satta <b>aparihāniyā</b> dhammā?
8669,apāṭuka,"nekatikā vañcanikā, kūṭa-sakkhī apāṭukā.<br/>bahūhi parikappehi, āmisaṃ paribhuñjare."
8047,apādaka 2,"<b>apādakehi</b> me mettaṃ, mettaṃ dipādakehi me.<br/>catuppadehi me mettaṃ, mettaṃ bahuppadehi me."
8348,apāra 2,"yassa pāraṃ <b>apāraṃ</b> vā, pār'āpāraṃ na vijjati,<br/>vītaddaraṃ visaṃyuttaṃ, tam'ahaṃ brūmi brāhmaṇaṃ."
9247,aputhujjanasevita,"phusāmi nekkhammasukhaṃ, aputhujjanasevitaṃ.<br/>bhikkhu vissāsam'āpādi, appatto āsavakkhayaṃ."
8749,apetaviññāṇa,"aciraṃ vat'ayaṃ kāyo, paṭhaviṃ adhisessati.<br/>chuḍḍho <b>apetaviññāṇo</b>, niratthaṃ'va kaliṅgaraṃ."
9065,appaṭikūlasaññī,"so sace ākaṅkhati – paṭikūle appaṭikūlasaññī vihareyyan'ti, appaṭikūlasaññī tattha viharati."
9042,appaṭigha 1,sanidassanasappaṭighā dhammā. anidassanasappaṭighā dhammā. anidassana-<b>appaṭighā</b> dhammā.
9156,appāya,"sac'āyaṃ kulaputto app'āyo samāno uḷāraṃ jīvikaṃ kappeti, tassa bhavanti vattāro, udumbarakhādikaṃ v'āyaṃ kulaputto bhoge khādatī'ti."
61,abbahe,"pamādo rajo pamādo, pamād'ānupatito rajo,<br/>appamādena vijjāya, <b>abbahe</b> sallam'attano'ti."
1320,abyositatta,"tasmā hi paññā'va dhanena seyyā, yāya vosānam'idh'ādhigacchati.<br/><b>abyositattā</b> hi bhav'ābhavesu, pāpāni kammāni karoti mohā."
537,abhikkantadassāvī,"evaṃ <b>abhikkantadassāviṃ</b>, atthi pañhena āgamaṃ, <br/>kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati."
505,abhijjhitar,"idha cunda ekacco anabhijjhālu hoti. yaṃ taṃ parassa paravitt'ūpakaraṇaṃ taṃ an<b>abhijjhitā</b> hoti, aho vata yaṃ parassa taṃ mamassā'ti"
1091,abhitthavati,yaṃnūn'āhaṃ bhagavantaṃ sammukhā sāruppāya gāthāya <b>abhitthaveyyan</b>'ti.
1096,abhitthuti,handa mayaṃ buddh'<b>ābhitthutiṃ</b> karomase
378,abhidhāna 3,"duggāhadiṭṭhibhujagena sudaṭṭhahatthaṃ, brahmaṃ visuddhijutim'iddhibak'<b>ābhidhānaṃ</b>, ñāṇāgadena vidhinā jitavā mun'indo"
685,abhinikkhamana,"ek'ūnatiṃsatime saṃvacchare maha-<b>abhinikkhamanaṃ</b> nikkhamitvā, chabbassāni mahāpadānaṃ padahitvā"
712,abhinimmita,"bāhuṃ sahassam'<b>abhinimmita</b> sāvudhan'taṃ, grīmekhalaṃ uditaghorasasenamāraṃ, dān'ādidhammavidhinā jitavā mun'indo, tan'tejasā bhavatu te jayamaṅgalāni"
825,abhipīḷita,ekadā dhammarājā pi gelaññen'<b>ābhipīḷito</b> cundattherena taññ'eva bhaṇāpetvāna sādaraṃ sammoditvā ca ābādhā tamhā vuṭṭhāsi ṭhānaso.
850,abhipūjaneyyaka,"icc'evam'ek'anta-<b>abhipūjaneyyakaṃ</b>, vatthuttayaṃ vandayat'ābhisaṅkhataṃ"
851,abhipūjayati,"tam'mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath'ārahaṃ āropitehi <b>abhipūjayāma</b>"
1192,abhiyujjhita,"mār'ātirekam'<b>abhiyujjhita</b>sabbarattiṃ, ghoram'pan'āḷavakam'akkhamathaddhayakkhaṃ, khantīsudantavidhinā jitavā mun'indo."
1007,abhisaṅkharaṇa,"bhante nāgasena, kiṃlakkhaṇā cetanā'ti? cetayitalakkhaṇā, mahārāja, cetanā <b>abhisaṅkharaṇa</b>lakkhaṇā cā'ti."
1234,abhyati,"saṅgho sukhett'<b>ābhyati</b>khettasaññito, yo diṭṭhasanto sugat'ānubodhako, lolappahīno ariyo sumedhaso"
4655,amatadhātu,so tehi dhammehi cittaṃ paṭivāpeti. so tehi dhammehi cittaṃ paṭivāpetvā <b>amatāya</b> <b>dhātuyā</b> cittaṃ upasaṃharati
4629,amara 2,<b>amarā</b>vitakkavaḍḍhanaṃ par'ānudayatāpaṭisaṃyuttavitakkavaḍḍhanaṃ lābhasakkārasilokapaṭisaṃyuttavitakkavaḍḍhanaṃ
4761,ambilagga,"<b>ambil'aggehi</b>'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi."
12862,ayamahamasmi,"avijjāsamphassajena, bhikkhave, vedayitena phuṭṭhassa assutavato puthujjanassa asmī'ti'pi'ssa hoti; <b>ayam'aham'asmī</b>'ti'pi'ssa hoti"
12855,ayaṃ tattha samayo,"yo pana bhikkhu aññātakaṃ gahapatiṃ vā gahapatāniṃ vā cīvaraṃ viññāpeyya, aññatra samayā, nissaggiyaṃ pācittiyaṃ. tatth'āyaṃ samayo: acchinnacīvaro vā hoti bhikkhu naṭṭha cīvaro vā. <b>ayaṃ tattha samayo</b>."
13007,ayosalākā,"varaṃ, bhikkhave, tattāya ayosalākāya ādittāya sampajjalitāya sajotibhūtāya cakkhu'ndriyaṃ sampalimaṭṭhaṃ, na tv'eva cakkhuviññeyyesu rūpesu anubyañjanaso nimittaggāho."
9475,araṇī,"seyyathā'pi allaṃ kaṭṭhaṃ sasnehaṃ udake nikkhittaṃ. atha puriso āgaccheyya uttar'āraṇiṃ ādāya, aggiṃ abhinibbattessāmi, tejo pātukarissāmī'ti."
9769,arūpāvacara,"tattha katamo āneñj'ābhisaṅkhāro? kusalā cetanā <b>arūp'āvacarā</b>, ayaṃ vuccati āneñj'ābhisaṅkhāro."
4339,alattaka,"<b>alattaka</b>katā pādā, mukhaṃ cuṇṇakamakkhitaṃ. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
4340,alattakakata,"<b>alattakakatā</b> pādā, mukhaṃ cuṇṇakamakkhitaṃ. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
4416,alippamāna,yam'pi tathāgato arahaṃ sammāsambuddho pubb'eva sambodhā anabhisambuddho bodhisatto'va samāno mahato mīḷha-pabbatassa upar'ūpari caṅkamati alippamāno mīḷhena
4365,aleṇa,bhayato upasaggato calato pabhaṅguto adhuvato atāṇato aleṇato asaraṇato rittato tucchato suññato anattato ādīnavato
10132,asaṅkiliṭṭha,saṅkiliṭṭhasaṅkilesikā dhammā. <b>asaṅkiliṭṭha</b>saṅkilesikā dhammā. asaṅkiliṭṭh'āsaṅkilesikā dhammā.
10143,asaṅkuppa,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. asaṃhīraṃ <b>asaṅkuppaṃ</b>, taṃ vidvā manubrūhaye."
10144,asaññā,"tattha katamo upapattibhavo? kāmabhavo, rūpabhavo, arūpabhavo, saññābhavo, <b>asaññā</b>bhavo, n'evasaññān'<b>āsaññā</b>bhavo, ekavokārabhavo, catuvokārabhavo, pañcavokārabhavo"
10184,asantaṃ,"idha bhikkhu santaṃ vā ajjhattaṃ kāmacchandaṃ atthi me ajjhattaṃ kāmacchando'ti pajānāti, <b>asantaṃ</b> vā ajjhattaṃ kāmacchandaṃ n'atthi me ajjhattaṃ kāmacchando'ti pajānāti"
10178,asanta 1.2,"duddadaṃ dadamānānaṃ, dukkaraṃ kamma kubbataṃ.<br/><b>asanto</b> n'ānukubbanti, sataṃ dhammo durannayo"
9950,asamapekkhita,"manāpe rūpe rāgaṃ, amanāpe dosaṃ, asamapekkhite mohan'ti evaṃ rāg'ādikilese anuppādento upekkhakabhāvena sahati."
9981,asaṃkilesika,saṃkiliṭṭhasaṃkilesikā dhammā.<br/>asaṃkiliṭṭhasaṃkilesikā dhammā.<br/>asaṃkiliṭṭh'<b>āsaṃkilesikā</b> dhammā.
9976,asaṃhira,"paccuppannañ'ca yaṃ dhammaṃ, tattha tattha vipassati. <b>asaṃhiraṃ</b> asaṅkuppaṃ, taṃ vidvā m'anubrūhaye."
10760,asukha,adukkham'<b>asukhaṃ</b> vā vedanaṃ vedayamāno adukkham'<b>asukhaṃ</b> vedanaṃ vedayāmī'ti pajānāti
10739,asuci 4,"kathañ'hi nāma tvaṃ, moghapurisa, hatthena upakkamitvā <b>asuciṃ</b> mocessasi!"
10734,asubhataddasa,"aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato.<br/>anattani anattā'ti, asubhaṃ <b>asubhat'addasuṃ</b>.<br/>sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti"
10352,asekkha 1,sekkhā dhammā. <b>asekkhā</b> dhammā. n'eva sekkhā na-<b>asekkhā</b> dhammā.
10368,asesita,"jīno rath'assaṃ maṇikuṇḍale ca, putte ca dāre ca that'eva jīno.<br/>sabbesu bhogesu asesitesu, kasmā na santappasi sokakāle."
10609,assapuṭa 1,"ahaṃ, bhante, pāpakammaṃ akāsiṃ gārayhaṃ assapuṭaṃ. yena me āyasmanto attamanā honti taṃ karomī'ti."
10610,assapuṭa 2,"seyyathā'pi, bhikkhave, puriso kāḷakaṃ vatthaṃ paridhāya kese pakiritvā assapuṭaṃ khandhe āropetvā mahājanakāyaṃ upasaṅkamitvā"
10682,assayuja 1,"ayaṃ vasabhasaṃvacchare vassānautu. asmiṃ utumhi <b>assayuja</b>māsassa kāḷapakkhe catutthaṃ, ravivāram'idan'ti daṭṭhabbaṃ."
10654,assasitvā,"aho vat'āhaṃ tadantaraṃ jīveyyaṃ yadantaraṃ assasitvā vā passasāmi, passasitvā vā assasāmi, bhagavato sāsanaṃ manasi kareyyaṃ, bahu vata me kataṃ assā'ti"
70961,assasissati,"pītipaṭisaṃvedī <b>assasissāmī</b>'ti sikkhati, pītipaṭisaṃvedī passasissāmī'ti sikkhati."
12126,avaṅkata,evaṃ no ayaṃ amhākaṃ pabbajjā <b>avaṅkatā</b> avañjhā bhavissati saphalā saudrayā.
11901,avacara 2,"kusalā cetanā kām'<b>āvacarā</b> rūp'<b>āvacarā</b> dānamayā sīlamayā bhāvanāmayā, ayaṃ vuccati puññ'ābhisaṅkhāro."
11911,avacchidda,seyyathā'pi puriso medaka-thālikaṃ parihareyya chidda-avachiddaṃ uggharantaṃ paggharantaṃ; evam'evaṃ kho ahaṃ imaṃ kāyaṃ pariharāmi
12322,avatthāsi,dutiyo musalo paripatitvā aññatarassa dārakassa matthake avatthāsi. so kālamakāsi.
