id,pali_1,example_2
2781,aggappatta,"aggassa dātā medhāvī, aggadhammasamāhito. devabhūto manusso vā, <b>aggappatto</b> pamodatī'ti."
5885,aṅgika,"dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca atikkamaṃ, ariyañ'c'aṭṭha-<b>aṅgikaṃ</b> maggaṃ, dukkh'ūpasamagāminaṃ."
5901,aṅgulī 1,"ukkhittakhaggamatihatthasudāruṇan'taṃ, dhāvan'tiyojanapatha-<b>aṅguli</b>mālavantaṃ. iddhī'bhisaṅkhatamano jitavā mun'indo."
1324,acala,"seyyathā'pi rañño paccantime nagare esikā hoti gambhīranemā sunikhātā <b>acalā</b> asampavedhī abbhantarānaṃ guttiyā bāhirānaṃ paṭighātāya. evam'evaṃ kho ariyasāvako saddho hoti, saddahati tathāgatassa bodhiṃ"
1653,acira,"ahaṃ kho, āvuso, navo <b>acira</b>pabbajito adhun'āgato imaṃ dhammavinayaṃ. na t'āhaṃ sakkomi vitthārena ācikkhituṃ."
1411,acc,kiṃ nu kho bhoto gotamassa sāvakā bhotā gotamena evaṃ ovadīyamānā evaṃ anusāsīyamānā sabbe <b>acc</b>antaṃ niṭṭhaṃ nibbānaṃ ārādhenti udāhu ekacce n'ārādhentī'ti?
1415,accagamā 1,"taggha taṃ, bhikkhu, accayo <b>accagamā</b> yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena abbhācikkhi."
1447,accatari,"yo imaṃ samuddaṃ sagāhaṃ sarakkhasaṃ,<br/>saūmiṃ sāvaṭṭaṃ sabhayaṃ duttaraṃ <b>accatari</b>."
1464,accayena 2,"yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo mam'<b>accayena</b> satthā."
1467,accayo accagamā,"<b>accayo</b> maṃ, bhante, <b>accagamā</b> yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo'haṃ bhagavantaṃ āvusovādena samudācaritabbaṃ amaññissaṃ."
1524,acchati 2,"ye te bhikkhū tiracchānakathikā kāyadaḷhibahulā viharanti tesam'pi ekajjhaṃ sen'āsanaṃ paññapeti, im'āyap'ime āyasmanto ratiyā <b>acchissantī</b>'ti."
6159,añjana 2,"aṭṭhapadakatā kesā, nettā <b>añjana</b>makkhitā. <br/>alaṃ bālassa mohāya, no ca pāragavesino."
6200,añña 2,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto <b>añña</b>'d'atthudaso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ."
6318,aññātāvindriya,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>."
6317,aññātāvī 2.1,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv</b>'indriyaṃ."
6358,aññātuṃ,"dūrato'pi kho mayaṃ, āvuso, āgaccheyyāma āyasmato sāriputtassa santike etassa bhāsitassa attham'<b>aññātuṃ</b>"
6390,aññindriya,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātañ'ñassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ."
11308,aṭṭa 1.1,"tañ'ca kho etaṃ, bhikkhave, kulaputtā upenti atthavasikā, atthavasaṃ paṭicca, n'eva rāj'ābhinītā, na cor'ābhinītā, na iṇ'<b>aṭṭā</b>, na bhaya-<b>aṭṭā</b>, na ājīvikāpakatā."
11844,aṭṭīyati,ahañ'c'eva kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā <b>aṭṭīyeyyaṃ</b> harāyeyyaṃ jiguccheyyaṃ na m'etaṃ assa patirūpan'ti.
11748,aṭṭhena,aṭṭhikaṅkal'ūpamā kāmā appassāda-<b>aṭṭhenā</b>'ti passanto vikkhambhanato kāme parivajjeti
1831,aḍḍhamāsa 2,"māso seso gimhānan'ti bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, <b>addhamāso</b> seso gimhānan'ti katvā nivāsetabbaṃ."
6361,aṇṇava,"buddho susuddho karuṇāmaha-<b>aṇṇavo</b>, yo'ccantasuddhabbarañāṇalocano, lokassa pāp'ūpakilesaghātako"
10849,atari,"yo taṃ rūpamayaṃ vegaṃ sahati, ayaṃ vuccati, bhikkhave, <b>atari</b> cakkhusamuddaṃ saūmiṃ sāvaṭṭaṃ sagāhaṃ sarakkhasaṃ."
10907,ati,"karaṇīyam'atthakusalena,<br/>yantaṃ santaṃ padaṃ abhisamecca,<br/>sakko ujū ca sūjū ca,<br/>suvaco c'assa mudu an<b>ati</b>mānī"
11032,atikkanta 2,"iminā pakkhena, eko uposatho sampatto, eko uposathā <b>atikkantā</b>, cha uposathā avasiṭṭhā."
11026,atikkamitvā 1,n'āhaṃ taṃ pamāṇaṃ <b>atikkamitvā</b> rajjan'ādivasena uppajjituṃ dassāmī'ti evam'ettha attho daṭṭhabbo.
11029,atikkamma 1,ubhatobhāgavimutto  idha ekacco puggalo ye te santā vimokkhā <b>atikkamma</b> rūpe āruppā te kāyena phusitvā viharati paññāya cassa disvā āsavā parikkhīṇā honti.
11098,atipāta,"pāṇ'<b>ātipātā</b> veramaṇī, adinn'ādānā veramaṇī, kāmesumicchācārā veramaṇī, ayaṃ vuccati bhikkhave sammākamm'anto."
11109,atipātī 1,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇa-<b>atipātī</b> adinn'ādāyī kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko."
11114,atippago,"atha kho tesaṃ bhikkhūnaṃ etadahosi, <b>atippago</b> kho tāva sāvatthiyaṃ piṇḍāya carituṃ. yaṃnūna mayaṃ yena aññatitthiyānaṃ paribbājakānaṃ ārāmo ten'upasaṅkameyyāmā'ti."
70962,atireka 2,yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā <b>atirekā</b> pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.
11282,ativiya,"sabbo pan'āyaṃ piṇḍapāto ajigucchanīyo, imaṃ pūtikāyaṃ patvā <b>ativiya</b> jigucchanīyo jāyati"
11371,attakilamatha,yo c'āyaṃ <b>attakilamatha</b>-anuyogo dukkho anariyo anatthasañhito.
11372,attakilamathānuyoga,yo c'āyaṃ <b>attakilamath'ānuyogo</b> dukkho anariyo anatthasañhito.
11398,attanāva attano,"kiñ'c'āpi te evaṃ vadeyyuṃ, piyo no attā'ti, atha kho tesaṃ appiyo attā. taṃ kissa hetu? yañ'hi appiyo appiyassa kareyya, taṃ te <b>attanā'va attano</b> karonti, tasmā tesaṃ appiyo attā."
11397,attanāva attānaṃ,"atthi me attā'ti vā assa saccato thetato diṭṭhi uppajjati, n'atthi me attā'ti vā assa saccato thetato diṭṭhi uppajjati, <b>attanā'va attānaṃ</b> sañjānāmī'ti vā assa saccato thetato diṭṭhi uppajjati"
11402,attani 2,"<b>attani</b> ca, bhikkhave, attaniye ca saccato thetato anupalabbhamāne, yam'pi taṃ diṭṭhiṭṭhānaṃ, so loko so attā, so pecca bhavissāmi nicco dhuvo sassato avipariṇāmadhammo, sassatisamaṃ tath'eva ṭhassāmī'ti, nan'āyaṃ, bhikkhave, kevalo paripūro bāladhammo'ti?"
11463,attavāda,"kām'upādānaṃ, diṭṭh'upādānaṃ, sīlabbat'upādānaṃ, <b>attavād'</b>upādānaṃ. idaṃ vuccati taṇhāpaccayā upādānaṃ."
11396,attānaṃyeva,"assutavā kho puthujjano attanā jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā aṭṭīyati harāyati jigucchati <b>attānaṃ'y'eva</b> {na} atisitvā, aham'pi kho'mhi jarādhammo jaraṃ anatīto"
11617,atthaṅgata 2,"rūpaṃ kho, āvuso, aniccaṃ. yad'aniccaṃ taṃ dukkhaṃ, yaṃ dukkhaṃ taṃ niruddhaṃ tada-<b>atthaṅ'gataṃ</b>."
11505,atthadassī,"pāpaṃ sahāyaṃ parivajjayetha, an<b>atthadassiṃ</b> visame niviṭṭhaṃ.<br/>sayaṃ na seve pasutaṃ pamattaṃ, eko care khaggavisāṇakappo."
11507,atthaddhiya,māyāvissa purisapuggalassa amāyā hoti parinibbānāya. thaddhassa purisapuggalassa <b>atthaddhiyaṃ</b> hoti parinibbānāya.
11728,atthavasika,"tañ'ca kho etaṃ, bhikkhave, kulaputtā upenti <b>atthavasikā</b>, atthavasaṃ paṭicca, n'eva rāj'ābhinītā, na cor'ābhinītā, na iṇ'aṭṭā, na bhay'aṭṭā, na ājīvikāpakatā."
11565,atthaṃ,para-<b>atthaṃ</b> vā hi bhikkhave sampassamānena alam'eva appamādena sampādetuṃ
1746,adassī,"idaṃ vadāmī'ti na tassa hoti,<br/>dhammesu niccheyya samuggahītaṃ,<br/>passañ'ca diṭṭhīsu anuggahāya,<br/>ajjhattasantiṃ pacinaṃ <b>adassaṃ</b>."
2502,adukkha,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham'</b>asukhaṃ upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."
2504,adukkhamasukha 1,"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham'asukhaṃ</b> upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."
1768,adda 1.1,"yo sukhaṃ dukkhato <b>adda</b>, dukkham'addakkhi sallato.<br/> adukkham'asukhaṃ santaṃ, addakkhi naṃ aniccato."
1792,addha 2.2,"yatha'y'idaṃ brahmacariyaṃ <b>addha</b>niyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ"
1840,addhāna 1,"bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan'āgāraṃ yathā dāsabyaṃ yathā kantāra-<b>addhāna</b>maggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati"
1841,addhāna 2,"atītam'p'āhaṃ <b>addhānaṃ</b> evam'eva rūpena khajjiṃ, seyyathā'pi eta'r'ahi paccuppannena rūpena khajjāmi."
1956,adhammavādī,"samphappalāpī hoti akālavādī abhūtavādī anatthavādī <b>adhammavādī</b> avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ."
2083,adhikaraṇaṃ 1,"yatva-<b>adhikaraṇam'</b>enaṃ cakkhu'ndriyaṃ asaṃvutaṃ viharantaṃ abhijjhādomanassā pāpakā akusalā dhammā anvāssaveyyuṃ, tassa saṃvarāya paṭipajjāhi."
2219,adhiṭṭhahanta,"cittaṃ <b>adhiṭṭhahanto</b> sikkheyya, saddhāya adhimuccanto sikkheyya, vīriyaṃ paggaṇhanto sikkheyya, satiṃ upaṭṭhapento sikkheyya"
2234,adhiṭṭhātabba,"appaharite ṭhitena, <b>adhiṭṭhātabbaṃ</b>. tato ce uttariṃ appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."
2160,adhipaññā,"tisso imā, bhikkhave, sikkhā yatth'etaṃ sabbaṃ samodhānaṃ gacchati. katamā tisso? adhisīlasikkhā, adhicittasikkhā, <b>adhipaññā</b>sikkhā."
2264,adhivāsana 1,"atthi āsavā <b>adhivāsanā</b> pahātabbā – duruttānaṃ durāgatānaṃ vacanapathānaṃ, uppannānaṃ sārīrikānaṃ vedanānaṃ dukkhānaṃ tibbānaṃ"
2278,adhivāseti 2,tañ'ce bhikkhu <b>adhivāseti</b> nappajahati na vinodeti na byantīkaroti na anabhāvaṃ gameti
1995,adhi 1,"tiṭṭhañ'caraṃ, nisinno vā, sayāno vā, yāvat'assa vigatamiddho,<br/>etaṃ satiṃ <b>adhi</b>ṭṭheyya, brahmam'etaṃ vihāraṃ idha'm'āhu."
2337,adhunā,"tasmā't'iha, bhikkhave, evaṃ sikkhitabbaṃ  <b>adhunā</b>-āgatavadhukāsamena cetasā viharissāmā'ti"
2315,adhogāmī 1,seyyathā'pi puriso sappikumbhaṃ vā telakumbhaṃ vā gambhīraṃ udakarahadaṃ ogāhitvā bhindeyya. tatra yā assa sakkharā vā kaṭhalā vā sā <b>adhogāmī</b> assa
5247,anaññāta,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, <b>anaññātañ</b>'ñassāmī't'indriyaṃ, aññ'indriyaṃ, aññātāv'indriyaṃ."
5249,anaññātaññassāmītindriya,"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, <b>anaññātañ'ñassāmī't'indriyaṃ</b>, aññ'indriyaṃ, <b></b>aññātāv'indriyaṃ."
5560,anattato,"ye'pi hi keci, bhikkhave, anāgatam'addhānaṃ samaṇā vā brāhmaṇā vā yaṃ loke piyarūpaṃ sātarūpaṃ taṃ aniccato dakkhissanti dukkhato dakkhissanti <b>anattato</b> dakkhissanti rogato dakkhissanti bhayato dakkhissanti, te taṇhaṃ pajahissanti."
5539,anattani," <b>anattani,</b> bhikkhave, attā'ti saññāvipallāso cittavipallāso diṭṭhivipallāso."
5520,anatta 1,"sabbe dhammā <b>anattā</b>'ti, yadā paññāya passati. <br/>atha nibbindati dukkhe, esa maggo visuddhiyā."
5574,anatthavādī,"samphappalāpī hoti akālavādī abhūtavādī <b>anatthavādī</b> adhammavādī avinayavādī, anidhānavatiṃ vācaṃ bhāsitā hoti akālena anapadesaṃ apariyantavatiṃ anatthasaṃhitaṃ."
5332,ananuvajja,"imehi kho, bhikkhave, pañcahi aṅgehi samannāgatā vācā subhāsitā hoti, no dubbhāsitā, anavajjā ca <b>ananuvajjā</b> ca viññūnan'ti."
5396,anapāyī,"manopubbaṅ'gamā dhammā, manoseṭṭhā manomayā. <br/>manasā ce pasannena, bhāsati vā karoti vā. <br/>tato naṃ sukham'anveti, chāyā'va <b>anapāyinī</b>"
4976,anabhirata 2,"asubhasaññā, maraṇasaññā, āhāre paṭikūlasaññā, sabbaloke <b>anabhirata</b>saññā, aniccasaññā, anicce dukkhasaññā, dukkhe anattasaññā, pahānasaññā, virāgasaññā, nirodhasaññā"
4980,anabhirati,"alābhā vata me, na vata me lābhā, dulladdhaṃ vata me, na vata me suladdhaṃ, yassa me <b>anabhirati</b> uppannā, rāgo cittaṃ anuddhaṃseti,"
5609,anavaññattipaṭisaṃyutta,"<b>anavaññattipaṭisaṃyutta</b>vitakkavaḍḍhananti, sabbaṃ taṃ takkavaḍḍhanaṃ."
4935,ana 1,"idha, bhikkhave, bhikkhu paṭisaṅkhā yoniso uppannaṃ kāmavitakkaṃ n'ādhivāseti pajahati vinodeti byantīkaroti <b>ana</b>bhāvaṃ gameti"
5086,anāgata 1,kin'ti <b>anāgatā</b> ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun'ti
5379,anāpanna,yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ <b>anāpannā</b> saṅghena vā anukkhittā.
5983,anicchāsaññā,"katamā dasa? aniccasaññā, anattasaññā, asubhasaññā, ādīnavasaññā, pahānasaññā, virāgasaññā, nirodhasaññā, sabbaloke anabhiratasaññā, sabbasaṅkhāresu <b>anicchāsaññā</b>, ānāpānassati."
6116,aniṭṭhaṅgata,"kaṅkhī vat'amhi vicikicchī <b>aniṭṭhaṅ'gato</b> saddhamme'ti. ime kho cattāro maraṇadhammā samānā bhāyanti, santāsaṃ āpajjanti maraṇassa."
6983,anukampī,"ekam'pi ce pāṇam'aduṭṭhacitto, mettāyati kusalī tena hoti. <br/>sabbe ca pāṇe manasa-<b>anukampī</b>, pahūtam'ariyo pakaroti puññaṃ."
7014,anukkhitta,yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ anāpannā saṅghena vā <b>anukkhittā</b>.
7002,anukhuddaka,"kiṃ pan'imehi khudda-<b>anukhuddakehi</b> sikkhāpadehi uddiṭṭhehi, yāva'd'eva kukkuccāya vihesāya vilekhāya saṃvattantī'ti"
6855,anudayatā,amarāvitakkavaḍḍhanaṃ para-<b>anudayatā</b>paṭisaṃyuttavitakkavaḍḍhanaṃ lābhasakkārasilokapaṭisaṃyuttavitakkavaḍḍhanaṃ
7189,anupaghāta,"sabbe te adukkhā <b>anupaghātā</b> anupāyāsā apariḷāhā sammāpaṭipannā'ti, iti vadaṃ itth'eke ussādeti."
7235,anupanāha,upanāhissa purisapuggalassa <b>anupanāho</b> hoti parinibbānāya. makkhissa purisapuggalassa amakkho hoti parinibbānāya.
7292,anupariyāya,"seyyathā'pi rañño paccantime nagare <b>anupariyāya</b>patho hoti ucco c'eva vitthato ca, evam'evaṃ kho, ariyasāvako ottappī hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena"
7294,anupariyāyapatha,"seyyathā'pi rañño paccantime nagare <b>anupariyāyapatho</b> hoti ucco c'eva vitthato ca, evam'evaṃ kho, ariyasāvako ottappī hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena"
7218,anupalabbhamāna 1,"ettha ca te, āvuso yamaka, diṭṭh'eva dhamme saccato thetato tathāgate <b>anupalabbhamāne</b>, kallaṃ nu te taṃ veyyākaraṇaṃ"
7174,anupādinna,upādinn'upādāniyā dhammā. <b>anupādinn</b>'upādāniyā dhammā. <b>anupādinn</b>'ānupādāniyā dhammā.
7369,anupāyāsa,"sabbe te adukkhā anupaghātā <b>anupāyāsā</b> apariḷāhā sammāpaṭipannā'ti, iti vadaṃ itth'eke ussādeti."
7893,anuyuñjati 1,"sukhavinicchayaṃ jaññā, sukhavinicchayaṃ ñatvā ajjhattaṃ sukham'<b>anuyuñjeyya</b>."
7894,anuyuñjati 2,"pamādam'<b>anuyuñjanti</b>, bālā dummedhino janā,<br/>appamādañ'ca medhāvī, dhanaṃ seṭṭhaṃ'va rakkhati."
7672,anussaritar,"seyyathā'pi dovāriko hoti paṇḍito byatto medhāvī aññātānaṃ nivāretā ñātānaṃ pavesetā, evam'evaṃ kho ariyasāvako satimā hoti paramena satinepakkena samannāgato cirakatam'pi cirabhāsitam'pi saritā <b>anussaritā</b>."
7693,anussāvesi,tāvatiṃsānaṃ devānaṃ saddaṃ sutvā yāmā devā saddam'<b>anussāvesum</b>
6714,anu 2,"idān'eva kho ahaṃ ājānāmi, ayam'pi kira dhammo, sutt'āgato suttapariyāpanno, <b>anu</b>addhamāsaṃ uddesaṃ āgacchatī'ti"
6715,anu 3,"idha, bhikkhave, bhikkhu kāye kāy'ānupassī viharati"
6422,anoka 1,"kaṇhaṃ dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/>okā <b>anokam</b>'āgamma, viveke yattha dūramaṃ."
6464,anottāpī,<b>anottāpissa</b> purisapuggalassa ottappaṃ hoti parinibbānāya. appassutassa purisapuggalassa bāhusaccaṃ hoti parinibbānāya.
6436,anoma 1,sayaṃ samattaṃ karoti paripuṇṇaṃ karoti <b>anomaṃ</b> karoti aggaṃ seṭṭhaṃ visiṭṭhaṃ pāmokkhaṃ uttamaṃ pavaraṃ karoti.
5699,andha 1,"evaṃ sante kho, uttara, <b>andho</b> bhāvit'indriyo bhavissati, badhiro bhāvit'indriyo bhavissati."
6197,annā,te'dha bhikkhū aṭṭhiṃ katvā manasi katvā sabbaṃ cetaso sam<b>annā</b>haritvā ohitasotā dhammaṃ suṇanti
7953,anvāya 1,"sā aparena samayena saṃvāsam'<b>anvāya</b> vissāsam'<b>anvāya</b> sassum'pi sasuram'pi sāmikam'pi evam'āha, apetha, kiṃ pana tumhe jānāthā'ti!"
4931,an 2,"tasmā't'iha, bhikkhave, evaṃ sikkhitabbaṃ, santuṭṭhā bhavissāma itar'ītarena cīvarena, itar'ītaracīvarasantuṭṭhiyā ca vaṇṇavādino, na ca cīvarahetu <b>an</b>esanaṃ appatirūpaṃ āpajjissāma."
8182,apakaṭṭha,"yo cakkhumā mohamal'<b>āpakaṭṭho</b>, sāmaṃ va buddho sugato vimutto, mārassa pāsā vinimocayanto, pāpesi khemaṃ janataṃ vineyyaṃ"
71825,apararatta,"indriyesu guttadvārā bhavissāma, bhojane mattaññuno, jāgariyaṁ anuyuttā, vipassakā kusalānaṁ dhammānaṁ, pubbaratta-<b>apararattaṁ</b> bodhipakkhiyānaṁ dhammānaṁ, bhāvan'ānuyogam'anuyuttā viharissāmā’ti."
8532,apariyādinna 2,"aluddho pan'āyaṃ, kālāmā, purisapuggalo lobhena anabhibhūto <b>apariyādinna</b>citto n'eva pāṇaṃ hanati"
8444,aparihāna,ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.
8445,aparihānadhamma,"kathañ'ca, bhikkhave, <b>aparihānadhammo</b> hoti? idha, bhikkhave, bhikkhuno cakkhunā rūpaṃ disvā uppajjanti pāpakā akusalā sarasaṅkappā saṃyojaniyā."
8463,apariḷāha,"sabbe te adukkhā anupaghātā anupāyāsā <b>apariḷāhā</b> sammāpaṭipannā'ti, iti vadaṃ itth'eke ussādeti."
7968,apa 1,ācayāya saṃvattanti no <b>apa</b>cayāya
8348,apāra 2,"seyyathā'pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udak'aṇṇavaṃ … na c'assa nāvā santāraṇī uttarasetu vā <b>apārā</b> pāraṃ gamanāya."
8782,api 1.3,"yathā'pi mūle anupaddave daḷhe, chinno'<b>pi</b> rukkho punar'eva rūhati, <br/>evam'pi taṇh'ānusaye anūhate, nibbattatī dukkham'idaṃ punappunaṃ."
8784,api 1.5,sādhu no bhante bhagavā suciraparinibbuto'<b>pi</b> pacchimājanat'ānukampamānasā
71146,api 1.7,"jāti'<b>pi</b> dukkhā, jarā'<b>pi</b> dukkhā, maraṇam'<b>pi</b> dukkhaṃ, sokaparidevadukkhadomanass'upāyāsā'<b>pi</b> dukkhā"
9240,apurakkharāna,"kathañ'ca, gahapati, <b>apurakkharāno</b> hoti? idha, gahapati, ekaccassa na evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ"
9064,appaṭikūla,"sace ākaṅkhati, paṭikūlañ'ca <b>appaṭikūlañ'</b>ca tad'ubhayaṃ abhinivajjetvā upekkhako vihareyyaṃ sato sampajāno'ti"
9031,appaṭibaddha,"chandajāto anakkhāte, <br/>manasā ca phuṭo siyā,<br/>kāmesu ca <b>appaṭibaddha</b>citto, <br/>uddhaṃsoto'ti vuccati."
9121,appaṭivattiya,etaṃ bhagavatā bārāṇasiyaṃ isipatane migadāye anuttaraṃ dhammacakkaṃ pavattitaṃ <b>appaṭivattiyaṃ</b> samaṇena vā brāhmaṇena vā devena vā mārena vā brahmunā vā kenaci vā lokasmin'ti.
8995,appasāda,"atha khv'etaṃ, moghapurisa, appasannānañ'c'eva <b>appasādāya</b>, pasannānañ'ca ekaccānaṃ aññathattāyā'ti."
8833,appa 1,"paṇītaṃ yadi vā lūkhaṃ, <b>appaṃ</b> vā yadi vā bahuṃ.<br/>yāpanatthaṃ abhuñjiṃsu, agiddhā n'ādhimucchitā."
66,abbata,"na muṇḍakena samaṇo, <b>abbato</b> alikaṃ bhaṇaṃ. <br/>icchālobhasamāpanno, samaṇo kiṃ bhavissati."
70935,abbuḷhasalla,"saññaṃ pariññā vitareyya oghaṃ, pariggahesu muni nopalitto,<br/><b>abbūḷhasallo</b> caram'appamatto, n'āsīsatī lokam'imaṃ parañ'cā'ti."
159,abbhuggacchi,itiha tena khaṇena tena muhuttena yāva brahmalokā saddo <b>abbhuggacchi</b>.
1271,abyākata,kusalā dhammā. akusalā dhammā. <b>abyākatā</b> dhammā
1301,abyāpanna,"byāpādapadosaṃ pahāya <b>abyāpanna</b>citto viharati sabbapāṇabhūtahit'ānukampī<b>,</b> byāpādapadosā cittaṃ parisodheti"
