id	pos	lemma	root_key	family_root	meaning	ru_meaning	ru_meaning_lit	ru_meaning_raw	corrections_ru_meaning	corrections_ru_meaning_lit	notes
161	pp	akārita 1	√kar	√kar	not caused to be done (by); not made to do	не побужденный совершать (кем-то); не заставленный делать (кем-то)					
163	ptp	akāriya	√kar	√kar	not do-able; could not be done; impossible to do; lit. not to be done	не выполнимый; не может быть сделан; невозможно сделать					
164	abs	akāretvā	√kar	√kar	having not made; having not caused to do	не побудив сделать; не сделав					
181	aor	akāsi 1	√kar	√kar	did; performed	совершил; выполнил					
182	aor	akāsi 2	√kar	√kar	made	сделал; назначил					
184	aor	akāsiṃ 1	√kar	√kar	I did	я совершил; я выполнил					
185	aor	akāsiṃ 2	√kar	√kar	I made	я сделал; я назначил					
186	nt	akicca 1	√kar	√kar	(something which) should be not done; ought not to be made; lit. not to be done	(то что) не должно быть сделано; не следует совершать					
204	nt	akiriya 1	√kar	√kar	non-doing; not doing	неделание; бездействие					
221	pp	akukkuca	√kar	√kar	free from bad behaviour; free from wrongdoing	свободный от плохого поведения; без проступков					
237	prp	akubbato	√kar	√kar	for one not doing (something)	для того кто не делает (что-то)					
239	prp	akubbanta	√kar	√kar	not doing; not making	не делающий; не определяющий					
240	prp	akubbamāna	√kar	√kar	not doing; not making; not creating	не делающий; не совершающий; не создающий					
19254	ger	kacca	√kar	√kar	doing; making; acting; performing	делая; изготавливая; совершая; сооружая					
19316	masc	kaṭa 1	√kar	√kar	winning dice			игральная кость			
19594	pp	kata 1	√kar	√kar	done; did; completed	созданный; сделанный					
19595	nt	kata 2	√kar	√kar	something done; performed action; lit. done	что-то сделанное; выполненное действие					
19596	pp	kata 3	√kar	√kar	made (of); built (of)	сделанный (из); построенный (из)					
19597	pp	kata 4	√kar	√kar	(of gold) formed; shaped; wrought; forged			формированный; придавать форму; чеканный; кованный			
19620	ind	katato	√kar	√kar	as done; as completed			как сделано; как завершено			
19621	nt	katatta	√kar	√kar	fact of having done; lit. done state	выполнение	состояние завершенности				
19622	nt	katattā	√kar	√kar	because of doing; from the fact of having done; lit. from done state	из-за выполнения; по причине совершения	из состояния сделанного				
19694	adj	katāvī 1	√kar	√kar	skilled; accomplished (in); lit. who has done	умелый; опытный; искусный; достигший мастерства	сделавший				
19700	fem	katikā 1	√kar	√kar	agreement; arrangement; promise			соглашение; договорённость; обещание			
19727	ptp	kattabba 1	√kar	√kar	should be done (by); lit. to be done	должно быть сделано; может быть выполнено					
19728	ptp	kattabba 2	√kar	√kar	should be made (by); lit. to be done			должен быть сделан; досл. должно быть сделано			
19733	fem	kattabbatā	√kar	√kar	obligation; necessity; something that should be done	обязанность; необходимость; то что должно быть сделано					
19735	masc	kattar 1	√kar	√kar	creator; maker	деятель; создатель; тот кто совершает					
19736	masc	kattar 2	√kar	√kar	(of a talk) speaker; lit. doer; maker	(о беседе) говорящий	деятель; создатель				
19737	masc	kattar 6	√kar	√kar	(gram) agent; subject of the verb; lit. doer; maker			(грам) агент; подлежащее глагола; досл. тот, кто делает; создатель			
19738	masc	kattar 7	√kar	√kar	(gram) active voice			действительный залог (грам)			
19739	masc	kattar 4	√kar	√kar	who makes			тот, кто делает			
19741	masc	kattar 3	√kar	√kar	author; composer; writer; lit. doer			автор; композитор; писатель; досл. делающий			
19747	masc	kattari 1.1	√kar	√kar	(gram) when active voice			(грам) когда залог действительного наклонения			
19770	inf	kattuṃ	√kar	√kar	to do; to make	делать; совершать					
19788	abs	katvā 1	√kar	√kar	having done	сделав; совершив					
19789	abs	katvā 2	√kar	√kar	having made	выполнив					
19790	abs	katvāna 1	√kar	√kar	having done	сделав; выполнив					
19791	abs	katvāna 2	√kar	√kar	having made; having done; having performed			сделав; совершив; выполнив			
20233	nt	kamma 1	√kar	√kar	action; deed; doing	действие; поступок; дело					
20234	nt	kamma 2	√kar	√kar	work; job; occupation	работа; труд; занятие					
20235	nt	kamma 3	√kar	√kar	action; deed; work (subject)	действие; дело; работа					
20236	nt	kamma 4	√kar	√kar	action; deed; work (object)	действие; дело; работу					
20237	nt	kamma 5	√kar	√kar	(vinaya) legal action; procedure; operation; act	(виная) официальное действие; процесс в соответствии с правилом					
20238	nt	kamma 7	√kar	√kar	(gram) object of the verb			объект (грам) глагола			
20239	nt	kamma 8	√kar	√kar	(gram) passive voice; lit. action			(грам) страдательный залог; досл. действие			
20266	adj	kammañña 1	√kar	√kar	ready; workable; suitable for use	готовый; работоспособный; подходит для использования					
20267	adj	kammañña 2	√kar	√kar	(of an instrument) playable; lit. workable	(инструмент) годный для игры; подходящий для использования					
20269	fem	kammaññatā	√kar	√kar	(abhidhamma) workability; adaptability; readiness			(абхидхамма) приспособляемость; адаптируемость; готовность			
20292	adj	kammaniya	√kar	√kar	ready; workable; suitable for use; functional	готовый; рабочий; подходящий для использования					
20293	adj	kammaniyatara	√kar	√kar	more workable; more suitable for use; more functional			более работоспособный; более подходящий для использования; более функциональный			
20379	masc	kammāra	√kar	√kar	smith; metal worker; blacksmith	кузнец; рабочий по металлу					
20400	adj	kammika 1	√kar	√kar	working in; doing; occupied with			работающий в; делающий; занятый (чем-либо)			
20401	masc	kammika 2	√kar	√kar	doer; agent; performer of an action	исполнитель; деятель					
20402	masc	kammiya	√kar	√kar	customs official; lit. agent			таможенник; досл. агент			
20403	masc	kammī	√kar	√kar	doer; maker; performer of an action	деятель; создатель; исполнитель действия					
20404	nt	kammunā	√kar	√kar	by action; by deed; by doing	делом; поступком; действием					
20406	nt	kamme	√kar	√kar	action; deed; doing			действие; деяние; совершение			
20417	pr	kayirati	√kar	√kar	is done; is made; is performed	делается; совершается; выполняется					
20418	prp	kayiramāna	√kar	√kar	being done; being made			делаемый; создаваемый			
20419	opt	kayirā	√kar	√kar	should do; could make	может сделать; мог бы совершить					
20420	opt	kayirātha 1	√kar	√kar	one oneself should make; one oneself should do	сам мог бы сделать					
20423	adj	kara 1	√kar	√kar	doing; making	делающий; создающий					
20424	root	kara 8	√kar	√kar	(gram) √kar (do, make)			(грам) √kar (делать, создавать); рассматривать Пали в контексте: 481, 524. <b>карэсса</b> сапаччаясса као.			
20425	masc	kara 7	√kar	√kar	(gram) helping; supporting; promoting			(грам) помощь; поддержка; содействие			
20426	masc	kara 2	√kar	√kar	semen; sperm; lit. making			сперма; сперматозоид; досл. создание			
20450	adj	karaṇa 1	√kar	√kar	doing; making; causing; effecting	делающий; выполняющий; создающий					
20451	adj	karaṇa 2	√kar	√kar	helpful; useful; assistive; lit. doing			полезный; полезный; вспомогательный; досл. делающий			
20452	nt	karaṇa 5	√kar	√kar	(gram) instrumental case; lit. doing			(грам) творительный падеж; досл. делание			
20454	nt	karaṇa 4	√kar	√kar	act of doing; performing	действие					
20463	adj	karaṇī 1	√kar	√kar	doing; making; causing; effecting			делающий; создающий; вызывающий; осуществляющий			
20464	fem	karaṇī 2	√kar	√kar	instrument which does something; lit. doing			инструмент, который что-то делает; досл. делание			
20465	nt	karaṇīya 1	√kar	√kar	duty; obligation; business; something to be done; lit. to be done	долг; обязанность; то что следует сделать	к исполнению				
20466	ptp	karaṇīya 2	√kar	√kar	should be done; must be done; ought to be made; to be observed; lit. to be done	должен быть сделан; следует выполнить					
20467	ptp	karaṇīya 3	√kar	√kar	should be; must be; should be had; lit. to be done			следует быть; должен быть; следует иметь; досл. должно быть сделано			
20500	aor	kari 2	√kar	√kar	made			сделал			
20502	abs	karitvā 1	√kar	√kar	having done; having performed	сделав; совершив					
20503	abs	karitvā 2	√kar	√kar	having made	совершив					
20504	abs	karitvā 3	√kar	√kar	having built; having constructed			построив			
20505	abs	karitvāna	√kar	√kar	having done; having made; having built			сделав; построив; создав			
20506	ger	kariya	√kar	√kar	doing; making			делая, создавая			
20508	pr	kariyati	√kar	√kar	is done (by); is practised (by)			делается (кем-либо); практикуется (кем-либо)			
20509	prp	kariyamāna 1	√kar	√kar	being done (by)	выполняемый (кем-то); совершающийся (кем-то)					
20510	prp	kariyamāna 2	√kar	√kar	being made (by)			изготавливаемый (кем-либо)			
20512	fut	karissati 1	√kar	√kar	will make	будет делать					
20513	fut	karissaṃ	√kar	√kar	I myself will do; I myself will make			я сам сделаю; я сам создам			
20514	adj	karī 1	√kar	√kar	doing; making; causing			делающий; создающий; вызывающий			
20516	pr	karīyati 1	√kar	√kar	is done (by); is practised (by)			делается; практикуется			
20517	pr	karīyati 2	√kar	√kar	befalls; happens (to); lit. is done	случается; происходит (с)	делается (для)				
20551	opt	kareyya 2	√kar	√kar	would make; could make	может сделать; может совершить					
20552	ptp	kareyya 3	√kar	√kar	could be done; should be made; lit. to be done			может быть сделано; следует сделать; досл. должно сделать			
20558	pr	karoti 1	√kar	√kar	does; acts; performs	делает; совершает; исполняет					
20559	pr	karoti 2	√kar	√kar	makes	делает; назначает; производит					
20560	pr	karoti 3	√kar	√kar	builds; constructs			строит, конструирует			
20561	prp	karoto	√kar	√kar	for (the person) doing; to (the person) performing	для (человека) делающего; к (человеку), исполняющему					
20563	prp	karonta 1	√kar	√kar	doing; performing	делающий; совершающий					
20564	prp	karonta 2	√kar	√kar	making			делающий			
20565	prp	karonta 3	√kar	√kar	building			строящий			
20566	imp	karomase	√kar	√kar	we must do; let us make; let us act; we must perform	мы должны сделать; давайте действовать; нам следует выполнить					
20568	imp	karohi	√kar	√kar	do!; make!	сделай! ты должен выполнить; тебе следует делать					
20796	fut	kassati 1.1	√kar	√kar	will do; will make			сделает			
20811	fut	kassāma	√kar	√kar	we will do; we will make	мы сделаем; мы выполним; мы создадим					
20812	fut	kassāmi	√kar	√kar	I will do; I will make			сделаю; создам			
20919	ptp	kātabba 1	√kar	√kar	should be done; lit. to be done	должен быть сделан; следует выполнить					
20920	ptp	kātabba 2	√kar	√kar	should be made; lit. to be done	должен быть сделан; следует назначить; следует произвести					
20933	inf	kātuna	√kar	√kar	to do; to perform			делать, выполнять			
20934	inf	kātuṃ 1	√kar	√kar	to do; to perform	делать; совершать					
20935	inf	kātuṃ 2	√kar	√kar	to make	сделать; назначить					
21288	masc	kāra 1	√kar	√kar	deed; action; service	дело; действие; помощь					
21289	masc	kāra 2	√kar	√kar	doer; maker; agent	деятель; создатель					
21290	masc	kāra 3	√kar	√kar	smith; metal worker; lit. maker	кузнец; рабочий по металлу					
21291	masc	kāra 7	√kar	√kar	(gram) letter; sound; syllable; indeclinable word			буква; звук; слог; неизменяемое слово			
21293	masc	kāraka 1	√kar	√kar	doer; maker; creator (of)	деятель; создатель					
21294	masc	kāraka 2	√kar	√kar	builder	строитель					
21295	adj	kāraka 3	√kar	√kar	doing; making; performing; following; causing; creating	делающий; побуждающий; создающий					
21301	nt	kāraṇa 1	√kar	√kar	task; labour; lit. causing to do	задача; труд	то что заставляют сделать				
21302	nt	kāraṇa 2	√kar	√kar	reason; cause; lit. causing to do	причина; повод; основание					
21303	nt	kāraṇa 3	√kar	√kar	(in debate) argument; lit. causing to do	(в дискуссии) аргумент; довод					
21304	nt	kāraṇa 5	√kar	√kar	causing to do; forcing to do			принуждение; заставление			
21307	nt	kāraṇa 4	√kar	√kar	legal action; disciplinary case; lit. causing to do	надлежащее действие; дисциплинарное дело; официальное действие	побуждение делать				
21309	fem	kāraṇatā	√kar	√kar	fact of being a reason; causality; causation; lit. causing to do state			факт быть причиной; причинность; каузальность; досл. приведение к состоянию			
21323	ind	kāraṇā 1	√kar	√kar	because (of); for the sake (of); lit. from cause			потому что; ради; досл. по причине			
21326	masc	kāraṇika	√kar	√kar	torturer; lit. causing to do			палач; досл. вызывающий делать			
21333	pr	kārayati 1	√kar	√kar	makes one do			заставляет делать			
21334	pr	kārayati 2	√kar	√kar	causes to make			заставляет делать			
21335	prp	kārayanta	√kar	√kar	causing to do; causing to make			заставляющий делать; вызывающий создание			
21336	prp	kārayamāna 1	√kar	√kar	making; causing to make	делающий; побуждающий сделать					
21337	prp	kārayamāna 2	√kar	√kar	building; lit. causing to do	строящий	побуждающий сделать				
21339	fem	kārā	√kar	√kar	prison; jail			тюрьма; тюремное заключение			
21347	pp	kārāpita 2	√kar	√kar	built (by); constructed (by); lit. caused to make			построенный (кем-либо); возведенный (кем-либо); досл. вызванный сделать			
21349	pr	kārāpeti	√kar	√kar	causes to make; has made; causes to do; has built	заставляет сделать; побуждает выполнить; заставляет построить					
21351	inf	kārāpetuṃ 1	√kar	√kar	to cause to do			заставлять делать			
21352	inf	kārāpetuṃ 2	√kar	√kar	to cause to make; to have (something) built			заставлять сделать; поручить построить			
21353	abs	kārāpetvā 1	√kar	√kar	having caused to do			заставив сделать			
21354	abs	kārāpetvā 2	√kar	√kar	having had (something) made; lit. having caused to make	принудив сделать; побудив создать					
21355	abs	kārāpetvā 3	√kar	√kar	having had (something) built; lit. having caused to build			построив; досл. заставив построить			
21356	prp	kārāpenta	√kar	√kar	causing to make; causing to do	заставляющий делать; побуждающий создавать					
21357	aor	kārāpesi 1	√kar	√kar	had (something) built (for); had (something) made (for); lit. caused to make	побудил (кого-то) построить (что-то); заказал изготовить (что-то)	побудил сделать				
21361	fem	kārikā 1	√kar	√kar	performance (of); doing (of); practice (of)			исполнение (к); выполнение (к); практика (к)			
21363	pp	kārita 1	√kar	√kar	built; constructed (by); lit. caused to be done			"построенный; возведенный (кем-либо); досл. ""вызвано к исполнению"""			
21364	nt	kārita 4	√kar	√kar	(gram) causative verb; causative affix; lit. caused to do			(грам) каузативный глагол; каузативный аффикс; досл. заставленный сделать			
21367	ptp	kāriya 3	√kar	√kar	(gram) could be done; possible to do; lit. to be done			(грам) может быть сделано; возможно сделать; досл. должно быть сделано			
21369	nt	kāriya 4	√kar	√kar	(gram) morphological procedure; grammatical operation; lit. to be done			(грам) морфологическая процедура; грамматическая операция; досл. то, что должно быть сделано			
21370	prp	kāriyamāna	√kar	√kar	being made to do; being made to perform; lit. being caused to do	побуждаемый выполнить					
21371	adj	kārī 1	√kar	√kar	doing; making	делающий; совершающий					
21372	masc	kārī 2	√kar	√kar	doer; maker; agent	деятель; создатель; тот кто совершает					
21373	masc	kāruka	√kar	√kar	artisan; craftsman; lit. maker	ремесленник	производитель				
21379	ptp	kāretabba 1	√kar	√kar	should be made; lit. to cause to be done	должен быть сделан; следует выполнить	к побуждению исполнить				
21380	ptp	kāretabba 2	√kar	√kar	(vinaya) should be made to do (by); should be dealt with; lit. to cause to be made	(виная) следует побудить сделать; с которым следует поступить					
21382	pr	kāreti 1	√kar	√kar	makes one do; causes to make	побуждает делать; заставляет совершать					
21383	pr	kāreti 2	√kar	√kar	performs; practices	выполняет; практикует					
21384	pr	kāreti 3	√kar	√kar	(vinaya) deals with; settles; lit. causes to do			(винаья) занимается; решает; досл. заставляет делать			
21385	pr	kāreti 4	√kar	√kar	builds; has constructed; lit. causes to build	строит; побуждает соорудить	побуждает к строительству				
21386	pr	kāreti 5	√kar	√kar	executes; wields; lit. causes to do			осуществляет; владеет; досл. заставляет делать			
21388	abs	kāretvā 1	√kar	√kar	having made; having caused to do	побудив сделать; сделав					
21390	prp	kārenta	√kar	√kar	causing to do; causing to make			заставляющий делать; заставляющий создавать			
21391	aor	kāresi	√kar	√kar	caused to do; caused to build			заставил делать; заставил строить			
21521	fut	kāhati	√kar	√kar	will do; will make			сделает; создаст			
21522	fut	kāhasi	√kar	√kar	you will make; you will build	ты сделаешь; построишь					
21523	fut	kāhāma 1	√kar	√kar	we will do			мы сделаем			
21524	fut	kāhāma 2	√kar	√kar	we will make			сделаем			
21525	fut	kāhāmi 1	√kar	√kar	I will do	я сделаю					
21526	fut	kāhāmi 2	√kar	√kar	I will make			сделаю			
21527	fut	kāhiti	√kar	√kar	will do; will make	сделает; совершит					
21528	fut	kāhinti	√kar	√kar	they will do; they will make	они сделают; они приготовят					
21529	fut	kāhisi	√kar	√kar	you will make; you will build			сделаешь; построишь			
21615	nt	kicca 2	√kar	√kar	obligation (for); duty (for); work (for); lit. to be done	обязанность; работа; дело; долг	к исполнению				
21616	ptp	kicca 1	√kar	√kar	should be done (by); ought to be made (by); lit. to be done	следует выполнить; подлежит совершению	к исполнению				
21617	nt	kicca 5	√kar	√kar	function; lit. to be done			функция; досл. быть сделанным			
21618	nt	kicca 3	√kar	√kar	something to be done; lit. to be done			что-то, что должно быть сделано; досл. то, что должно быть сделано			
21619	nt	kicca 6	√kar	√kar	(gram) primary derivative; affix added to roots to form potential participles; e.g. -anīya, -tabba, etc.; lit. to be			(грамм.) первичное производное; аффикс, добавляемый к корням для образования потенциальных причастий; напр. -anīya, -tabba и т. д.; досл. быть			
21693	pp	kita 1.1	√kar	√kar	made; done			сделанный; выполненный			
21694	masc	kita 1.2	√kar	√kar	(gram) an affix added to roots to form primary derivative participles, nouns and adjectives; primary derivative; lit. made			(грам) аффикс, добавляемый к корням для образования первичных производных причастий, существительных и прилагательных; первичная производная; досл. сделанный			
21696	masc	kitaka	√kar	√kar	(gram) primary derivative; noun or adjective formed directly from the root and a kita suffix; lit. related to made			(грам) первичное производное; существительное или прилагательное, образованное непосредственно от корня и суффикса кита; досл. связанный с созданным			
21815	nt	kiriya 1	√kar	√kar	making; doing; performing	изготовление; совершение; выполнение					
21824	fem	kiriyā 1	√kar	√kar	act; action; activity; deed; performance	действие; деятельность; поступок; исполнение					
21825	fem	kiriyā 2	√kar	√kar	consequence of actions; lit. action			последствие действий; досл. действие			
22089	nt	kukucca	√kar	√kar	uneasiness; anxiety; worry; restlessness; lit. fidgeting			беспокойство; тревога; волнение; неугомонность; досл. ерзание			
22097	nt	kukkucca 2	√kar	√kar	misbehaviour; misconduct; lit. badly done			дурное поведение; плохое деяние; досл. плохо сделанное			
22098	nt	kukkucca 3	√kar	√kar	uneasiness; anxiety; worry; restlessness; lit. fidgeting	волнение; беспокойство; тревога	суета				
22099	nt	kukkucca 1	√kar	√kar	fidgeting; fiddling			ёрзание; возня			
22100	adj	kukkuccaka	√kar	√kar	principled; conscientious; scrupulous; lit. fidgeting	принципиальный; добросовестный; безупречный	беспокойный				
22103	pr	kukkuccāyati	√kar	√kar	feels anxious (about); feels uneasy (about); worries (about)			испытывает беспокойство (о); чувствует тревогу (о); волнуется (о)			
22104	prp	kukkuccāyanta	√kar	√kar	feeling anxious; feeling uneasy; worrying			чувствующий тревогу; чувствующий беспокойство; переживающий			
22106	nt	kukkuccāyitabba	√kar	√kar	which should be anxious about; which should be uneasy about; which should be worried about; lit. to be uneasy			о чем следует беспокоиться; о чем следует тревожиться; о чем следует волноваться; досл. быть обеспокоенным			
22107	nt	kukkucciya	√kar	√kar	restlessness; uneasiness; anxiety			беспокойство; тревожность; волнение			
22305	nt	kutta 1	√kar	√kar	behaviour; style; bearing; way of holding oneself; lit. made			поведение; стиль; манера; способ держаться; досл. сделанный			
22306	pp	kutta 2	√kar	√kar	created; formed; fashioned (by)			созданный; сформированный; сконструированный (кем-то)			
22307	adj	kuttaka 1	√kar	√kar	fake; sham; bogus; lit. acting; behaving			поддельный, фальшивый, ложный, досл. действующий, ведущий себя			
22308	nt	kuttaka 2	√kar	√kar	(comm) woollen carpet large enough for sixteen women to dance on			ковёр из шерсти, достаточно большой, чтобы на нём могли танцевать шестнадцать женщин (комм)			
22310	fem	kutti	√kar	√kar	act of doing; performance; composition; creation			действие; исполнение; сочинение; создание			
22368	pr	kubbati 1	√kar	√kar	makes; creates	делает; совершает; создает					
22370	prp	kubbato	√kar	√kar	for one doing (something)	для того кто делает (что-то)					
22372	prp	kubbanta 1	√kar	√kar	doing; performing	делающий; выполняющий					
22374	prp	kubbamāna	√kar	√kar	making; forming; creating			делающий; формирующий; создающий			
22375	opt	kubbaye	√kar	√kar	should make; should form			следует сделать; следует сформировать			
22378	prp	kubbāna	√kar	√kar	doing; making; performing	делающий; выполняющий					
22379	opt	kubbetha	√kar	√kar	one oneself should do; one oneself should make	сам мог бы делать; может совершать					
22509	pr	kurute	√kar	√kar	one oneself does; one oneself makes	сам делает; приготавливает самостоятельно					
22514	prp	kurumāna	√kar	√kar	doing; making			делающий; создающий			
23244	fem	kriyā 1	√kar	√kar	action; activity; deed; performance; process			действие; деятельность; поступок; выполнение; процесс			
23370	pp	khata 2.1	√kar	√kar	done; made	сделанный; изготовленный					
23559	prp	kharāna	√kar	√kar	doing; making	делающий; создающий					
32849	adj	dukkaṭa 1	√kar	√kar	badly done; wrongly done	плохо сделанный; неправильно выполненный					
32850	nt	dukkaṭa 2	√kar	√kar	bad deed; wrong action	плохой поступок; неправильное действие					
32851	nt	dukkaṭa 3	√kar	√kar	class of vinaya offence; wrong-doing; lit. badly done	тип нарушения правил винаи; проступок	плохо сделанный				
32863	adj	dukkara 1	√kar	√kar	difficult to do; hard to achieve	трудно выполнимый					
32864	nt	dukkara 2	√kar	√kar	which is difficult to do; something hard to achieve			то, что трудно сделать; нечто сложное для достижения			
32868	adj	dukkaratara	√kar	√kar	harder to do; more difficult			труднее сделать; более сложный			
36024	aor	nākaramha	√kar	√kar	we did not do; we did not make			мы не делали; мы не создавали			
36025	cond	nākarissa	√kar	√kar	would not have done; would not have made			не сделал бы; не создал бы			
36026	aor	nākāsi	√kar	√kar	did not do; did not perform			не делал; не исполнил			
36735	fem	nikkaruṇatā	√kar	√kar	compassionlessness; pitilessness; heartlessness; lit. without compassion state			бессердечие; безжалостность; бесчувственность; досл. состояние без сострадания			
36741	adj	nikkāraṇa 1	√kar	√kar	without grounds; with no basis; unnecessary; lit. no cause			безосновательный; без оснований; ненужный; досл. без причины			
36744	adj	nikkukkucca	√kar	√kar	without uneasiness; without anxiety; without concern; lit. no fidgeting			без беспокойства; без тревоги; без заботы; досл. без ерзания			
56315	adj	sakammaka	√kar	√kar	(gram) transitive; taking an object; lit. with object			(грам) переходный; принимающий объект; досл. с объектом			
56348	adj	sakāraṇa	√kar	√kar	with reason; having a cause			с причиной; имеющий причину			
63377	adj	sukaṭa 1	√kar	√kar	well done; well performed; good	отлично сделанный; хорошо выполненный; хороший					
63381	nt	sukata 1	√kar	√kar	good deed; right action	доброе дело; правильное действие					
63382	adj	sukata 2	√kar	√kar	well done; properly performed; good	хорошо сделанный; хорошо выполненный					
63395	adj	sukara 1	√kar	√kar	easily done; easy to do	легко выполнимый; простой для выполнения					
63400	adj	sukāraṇa	√kar	√kar	with good reason			по уважительной причине			
63413	adj	sukkaṭa	√kar	√kar	well done; correctly done; wholesome			хорошо сделанный; правильно сделанный; полезный			
63889	adj	sudukkara	√kar	√kar	extremely difficult to do			чрезвычайно трудный для выполнения			
72088	ptp	akaraṇīya 4	√kar	√kar	unassailable (by); unattackable (by); untouchable (by); lit. not to be done			неприступный; неуязвимый; недоступный; досл. не должен быть выполнен			
72545	adj	akāraka 2	√kar	√kar	innocent; guiltless; blameless; lit. not the doer			невиновный; неповинный; безупречный; досл. не совершивший			
73800	pp	kaṭa 2	√kar	√kar	done; did; completed			сделанный, завершённый, выполненный			
74765	adj	nikkāraṇa 2	√kar	√kar	without motive; with no ulterior motive; lit. no cause			безмотивный; без задней мысли; досл. без причины			
74774	nt	kiccatta	√kar	√kar	fact of having something to be done; fact of having obligations; fact of having work to do; lit. to be done state			"факт наличия чего-то, что нужно сделать; факт наличия обязательств; факт наличия работы; досл. состояние ""быть сделанным"""			
75798	nt	kukkucca 4	√kar	√kar	remorse; regret; repentance; lit. badly done			раскаяние; сожаление; покаяние; досл. плохо сделаное			
76419	adj	sukara 2	√kar	√kar	easy to make; easily creatable	легкий для создания; легко создаваемый					
76420	ptp	kāretabba 4	√kar	√kar	should be built; lit. to cause to be made			следует построить; досл. заставить сделать			
76421	ptp	kāretabba 3	√kar	√kar	should make do; lit. to cause to be done			следует сделать; досл. должно быть выполнено			
76569	pp	kārita 2	√kar	√kar	made; caused to be; become; lit. caused to be made			сделанный; вызванный; ставший; досл. вызванный быть сделанным			
77356	adj	sukata 3	√kar	√kar	well made (by); finely crafted (by)			хорошо сделанный; искусно изготовленный			
77431	fem	kattā 2	√kar	√kar	creatress; female producer			создательница; женщина-производительница			
77499	fem	kārikā 2	√kar	√kar	(female) doer; maker; agent; performer of an action			(женщина) исполнительница; создательница; агент; исполнительница действия			
77519	fut	karihiti	√kar	√kar	will do; will make			сделает; создаст			
