id	lemma	pos	root_key	family_root	meaning	ru_meaning	ru_meaning_lit	ru_meaning_raw	ru_cognate	corrections_ru_meaning	corrections_ru_meaning_lit	notes
121	akarissa	cond	√kar	√kar	would have done; would have made	сделал бы; совершил бы; создал бы; подготовил бы						
122	akaronta 1	prp	√kar	√kar	not doing; not performing	не делая; не осуществляющий						
140	akaṃsu 1	aor	√kar	√kar	they did; they practiced; they performed	(о каком-либо действии) они сделали; они исполнили; они совершили						
141	akaṃsu 2	aor	√kar	√kar	they made	(о создании чего-то) они сделали; они создали; они подготовили						
142	akā	imperf	√kar	√kar	did; made; performed	сделал; выполнил; совершил; создал						
153	akāraka 1	masc	√kar	√kar	not the doer; not the perpetrator; innocent	не деятель; не исполнитель; не нарушитель; невиновный	не обладающий деланием					
154	akāraṇa 1	nt	√kar	√kar	(in debate) counter-argument; counter-position; lit. not causing to do	(в дискуссии) контраргумент; ответный довод	не побуждение делать					
155	akāraṇa 2	nt	√kar	√kar	what is not the cause; lit. not causing to do	не-причина	не побуждение делать					
156	akāraṇatā	fem	√kar	√kar	fact of not being a reason; non-causality; non-causation; lit. not causing to do state	состояние не бытия причиной (чего-либо); не-причинность	состояние не побуждения делать					
159	akārayi	aor	√kar	√kar	wielded; exercised; lit. caused to do	сделал через; заставил сделать (кого-то) 	побудил сделать					
161	akārita 1	pp	√kar	√kar	not caused to be done (by); not made to do	не заставленный делать; не побуждённый делать (кем-либо)						
163	akāriya	ptp	√kar	√kar	not do-able; could not be done; impossible to do; lit. not to be done	не выполнимый; не может быть сделан; невозможно сделать	не к совершению					
164	akāretvā	abs	√kar	√kar	having not made; having not caused to do	не заставив сделать; не побудив сделать						
181	akāsi 1	aor	√kar	√kar	did; performed	(о каком-либо действии) сделал; выполнил; совершил						
182	akāsi 2	aor	√kar	√kar	made	(о создании чего-то) сделал; подготовил						
184	akāsiṃ 1	aor	√kar	√kar	I did	(о каком-либо действии) я сделал; я исполнил; я совершил						
185	akāsiṃ 2	aor	√kar	√kar	I made	(о создании чего-то) я сделал; я подготовил						
186	akicca 1	nt	√kar	√kar	(something which) should be not done; ought not to be made; lit. not to be done	(то что) не должно быть сделано; не следует совершать	не к совершению					
204	akiriya 1	nt	√kar	√kar	non-doing; not doing	неделание; бездействие						
209	akiriyā 2	fem	√kar	√kar	ethical ineffectiveness of action; absence of moral significance in activity			этическая неэффективность действия; отсутствие морального значения в деятельности				
221	akukkuca	pp	√kar	√kar	free from bad behaviour; free from wrongdoing	свободный от плохого поведения; без проступков	не сделанный плохо					
237	akubbato	prp	√kar	√kar	for one not doing (something)	для не делающего						
239	akubbanta	prp	√kar	√kar	not doing; not making	не делая; не выполняющий						
240	akubbamāna	prp	√kar	√kar	not doing; not making; not creating	не делая; не создавая; не совершающий						
19254	kacca	ger	√kar	√kar	doing; making; acting; performing	делая; выполняя; создавая; конструируя	сделав					
19316	kaṭa 1	masc	√kar	√kar	winning dice	выигрышная комбинация при игре в кости						
19594	kata 1	pp	√kar	√kar	done; did; completed	(о каком-либо действии) сделанный; совершенный; выполненный						
19595	kata 2	nt	√kar	√kar	something done; performed action; lit. done	что-то сделанное; выполненное действие						
19596	kata 3	pp	√kar	√kar	made (of); built (of)	(о создании чего-то) сделанный из; построенный из						
19597	kata 4	pp	√kar	√kar	(of gold) formed; shaped; wrought; forged; lit. made	(о золоте и т. д.) обработанный; с приданной формой; отделанный						
19620	katato	ind	√kar	√kar	as done; as completed	как завершённый; как сделанный						
19621	katatta	nt	√kar	√kar	fact of having done; lit. done state	сделанность	состояние завершенности					
19622	katattā	nt	√kar	√kar	because of doing; from the fact of having done; lit. from done state	из сделанности; по причине выполнения	из состояния завершенности					
19694	katāvī 1	adj	√kar	√kar	skilled; accomplished (in); lit. who has done	умелый; опытный; искусный; достигший мастерства	сделавший					
19700	katikā 1	fem	√kar	√kar	agreement; arrangement; promise	общее соглашение; групповое соглашение						
19727	kattabba 1	ptp	√kar	√kar	should be done (by); lit. to be done	(о каком-либо действии) должен быть сделан; подлежит выполнению	к исполнению					
19728	kattabba 2	ptp	√kar	√kar	should be made (by); lit. to be done	(о создании чего-то) должен быть сделан; подлежит созданию	к исполнению					
19733	kattabbatā	fem	√kar	√kar	obligation; necessity; something that should be done	обязанность; необходимость; то что должно быть сделано	состояние того что к совершению					
19735	kattar 1	masc	√kar	√kar	creator; maker	деятель; создатель; тот кто совершает	наделённый деланием					
19736	kattar 2	masc	√kar	√kar	(of a talk) speaker; lit. doer; maker	(о беседе) говорящий	наделённый деланием					
19737	kattar 6	masc	√kar	√kar	(gram) agent; subject of the verb; lit. doer; maker	(грам) подлежащее; действующее лицо	наделённый деланием					
19738	kattar 7	masc	√kar	√kar	(gram) active voice	(грам) активный залог; действительный залог						
19739	kattar 4	masc	√kar	√kar	who makes	тот, кто делает	наделённый деланием					
19741	kattar 3	masc	√kar	√kar	author; composer; writer; lit. doer	автор; составитель	наделённый деланием					
19747	kattari 1.1	masc	√kar	√kar	(gram) when active voice	(грам) в контексте действительного залога; когда активный залог						
19770	kattuṃ	inf	√kar	√kar	to do; to make	делать; выполнять; создавать; конструировать 						
19788	katvā 1	abs	√kar	√kar	having done	(о каком-либо действии) сделав; выполнив; совершив						
19789	katvā 2	abs	√kar	√kar	having made	(о создании чего-то) сделав; создав; сформировав						
19790	katvāna 1	abs	√kar	√kar	having done	(о каком-либо действии) сделав; выполнив; совершив						
19791	katvāna 2	abs	√kar	√kar	having made; having done; having performed	(о создании чего-то) сделав; создав; сформировав						
20233	kamma 1	nt	√kar	√kar	action; deed; doing	действие; поступок; дело						
20234	kamma 2	nt	√kar	√kar	work; job; occupation	работа; труд; занятие						
20235	kamma 3	nt	√kar	√kar	action; deed; work (subject)	действие; дело; работа						
20236	kamma 4	nt	√kar	√kar	action; deed; work (object)	действие; дело; работу (в винительном падеже)						
20237	kamma 5	nt	√kar	√kar	(vinaya) legal action; procedure; operation; act	(виная) официальное действие; процесс в соответствии с правилом; дисциплинарная процедура	делание					
20238	kamma 7	nt	√kar	√kar	(gram) object of the verb	(грам) объект переходного глагола						
20239	kamma 8	nt	√kar	√kar	(gram) passive voice; lit. action	(грам) страдательный залог; пассивный залог						
20266	kammañña 1	adj	√kar	√kar	ready; workable; suitable for use	готовый; работоспособный; подходит для использования	относящийся к действию					
20267	kammañña 2	adj	√kar	√kar	(of an instrument) playable; lit. workable	(музыкальный инструмент) годный для игры; подходящий для использования	относящийся к действию					
20269	kammaññatā	fem	√kar	√kar	(abhidhamma) workability; adaptability; readiness	(абхидхамма) управляемость [сознания или ментального тела]						
20292	kammaniya	adj	√kar	√kar	ready; workable; suitable for use; functional	готовый; рабочий; подходящий для использования	к деланию					
20293	kammaniyatara	adj	√kar	√kar	more workable; more suitable for use; more functional	более готовый; более рабочий; более подходящий для использования	более к деланию					
20379	kammāra	masc	√kar	√kar	smith; metal worker; blacksmith	кузнец; рабочий по металлу						
20400	kammika 1	adj	√kar	√kar	working in; doing; occupied with	занимающийся (чем-то); делающий (что-то)	обладающий деланием					
20401	kammika 2	masc	√kar	√kar	doer; agent; performer of an action	исполнитель; деятель	обладающий деланием					
20402	kammiya	masc	√kar	√kar	customs official; lit. agent	таможенник	обладающий деланием					
20403	kammī	masc	√kar	√kar	doer; maker; performer of an action	деятель; создатель; исполнитель действия						
20404	kammunā	nt	√kar	√kar	by action; by deed; by doing	делом; поступком; действием						
20406	kamme	nt	√kar	√kar	action; deed; doing	действие; поступок; дело						
20417	kayirati	pr	√kar	√kar	is done; is made; is performed	делается; совершается; выполняется						
20418	kayiramāna 1	prp	√kar	√kar	being done	делаясь; создаваясь; выполняющийся; конструирующийся						
20419	kayirā	opt	√kar	√kar	should do; could make	следует сделать; должен выполнить; может создать						
20420	kayirātha 1	opt	√kar	√kar	one oneself should make; one should do for oneself	следует сделать себе; может сделать сам; должен сделать себе						
20423	kara 1	adj	√kar	√kar	doing; making	делающий; выполняющий; создающий; подготавливающий						
20424	kara 8	root	√kar	√kar	(gram) √kar (do, make)	(грам) √kar (делать, создавать)						
20425	kara 7	masc	√kar	√kar	(gram) helping; supporting; promoting	(грам) помощь; способствование						
20426	kara 2	masc	√kar	√kar	semen; sperm; lit. making	семенная жидкость; сперма	делание					
20450	karaṇa 1	adj	√kar	√kar	doing; making; causing; effecting	делающий; выполняющий; создающий						
20451	karaṇa 2	adj	√kar	√kar	helpful; useful; assistive; lit. doing	полезный	делание					
20452	karaṇa 5	nt	√kar	√kar	(gram) instrumental case; lit. doing	(грам) творительный падеж	делание					
20454	karaṇa 4	nt	√kar	√kar	act of doing; performing	акт действия; выполнение действия						
20463	karaṇī 1	adj	√kar	√kar	doing; making; causing; effecting	делающий; выполняющий; создающий; оказывающий эффект						
20464	karaṇī 2	fem	√kar	√kar	instrument which does something; lit. doing	инструмент делающий что-либо	обладающий деланием					
20465	karaṇīya 1	nt	√kar	√kar	duty; obligation; business; something to be done; lit. to be done	долг; обязанность; что-либо к исполнению	к совершению					
20466	karaṇīya 2	ptp	√kar	√kar	should be done; must be done; ought to be made; to be observed; lit. to be done	надлежит быть сделан; подлежит выполнению; следует создать	к совершению					
20467	karaṇīya 3	ptp	√kar	√kar	should be; must be; should be had; lit. to be done	следует иметь; следует быть	к исполнению					
20500	kari 2	aor	√kar	√kar	made	(о создании чего-то) сделал; создал; сформировал; подготовил						
20502	karitvā 1	abs	√kar	√kar	having done; having performed	(о каком-либо действии) сделав; исполнив; совершив; проделав						
20503	karitvā 2	abs	√kar	√kar	having made	(о создании чего-то) сделав; создав; сформировав; подготовив						
20504	karitvā 3	abs	√kar	√kar	having built; having constructed	построив						
20505	karitvāna	abs	√kar	√kar	having done; having made; having built	сделав; выполнив; создав; построив						
20506	kariya	ger	√kar	√kar	doing; making	делая; совершая	сделав					
20508	kariyati	pr	√kar	√kar	is done (by); is practised (by)	делается кем-то или чем-то; практикуется кем-то						
20509	kariyamāna 1	prp	√kar	√kar	being done (by)	(о каком-либо действии) делаясь (кем-то); выполняющийся (кем-то)						
20510	kariyamāna 2	prp	√kar	√kar	being made (by)	(о создании чего-то) делаясь (кем-то); создающийся (кем-то)						
20512	karissati 1	fut	√kar	√kar	will make	сделает; совершит; выполнит; проделает						
20513	karissaṃ	fut	√kar	√kar	I myself will do; I will make for myself	я сделаю для себя; я сам выполню; я создам для себя						
20514	karī 1	adj	√kar	√kar	doing; making; causing	делающий; выполняющий; создающий						
20516	karīyati 1	pr	√kar	√kar	is done (by); is practised (by)	делается; практикуется (кем-то)						
20517	karīyati 2	pr	√kar	√kar	befalls; happens (to); lit. is done	случается; происходит (с)	делается (для)					
20551	kareyya 2	opt	√kar	√kar	would make; could make	(о создании чего-то) следует сделать; должен сформировать; мог бы подготовить						
20552	kareyya 3	ptp	√kar	√kar	could be done; should be made; lit. to be done	должен быть сделан; подлежит формированию	к совершению					
20558	karoti 1	pr	√kar	√kar	does; acts; performs	(о каком-либо действии) делает; выполняет; совершает; осуществляет						
20559	karoti 2	pr	√kar	√kar	makes	(о создании чего-то) создаёт; производит; формирует						
20560	karoti 3	pr	√kar	√kar	builds; constructs	строит; сооружает						
20561	karoto	prp	√kar	√kar	for (the person) doing; to (the person) performing	для делающего; к исполняющему						
20563	karonta 1	prp	√kar	√kar	doing; performing	(о каком-либо действии) делая; выполняющий						
20564	karonta 2	prp	√kar	√kar	making	(о создании чего-то)  формируя; создающий; конструирующий						
20565	karonta 3	prp	√kar	√kar	building	строя; конструирующий						
20566	karomase	imp	√kar	√kar	we must do; let us make; let us act; we must perform	мы должны сделать; давайте действовать; нам следует выполнить						
20568	karohi	imp	√kar	√kar	do!; make!	сделай! ты должен выполнить! тебе следует создать!						
20796	kassati 1.1	fut	√kar	√kar	will do; will make	сделает; выполнит; совершит; создаст; сконструирует; подготовит						
20811	kassāma	fut	√kar	√kar	we will do; we will make	мы сделаем; мы выполним; мы создадим						
20812	kassāmi	fut	√kar	√kar	I will do; I will make	я сделаю; я выполню; я совершу						
20919	kātabba 1	ptp	√kar	√kar	should be done; lit. to be done	(о каком-либо действии) должен быть сделан; подлежит выполнению	к совершению					
20920	kātabba 2	ptp	√kar	√kar	should be made; lit. to be done	(о создании чего-то) должен быть сконструирован; подлежит формированию	к совершению					
20933	kātuna	inf	√kar	√kar	to do; to perform	делать; сделать						
20934	kātuṃ 1	inf	√kar	√kar	to do; to perform	(о каком-либо действии) делать; совершить; осуществить; исполнить						
20935	kātuṃ 2	inf	√kar	√kar	to make	(о создании чего-то) создать; сконструировать; подготовить						
21288	kāra 1	masc	√kar	√kar	deed; action; service	дело; действие; помощь						
21289	kāra 2	masc	√kar	√kar	doer; maker; agent	деятель; создатель						
21290	kāra 3	masc	√kar	√kar	smith; metal worker; lit. maker	кузнец; рабочий по металлу						
21291	kāra 7	masc	√kar	√kar	(gram) letter; sound; syllable; indeclinable word	(грам) слог; звук; буква; неизменяемое слово						
21293	kāraka 1	masc	√kar	√kar	doer; maker; creator (of)	деятель; создатель						
21294	kāraka 2	masc	√kar	√kar	builder	строитель	обладающий деланием					
21295	kāraka 3	adj	√kar	√kar	doing; making; performing; following; causing; creating	делающий; исполняющий; создающий; побуждающий						
21301	kāraṇa 1	nt	√kar	√kar	task; labour; lit. causing to do	задача; труд	побуждение делать					
21302	kāraṇa 2	nt	√kar	√kar	reason; cause; lit. causing to do	причина; повод; основание	побуждение делать					
21303	kāraṇa 3	nt	√kar	√kar	(in debate) argument; lit. causing to do	(в дискуссии) аргумент; довод	побуждение делать					
21304	kāraṇa 5	nt	√kar	√kar	causing to do; forcing to do	принуждение; побуждение (кого-то делать что-то)						
21307	kāraṇa 4	nt	√kar	√kar	legal action; disciplinary case; lit. causing to do	официальное действие; дисциплинарная процедура; дисциплинарное разбирательство	побуждение делать					
21309	kāraṇatā	fem	√kar	√kar	fact of being a reason; causality; causation; lit. causing to do state	состояние бытия причиной (чего-либо); причинность	побуждённость делать					
21323	kāraṇā 1	ind	√kar	√kar	because (of); for the sake (of); lit. from cause	из-за; ради	от причины					
21326	kāraṇika	masc	√kar	√kar	torturer; lit. causing to do	осуществляющий пытки	побуждение делать					
21333	kārayati 1	pr	√kar	√kar	makes one do	(о каком-либо действии) побуждает делать; заставляет совершать						
21334	kārayati 2	pr	√kar	√kar	causes to make	(о создании чего-то) побуждает создавать; заставляет формировать						
21335	kārayanta	prp	√kar	√kar	causing to do; causing to make	заставляя делать; побуждающий выполнять						
21336	kārayamāna 1	prp	√kar	√kar	making; causing to make	заставляя делать; побуждающий выполнять						
21337	kārayamāna 2	prp	√kar	√kar	building; lit. causing to do	строя; конструирующий	побуждающий сделать					
21339	kārā	fem	√kar	√kar	prison; jail	тюрьма	делание					
21347	kārāpita 2	pp	√kar	√kar	built (by); constructed (by); lit. caused to make	построенный; сооружённый	побуждённый сделать					
21349	kārāpeti	pr	√kar	√kar	causes to make; has made; causes to do; has built	побуждает выполнить; делает через кого-то; побуждает строить						
21351	kārāpetuṃ 1	inf	√kar	√kar	to cause to do	(о каком-либо действии) побуждать делать; заставлять совершать						
21352	kārāpetuṃ 2	inf	√kar	√kar	to cause to make; to have (something) built	(о создании чего-то) заставлять создавать; побуждать конструировать						
21353	kārāpetvā 1	abs	√kar	√kar	having caused to do	(о каком-либо действии) побудив сделать; выполнив (через кого-то)						
21354	kārāpetvā 2	abs	√kar	√kar	having had (something) made; lit. having caused to make	(о создании чего-то) побудив сделать; сконструировав (через кого-то)	побудив сделать					
21355	kārāpetvā 3	abs	√kar	√kar	having had (something) built; lit. having caused to build	построив (что-то через кого-то)	побудив сделать					
21356	kārāpenta	prp	√kar	√kar	causing to make; causing to do	побуждая делать; побуждающий конструировать; выполняющий (через кого-то)						
21357	kārāpesi 1	aor	√kar	√kar	had (something) built (for); had (something) made (for); lit. caused to make	побудил (кого-то) построить (что-то); заказал изготовить (что-то)	побудил сделать					
21361	kārikā 1	fem	√kar	√kar	performance (of); doing (of); practice (of)	выполнение; делание; практика						
21363	kārita 1	pp	√kar	√kar	built; constructed (by); lit. caused to be done	построенный; сооружённый	побуждённый быть сделанным					
21364	kārita 4	nt	√kar	√kar	(gram) causative verb; causative affix; lit. caused to do	(грам) каузативный глагол; побудительный аффикс	побуждённый быть сделанным					
21367	kāriya 3	ptp	√kar	√kar	(gram) could be done; possible to do; lit. to be done	(грам) может быть сделан; возможно выполнить	к совершению					
21369	kāriya 4	nt	√kar	√kar	(gram) morphological procedure; grammatical operation; lit. to be done	(грам) морфологическая процедура; грамматическая операция	к совершению					
21370	kāriyamāna	prp	√kar	√kar	being made to do; being made to perform; lit. being caused to do	побуждаясь делать; побуждаемый выполнить						
21371	kārī 1	adj	√kar	√kar	doing; making	делающий; исполняющий; создающий; конструирующий						
21372	kārī 2	masc	√kar	√kar	doer; maker; agent	деятель; создатель; тот кто совершает						
21373	kāruka	masc	√kar	√kar	artisan; craftsman; lit. maker	ремесленник	производитель					
21379	kāretabba 1	ptp	√kar	√kar	should be made; lit. to cause to be done	должен быть сделан; подлежит созданию	к побуждению исполнить					
21380	kāretabba 2	ptp	√kar	√kar	(vinaya) should be made to do (by); should be dealt with; lit. to cause to be made	(виная) должен быть побуждён сделать; с которым следует разобраться	к побуждению сделать					
21382	kāreti 1	pr	√kar	√kar	makes one do; causes to make	побуждает делать; создаёт (через кого-то)						
21383	kāreti 2	pr	√kar	√kar	performs; practices	выполняет; практикует						
21384	kāreti 3	pr	√kar	√kar	(vinaya) deals with; settles; lit. causes to do	(виная) разбирается; разрешает (спор)	побуждает делать					
21385	kāreti 4	pr	√kar	√kar	builds; has constructed; lit. causes to build	строит (сам или через кого-то)	побуждает делать					
21386	kāreti 5	pr	√kar	√kar	executes; wields; lit. causes to do	выполняет; управляет	побуждает делать					
21388	kāretvā 1	abs	√kar	√kar	having made; having caused to do	сделав (самостоятельно или через кого-то)						
21390	kārenta	prp	√kar	√kar	causing to do; causing to make	побуждая делать; выполняющий через кого-то						
21391	kāresi	aor	√kar	√kar	caused to do; caused to build	побудил сделать; построил (через кого-то)						
21521	kāhati	fut	√kar	√kar	will do; will make	сделает; сформирует						
21522	kāhasi	fut	√kar	√kar	you will make; you will build	ты сделаешь; ты построишь						
21523	kāhāma 1	fut	√kar	√kar	we will do	(о каком-либо действии) мы сделаем						
21524	kāhāma 2	fut	√kar	√kar	we will make	(о создании чего-то) мы сформируем						
21525	kāhāmi 1	fut	√kar	√kar	I will do	(о каком-либо действии) я сделаю; я совершу						
21526	kāhāmi 2	fut	√kar	√kar	I will make	(о создании чего-то) я сформирую						
21527	kāhiti	fut	√kar	√kar	will do; will make	сделает; совершит						
21528	kāhinti	fut	√kar	√kar	they will do; they will make	они сделают; они создадут						
21529	kāhisi	fut	√kar	√kar	you will make; you will build	ты сделаешь; ты построишь 						
21615	kicca 2	nt	√kar	√kar	obligation (for); duty (for); work (for); lit. to be done	обязанность; работа; дело; долг	к совершению					
21616	kicca 1	ptp	√kar	√kar	should be done (by); ought to be made (by); lit. to be done	должен быть сделан; подлежит конструированию	к совершению					
21617	kicca 5	nt	√kar	√kar	function; lit. to be done	функция	к совершению					
21618	kicca 3	nt	√kar	√kar	something to be done; lit. to be done	что-то чему следует быть сделанным	к совершению					
21619	kicca 6	nt	√kar	√kar	(gram) primary derivative; affix added to roots to form potential participles; e.g. -anīya, -tabba, etc.; lit. to be done	(грам) производное слово первого порядка; аффикс добавляемый к корням слов для образования причастий долженствования; напр. -anīya, -tabba и т. д.	к исполнению					
21693	kita 1.1	pp	√kar	√kar	made; done	сделанный; выполненный; созданный; сконструированный						
21694	kita 1.2	masc	√kar	√kar	(gram) an affix added to roots to form primary derivative participles, nouns and adjectives; primary derivative; lit. made	(грам) аффикс добавляемый к корням чтобы образовать причастия, существительные и прилагательные первичной деривации; первичная деривация	сделанный 					
21696	kitaka	masc	√kar	√kar	(gram) primary derivative; noun or adjective formed directly from the root and a kita suffix; lit. related to made	(грам) первичный дериват; производное слово первого порядка; существительное или прилагательное, образованное от присоединения к корню kita суффикса	связанный со сделанным					
21815	kiriya 1	nt	√kar	√kar	making; doing; performing	делание; выполнение; конструирование; создание						
21824	kiriyā 1	fem	√kar	√kar	act; action; activity; deed; performance	действие; деятельность; поступок; исполнение						
21825	kiriyā 2	fem	√kar	√kar	consequence of actions; lit. action	последствия действия	действие					
22089	kukucca	nt	√kar	√kar	uneasiness; anxiety; worry; restlessness; lit. fidgeting	волнение; беспокойство; тревога						
22097	kukkucca 2	nt	√kar	√kar	misbehaviour; misconduct; lit. badly done	проступок; не благой поступок	плохо сделанный					
22098	kukkucca 3	nt	√kar	√kar	uneasiness; anxiety; worry; restlessness; lit. fidgeting	волнение; беспокойство; тревога	суета					
22099	kukkucca 1	nt	√kar	√kar	fidgeting; fiddling	суета						
22100	kukkuccaka	adj	√kar	√kar	principled; conscientious; scrupulous; lit. fidgeting	принципиальный; добросовестный; скрупулёзный	наделённый суетой					
22103	kukkuccāyati	pr	√kar	√kar	feels anxious (about); feels uneasy (about); worries (about)	беспокоится (о); не находит себе места (из-за)						
22104	kukkuccāyanta	prp	√kar	√kar	feeling anxious; feeling uneasy; worrying	беспокоясь (о); не находящий себе места (из-за)						
22106	kukkuccāyitabba	nt	√kar	√kar	which should be anxious about; which should be uneasy about; which should be worried about; lit. to be uneasy	то, о чём следует беспокоиться; то, о чём следует волноваться	к беспокойству					
22107	kukkucciya	nt	√kar	√kar	restlessness; uneasiness; anxiety	беспокойность; тревожность; волнение	относящееся к беспокойству					
22305	kutta 1	nt	√kar	√kar	behaviour; style; bearing; way of holding oneself; lit. made	поведение; манера держаться	сделанный 					
22306	kutta 2	pp	√kar	√kar	created; formed; fashioned (by)	созданный; сформированный; обставленный						
22307	kuttaka 1	adj	√kar	√kar	fake; sham; bogus; lit. acting; behaving	фальшивый; ненастоящий; притворный	обладающий  сделанностью					
22308	kuttaka 2	nt	√kar	√kar	(comm) woollen carpet large enough for sixteen women to dance on	(комм) шерстяной ковёр на котором могут танцевать шестнадцать женщин 						
22310	kutti	fem	√kar	√kar	act of doing; performance; composition; creation	акт делания; составление; творение 						
22368	kubbati 1	pr	√kar	√kar	makes; creates	делает; создаёт						
22370	kubbato	prp	√kar	√kar	for one doing (something)	для того кто делает (что-то)						
22372	kubbanta 1	prp	√kar	√kar	doing; performing	делая; выполняя; исполняющий; осуществляющий						
22374	kubbamāna	prp	√kar	√kar	making; forming; creating	(о создании чего-то) делая; конструирующий						
22375	kubbaye	opt	√kar	√kar	should make; should form	следует сделать; должен выполнить; может создать; мог бы сформировать						
22378	kubbāna	prp	√kar	√kar	doing; making; performing	делая; выполняя; создающий; подготавливающий						
22379	kubbetha	opt	√kar	√kar	one oneself should do; one should make for oneself	следует сделать для себя; сам мог бы делать; может создать для себя						
22509	kurute	pr	√kar	√kar	one oneself does; one makes for oneself	делает для себя; создаёт для себя; приготавливает самостоятельно						
22514	kurumāna	prp	√kar	√kar	doing; making	делая; выполняя; конструирующий; создающий						
23244	kriyā 1	fem	√kar	√kar	action; activity; deed; performance; process	действие; активность; поступок; процесс						
23370	khata 2.1	pp	√kar	√kar	done; made	сделанный; изготовленный						
23559	kharāna	prp	√kar	√kar	doing; making	делающий; создающий; осуществляющий						
32849	dukkaṭa 1	adj	√kar	√kar	badly done; wrongly done	плохо сделанный; неправильно выполненный						
32850	dukkaṭa 2	nt	√kar	√kar	bad deed; wrong action	плохой поступок; неправильное действие						
32851	dukkaṭa 3	nt	√kar	√kar	class of vinaya offence; wrong-doing; lit. badly done	тип нарушения правил винаи; проступок	плохо сделанный					
32863	dukkara 1	adj	√kar	√kar	difficult to do; hard to achieve	трудно выполнимый						
32864	dukkara 2	nt	√kar	√kar	which is difficult to do; something hard to achieve	что-то трудновыполнимое; что-то трудноосуществимое						
32868	dukkaratara	adj	√kar	√kar	harder to do; more difficult	сложнее сделать; более сложный						
36024	nākaramha	aor	√kar	√kar	we did not do; we did not make	мы не сделали						
36025	nākarissa	cond	√kar	√kar	would not have done; would not have made	не сделал бы						
36026	nākāsi	aor	√kar	√kar	did not do; did not perform	не сделал 						
36735	nikkaruṇatā	fem	√kar	√kar	compassionlessness; pitilessness; heartlessness; lit. without compassion state	не сострадательность; отсутствие сострадания	не-сострадательность					
36741	nikkāraṇa 1	adj	√kar	√kar	without grounds; with no basis; unnecessary; lit. no cause	беспочвенный; без основания; не необходимый	не-делание					
36744	nikkukkucca	adj	√kar	√kar	without uneasiness; without anxiety; without concern; lit. no fidgeting	без беспокойства; без тревоги	не-суета					
56315	sakammaka	adj	√kar	√kar	(gram) transitive; taking an object; lit. with object	(грам) переходный; имеющий дополнение в винительном падеже	обладающий деланием					
