"Abbreviation"	"Meaning"
"Dr."	"Doctor"
"DS."	"Dhammasaṅgaṇi (= Dhs.)"
"Du."	"Dutch"
"Dutoit"	"Jātaka translation (German)"
"E."	"English"
"ed."	"edition, edited by"
"Edh."	"Edhel or Old Welsh"
"e.g."	"exempli gratia, for instance"
"Eka-Nip."	"Eka-Nipāta (of the Aṅguttara Nikāya)"
"emph."	"emphatic"
"Ency. Rel. Eth."	"Encyclopaedia of Religion & Ethics"
"Ep."	"Epistle"
"Ep. Ind."	"Epigraphia Indica"
"Ep. Zeyl."	"Epigraphia Zeylanica"
"Epil."	"Epilogue"
"eq."	"equivalent, equal to"
"esp."	"especially"
"etc."	"et cetera, and so forth"
"Eth."	"Ethics"
"euph."	"euphonic, euphony"
"Exp."	"Expositor"
"expl."	"explained, explanation"
"F."	"French"
"f."	"feminine gender"
"Fausböll"	"Jātaka (text)"
"fig."	"figurative(ly)"
"Fin."	"Finnish"
"Finot"	"Pra-kāraṇa-pāramitā"
"foll."	"following"
"folk"	"folk etymology"
"Fr."	"French"
"Franke"	"Dīgha Nikāya, etc."
"freq."	"frequentative"
"Frisböll"	"Dhammapadam (text)"
"fr."	"from"
"ft."	"footnote"
"fut."	"future tense"
"G."	"German"
"Gaud."	"Gaudama Sāgara"
"Gavaṁ"	"Gavaṁpati-thera-uttejanaṁ"
"gd."	"gerund"
"Geiger"	"Pali Literatur u. Sprache, etc."
"gen."	"genitive case"
"geog."	"geography"
"ger."	"gerund"
"Ger."	"German"
"Germ."	"Germanic"
"Goth."	"Gothic"
"Gr."	"Greek"
"gram."	"grammar, grammatical"
"Grdsch."	"Grundschzift (Grundschrift?)"
"Grdy."	"Grundy's Essays"
"Grünwedel"	"Buddhist Art"
"Grundr."	"Grundriss der Indo-Arischen Philologie"
"Gs."	"Guttila-kāvya-saṇṇaya"
"Hardy"	"Manual of Buddhism, etc."
"Heṭṭh."	"Heṭṭhā"
"Hatth."	"Hatthavanagallavihāra-vaṁsa"
"Hin."	"Hinayana"
"Hist."	"History"
"Hit."	"Hitopadesa"
"Hopf"	"Hopfner, Über das Katthavatthu"
"Horn"	"Hornblower, Notes on the Pali Vinaya"
"Horner"	"Book of Discipline"
"Hpr."	"Hypothetical Primary Root"
"Hrsg."	"Herausgegeben (edited)"
"Ht. Sav."	"Hatthavanagalla-vihāra-saṁvaṇṇanā"
"Hts."	"Hatthavanagallavihāra-vaṁsa"
"Hung."	"Hungarian"
"ibid."	"ibidem, in the same place"
"Ic."	"Icelandic"
"id."	"idem, the same"
"i. e."	"id est, that is"
"IE."	"Indo-European"
"imper."	"imperative mood"
"impl."	"implication"
"incl."	"including"
"ind."	"indicative mood"
"indef."	"indefinite"
"Indo-Aryan"	"Indo-Aryan"
"Indo-Germ."	"Indo-Germanic"
"Ind. Streif."	"Indische Streifen"
"inf."	"infinitive"
"Inscr."	"Inscription"
"instr."	"instrumental case"
"Introd."	"Introduction"
"Ir."	"Irish"
"irreg."	"irregular"
"It."	"Itivuttaka"
"ItA."	"Itivuttaka Aṭṭhakathā (= Paramatthadīpanī II.)"
"J."	"Jātaka (text ed. Fausböll)"
"Jacobi"	"Ayāranga Sutta, etc."
"Jaina"	"Jaina"
"Jap."	"Japanese"
"JAS"	"Journal Asiatique"
"JAs. Soc. Beng."	"Journal of the Asiatic Society of Bengal"
"Jāt."	"Jātaka"
"Jaug."	"Jaugaḍa Inscription"
"JAOS"	"Journal of the American Oriental Society"
"Jap."	"Japanese"
"Jaśp."	"Jaśpāṭaliputra"
"Jav."	"Javanese"
"JGerS"	"Journal of the German Oriental Society"
"Jina-C."	"Jina-caritaṁ (ed. W. H. D. Rouse)"
"Jinâl."	"Jinâlankāra"
"Jinâlaṅk."	"Jinālaṅkāra-vaṇṇanā"
"JM."	"Jātakamālā (ed. Kern)"
"J.P.T.S."	"Journal of the Pāli Text Society"
"JRAS."	"Journal of the Royal Asiatic Society"
"jt."	"joint"
"Kern"	"Manual of Indian Buddhism, etc."
"Kh."	"Khuddaka Nikāya"
"Khp."	"Khuddaka-pāṭha"
"KhpA."	"Khuddaka-pāṭha Aṭṭhakathā (= Paramatthajotikā I.)"
"Kern, Toev."	"Toevoegselen (Addenda to his Sk. Dict.)"
"Kl."	"Kleine Schriften (Weber)"
"Km."	"Kammavācā"
"KN."	"Kāśikā-Nāṭaka"
"Kor."	"Koran"
"Kor."	"Koranna (Koran)"
"Korra"	"Korra-dhamma-jātaka"
"Kov."	"Kovakka-dīpanī"
"Kp."	"Khuddakapāṭha"
"K. S."	"Kindred Sayings"
"KS"	"Kuru Sutta"
"Ks."	"Kāśikā"
"KSiḍ."	"Kāśikā-Siddhānta"
"Kv."	"Kathā-vatthu"
"Kacc."	"Kaccāyana Vyākaraṇa"
"Kaccāyana"	"Pali Grammar"
"Karuṇā-Puṇḍ."	"Karuṇā-puṇḍarīka"
"Kāt."	"Kātayana Śrauta Sūtra"
"Kathāv."	"Kathāvatthu"
"Kāv."	"Kāvya"
"Kkvg."	"Koka-kālika-vastu"
"Kukkuḷ."	"Kukkuḷa-sutta"
"Kv."	"Kathā-vatthu"
"Kva."	"Kathā-vatthu-atthavaṇṇanā"
"KVy."	"Karaṇḍa-vyūha"
"Kyw."	"Kyawaṅg, author of Saddanīti"
"L."	"Latin"
"Laṅk."	"Laṅkāvatāra Sūtra"
"Lat."	"Latin"
"Law"	"History of Pali Literature, etc."
"Ledi"	"Ledi Sadaw (Pali scholar)"
"Leumann"	"Aupapātika Sūtra"
"Levi"	"Mahāyāna-Sūtrâlaṅkāra, etc."
"lex."	"lexicographical"
"Lgg."	"Linguistics"
"lit."	"literal(ly)"
"Lith."	"Lithuanian"
"loc."	"locative case"
"Loka-dīp."	"Loka-dīpa-sāra"
"Loka-paññ."	"Loka-paññatti"
"Loka-sam."	"Loka-samutti-prakaraṇa"
"M."	"Majjhima Nikāya"
"MA."	"Majjhima Nikāya Aṭṭhakathā (= Papañcasūdanī)"
"m."	"masculine gender"
"mahā"	"mahā-vagga"
"Mahābh."	"Mahābhārata"
"Mahān."	"Mahā-niddesa (= Niddesa I.)"
"Mah. Bodhiv."	"Mahā Bodhivaṁsa (ed. S. A. Strong)"
"Mahy."	"Mahāyāna"
"Mahvs."	"Mahāvaṁsa"
"Mahvy."	"Mahāvyutpatti"
"Mān. Sār."	"Māna-sāra (treatise on Architecture)"
"Man. B."	"Manual of Buddhism (Hardy)"
"Mant. Bhāṣ."	"Mantra Bhāṣya"
"Man-dhātuj."	"Mandhātu Jātaka"
"manu"	"manuscript"
"Mar."	"Marathi"
"Mason"	"Kachchayano's Grammar"
"Matk."	"Mātika"
"med."	"medial"
"Metteyya-V."	"Metteyya-Vaṁsa"
"metri causa"	"for the sake of the metre"
"Mhbv."	"Mahābodhivaṁsa"
"Mhvs."	"Mahāvaṁsa"
"Mhv."	"Mahāvaṁsa"
"Mhvyut."	"Mahāvyutpatti"
"Mil."	"Milindapañha"
"Miln."	"Milindapañha"
"Minayeff"	"Pātimokkha, etc."
"MIndic"	"Middle Indic"
"Misc."	"Miscellaneous"
"MK."	"Mūla-Kaccāyana"
"M. Korn."	"Mulaṭṭhakathā (Commentary on Korn.)"
"Morris"	"Articles in J.P.T.S., etc."
"Mṛcch."	"Mṛcchakaṭika"
"M.S."	"Middle School"
"MSS."	"Manuscripts"
"M. T."	"Mahāvaṁsa Ṭīkā (= Vaṁsatthappakāsinī)"
"Mūla-Tr."	"Mūla-trayantra (?)"
"M Vastu."	"Mahāvastu"
"Mvy."	"Mahāvyutpatti"
"N."	"Name"
"n."	"neuter gender"
"N."	"Nāma-rūpa-samāsa"
"Naid."	"Naidadhātu-vṛtti"
"Nām."	"Nāmamālā"
"nâma"	"(used as heading, q. v. sub nāma)"
"Naṅg."	"Naṅgalopama-sutta"
"Nārada"	"Nārada-thera-apadāna"
"Nd1"	"Mahā-Niddesa"
"Nd2"	"Cūḷa-Niddesa"
"neg."	"negative"
"Neumann"	"Reden Gotamo's (Majjhima Nikāya transl.)"
"neut."	"neuter gender"
"Nidd."	"Niddesa (Nd1 + Nd2)"
"Nir."	"Niruttidīpanī"
"Nisbet"	"Forests of Burma"
"N. Ś."	"Nyāya-śāstra"
"N. T."	"New Testament"
"nom."	"nominative case"
"No."	"number"
"Np."	"Name of a place"
"num."	"numeral"
"num. adj."	"numeral adjective"
"num. ord."	"numeral ordinal"
"N.W.P."	"North Western Provinces of India"
"Nyāyab."	"Nyāyabindu-ṭīkā"
"Nyanatiloka"	"Pali Wörterbuch, etc."
"O."	"Oldenberg (Vinaya Piṭaka, etc.)"
"obsol."	"obsolete"
"o. c."	"opere citato (in the work quoted)"
"O. H. G."	"Old High German"
"O. Ir."	"Old Irish"
"opp."	"opposite, opposed to"
"opt."	"optative mood"
"ord."	"ordinal number"
"orig."	"original(ly)"
"O. Slav."	"Old Slavonic"
"p."	"page"
"Pa."	"Pañca-ppakaraṇa Aṭṭhakathā"
"Pāci."	"Pācittiya"
"Pali"	"Pali"
"Pañc."	"Pañca-tantra"
"Pañcav. Br."	"Pañcaviṁśa Brāhmaṇa"
"Paññāsa"	"Paññāsa Jātaka"
"Pāṇ."	"Pāṇini's Grammar"
"part."	"participle"
"Pātim."	"Pātimokkha"
"pass."	"passive voice"
"Pat."	"Paṭisambhidāmagga"
"Pāṭh."	"Pāṭhaka"
"paṭicca-s."	"paṭicca-samuppāda"
"Pātim."	"Pātimokkha"
"Pbr."	"Pāramī Vibhāga"
"pcp."	"participle"
"Ped."	"Pedersen, Keltische Grammatik"
"perf."	"perfect tense"
"perm."	"permission"
"permut."	"permutation"
"pers."	"person, personal"
"Pet."	"Petakôpadesa"
"Pf."	"Pfungst, A German Buddhist"
"phil."	"philosophical"
"Phon."	"Phonetics"
"Pj."	"Paramattha-jotikā (KhpA. = I.; SnA. = II.)"
"Pk."	"Prakrit"
"pl."	"plural number"
"plpf."	"pluperfect tense"
"poet."	"poetical"
"Pol."	"Polish"
"P. of S."	"Psalms of the Sisters"
"pop."	"popular"
"poss."	"possessive pronoun"
"Pot."	"Potter's Wheel"
"Pot. V."	"Pottery Vocabulary (JRAS XIX. 5)"
"pp."	"pages"
"ppa."	"pātapadika (noun-stem)"
"ppr."	"present participle passive"
"ppres."	"present participle"
"ppp."	"past participle passive ( = pp.)"
"Pr."	"Prakrit"
"Prab."	"Prabodhacandrodaya"
"Prākṛtavar."	"Prākṛta-vararucī-vyākaraṇa"
"Prāt."	"Prātiśākhya"
"prec."	"preceding"
"pref."	"prefix"
"prep."	"preposition"
"pres."	"present tense"
"prīṇ."	"prīṇati"
"prob."	"probable, probably"
"pron."	"pronoun"
"pronunc."	"pronunciation"
"prop."	"properly"
"prov."	"provincial"
"Prov."	"Proverbs"
"Ps."	"Papañcasūdanī (= MA.)"
"P. T. S."	"Pali Text Society"
"ptcp."	"participle"
"Pts."	"Paṭisambhidāmagga"
"PtsA."	"Paṭisambhidāmagga Aṭṭhakathā (= Saddhamma-ppakāsinī)"
"Pts. of Br."	"Psalms of the Brethren"
"Pug."	"Puggala-paññatti"
"PugA."	"Puggala-paññatti Aṭṭhakathā"
"Pv."	"Peta Vatthu"
"PvA."	"Peta Vatthu Aṭṭhakathā (= Paramatthadīpanī III.)"
"Pva."	"Pravacana-sāra"
"Pvs."	"Padyâvalī-sutta"
"PVSP."	"Pali Version of the Sanscrit Parables"
"q. v."	"quod vide, which see"
"R."	"Rāmañña script"
"Rām."	"Rāmāyaṇa"
"Rassap."	"Rassapālikā"
"Rasav."	"Rasavāhinī"
"RC."	"Rathavinīta Commentary"
"ref."	"reference"
"reflex."	"reflexive"
"reg."	"regularly"
"Rel."	"Religion, religious"
"resp."	"respective(ly)"
"Rh. D."	"Rhys Davids"
"rhyth. causâ"	"rhythmī causâ, for the sake of rhythm"
"Ṛg V."	"Ṛg Veda"
"R. N."	"Royal Navy"
"R. N. R."	"Royal Naval Reserve"
"Roch."	"Rochberg-Halton, Astrological Texts"
"Rpd."	"Rūpârūpavibhāga"
"Rp. Sd."	"Rūpasiddhi"
"Rūp."	"Rūpârūpavibhāga"
"Russ."	"Russian"
"Rv."	"Ṛg Veda"
"S."	"Saṁyutta Nikāya"
"SA."	"Saṁyutta Nikāya Aṭṭhakathā (= Sārattha-ppakāsinī)"
"Sace."	"Saccavibhāga"
"Sadd."	"Saddanīti"
"Saddh."	"Saddhammôpāyana"
"Śāky."	"Śākyamuni"
"sam."	"samāsa"
"samādh."	"samādhi"
"Sam. Pās."	"Samanta-pāsādikā (= VinA.)"
"Saṁy."	"Saṁyutta"
"sandhi"	"sandhi"
"Sangah."	"Sangahavatthu"
"Sar."	"Sāriputta-thera-apadāna"
"Sārth."	"Sārthamañjūsā"
"Sas."	"Sāsana-vaṁsa"
"Sat. Br."	"Satapatha Brāhmaṇa"
"SBE."	"Sacred Books of the East"
"Scand."	"Scandinavian"
"Sch."	"School"
"Schr."	"Schrader, Upanishads"
"Sd."	"Saddanīti"
"Sdhp."	"Saddhammôpāyana"
"Sdm."	"Saddhammapajotikā"
"Sdm. N."	"Saddhammanipuṇa"
"Sdm. P."	"Saddhammapāla"
"Sdm. S."	"Saddhammasāra"
"Sdm. Saṅg."	"Saddhammasaṅgaha"
"Searle"	"Onomasticon to the Acts of the Apostles"
"Senart"	"Mahāvastu (text)"
"Serb."	"Serbian"
"sg."	"singular number"
"Shāhb."	"Shāhbāzgarhi Inscription"
"S. H. B."	"Sacred Books of the Buddhists"
"Si."	"Siam, Siamese"
"Sim."	"Similar"
"Singh."	"Singhalese ( = Cingalese)"
"Sītā R."	"Sītā-Rāmaṇa"
"Siv."	"Sivapurāṇa"
"Sk."	"Sanskrit"
"Slav."	"Slavonic"
"Sn."	"Sutta Nipāta"
"SnA."	"Sutta Nipāta Aṭṭhakathā (= Paramatthajotikā II.)"
"Snip."	"Sutta Nipāta"
"Sp."	"Sārattha-ppakāsinī (= SA.)"
"Spk."	"Sārattha-ppakāsinī (= SA.)"
"Sp. V."	"Spiegel, Verzeichniss"
"sq."	"square"
"Sr."	"Sura-sundarī-carita"
"Śrāv."	"Śrāvastī Inscription"
"SS."	"Samyutta Suttas (Mrs. Rh. D.)"
"St."	"Sutta"
"Stede"	"Articles in J.P.T.S., etc."
"Steinthal"	"Specimen der Nāmamālā"
"Stenzler"	"Meghadūta"
"Subh."	"Subhâsitâvalī"
"Subodh."	"Subodhâlaṅkāra"
"subj."	"subjunctive mood"
"subst."	"substantive"
"suff."	"suffix"
"Sum. Vil."	"Sumaṅgala-vilāsinī (= DA.)"
"Sūp."	"Sūpāra-jātaka"
"suppl."	"supplement"
"Suśr."	"Suśruta"
"Sūt. Kl."	"Sūtra Kṛtânga"
"s.v."	"sub voce, under the word"
"Sv."	"Sutta Vibhaṅga"
"Swed."	"Swedish"
"syn."	"synonym"
"SyO."	"Syām On (= Siamese Old Script?)"
"T."	"Trenckner (Notes on Miln., etc.)"
"Tamb."	"Tambapaṇṇi"
"Tantr."	"Tantric"
"Tāran."	"Tāranātha's Geschichte des Buddhismus"
"Tel."	"Telugu"
"Thera-g."	"Theragāthā"
"Theri-g."	"Therīgāthā"
"Thet"	"Thet-panja-kammaṭṭhāna"
"Tib."	"Tibetan"
"Tika-p."	"Tika-paṭṭhāna"
"Tikap. A."	"Tika-paṭṭhāna Aṭṭhakathā"
"Tīkā"	"Ṭīkā (Commentary)"
"tr."	"translation, translated"
"Trenckner"	"Pali Miscellany, etc."
"Tris."	"Trisāhasrikā-prajñāpāramitā"
"trsl."	"translation"
"ts."	"tat-sama (= Sk. word in P.)"
"Ts."	"Trenckner, notes on Majjhima N."
"Turnour"	"Mahāvaṁsa (ed. & trsl.)"
"U."	"Upaniṣad"
"Ud."	"Udāna"
"UdA."	"Udāna Aṭṭhakathā (= Paramatthadīpanī)"
"Udv."	"Udānavarga"
"Ukr."	"Ukrainian"
"Uṇ."	"Uṇādi Sūtra"
"uncontr."	"uncontracted"
"Up."	"Upaniṣad"
"Upās."	"Upāsakajanâlaṅkāra"
"Uttarādhy."	"Uttarādhyayana Sūtra"
"V."	"Vinaya Piṭaka"
"Vāc."	"Vācaspati"
"Vaṁs. Br."	"Vaṁsa Brāhmaṇa"
"Varah."	"Varāhamihira"
"vb."	"verb"
"Vbh."	"Vibhaṅga"
"VbhA."	"Vibhaṅga Aṭṭhakathā (= Sammoha-vinodanī)"
"Vibh-ṭ."	"Vibhāvinī-ṭīkā (= Akv.)"
"Vibhv."	"Vibhāvatthu-prakaraṇa"
"vic."	"vicinity"
"vig."	"vigraha"
"Vim."	"Vimāna Vatthu"
"Vin."	"Vinaya Piṭaka"
"VinA."	"Vinaya Aṭṭhakathā (= Samanta-pāsādikā)"
"Vinet."	"Vinetavatthu"
"Vism."	"Visuddhimagga"
"viz."	"videlicet, namely"
"Voc."	"Vocabulary"
"voc."	"vocative case"
"vol."	"volume"
"Vṛtt."	"Vṛtta-ratnâkara"
"vs."	"verse"
"Vtj."	"Vinaya-vinicchaya-ṭīkā"
"Vv."	"Vimāna Vatthu"
"VvA."	"Vimāna Vatthu Aṭṭhakathā (= Paramatthadīpanī IV.)"
"Vy."	"Vyākaraṇa (grammar)"
"W."	"Westergaard, Radices Linguae Sanscritae"
"Weber"	"Indische Studien, etc."
"Windisch"	"Māra u. Buddha, etc."
"Winternitz"	"Geschichte der Ind. Litteratur"
"Wogihara"	"Bodhisattvabhūmi"
"Wṛhasp."	"Wṛhaspati-sutta"
"WZKM"	"Wiener Zeitschrift f. d. Kunde d. Morgenlandes"
"Y."	"Yoga"
"Yam."	"Yamaka"
"Z."	"Zend (= Avestan)"
"ZDMG"	"Zeitschrift der Deutschen Morgenländischen Gesellschaft"
"*"	"denotes a hypothetical form (not quotable)"
"†"	"Denotes that the word belongs to grammarians' lists, otherwise not found in literature."
"°"	"at the end of a word indicates that the latter occurs only in compn.; after an initial word it marks the latter as first part of a compn."
"इति"	"(= iti) marks end of quotation"
