Pali Word;Source ID;Pali Sentence;English Translation
pañcābādhā;pli-tv-kd1:79.4.82;Magadhesu pañcābādhā, ;The five diseases in Magadha, 
bhaṇḍuko;pli-tv-kd1:79.4.87;"bhaṇḍuko upāli ahi; ";"Shaven, Upāli, deadly disease; "
āhundarikameva;pli-tv-kd1:79.4.89;āhundarikameva ca. ;And the obscure. 
theyyapakkanto;pli-tv-kd1:79.4.94;Paṇḍako theyyapakkanto, ;<i lang='pi' translate='no'>Paṇḍakas</i>, theft, and left, 
mātarī;pli-tv-kd1:79.4.95;"ahi ca mātarī pitā; ";"And serpent, about mother, father; "
arahantabhikkhunībhedā;pli-tv-kd1:79.4.96;Arahantabhikkhunībhedā, ;Perfected one, nun, and schism, 
anupajjhāyasaṅghena;pli-tv-kd1:79.4.98;Anupajjhāyasaṅghena, ;Without preceptor, and with the Sangha, 
gaṇapaṇḍakapattako;pli-tv-kd1:79.4.99;"gaṇapaṇḍakapattako; ";"Group, <i lang='pi' translate='no'>paṇḍaka</i>, and one without almsbowl; "
acīvaraṃ;pli-tv-kd1:79.4.100;Acīvaraṃ tadubhayaṃ, ;Without robe, both of them, 
aṅguliaḷakaṇḍaraṃ;pli-tv-kd1:79.4.104;Aṅguliaḷakaṇḍaraṃ, ;Finger, toe, and tendon, 
likhitasīpadī;pli-tv-kd1:79.4.107;"kasā likhitasīpadī; ";"Whipped, wanted, and elephantiasis; "
pāpaparisadūsī;pli-tv-kd1:79.4.108;Pāpaparisadūsī ca, ;Serious, and abnormal appearance, 
sacchinnairiyāpathaṃ;pli-tv-kd1:79.4.111;"sacchinnairiyāpathaṃ; ";"Who is crippled; "
jarāndhamūgabadhiraṃ;pli-tv-kd1:79.4.112;Jarāndhamūgabadhiraṃ, ;Old age, blind, mute, and deaf, 
andhamūgañca;pli-tv-kd1:79.4.113;andhamūgañca yaṃ tahiṃ. ;And in regard to the blind and mute. 
mūgabadhirameva;pli-tv-kd9:7.20.205;"mūgabadhirameva ca; ";"Mute and deaf; "
andhamūgabadhirañca;pli-tv-kd1:79.4.116;Andhamūgabadhirañca, ;And blind, mute, and deaf, 
tathāddhānaṃ;pli-tv-kd1:79.4.118;Vatthabbañca tathāddhānaṃ, ;And should live, so traveling, 
ekupajjhāyena;pli-tv-kd1:79.4.121;ekupajjhāyena kassapo. ;With one preceptor, Kassapa. 
ananusiṭṭhā;pli-tv-kd20:17.2.5;Tena kho pana samayena bhikkhuniyo ananusiṭṭhā upasampadāpekkhāyo antarāyike dhamme pucchanti. ;The nuns asked those seeking the full ordination about the obstacles without first instructing them. 
vitthenti;pli-tv-kd1:79.4.124;Ananusiṭṭhā vitthenti, ;The uninstructed were embarrassed, 
ullumpatupasampadā;pli-tv-kd1:79.4.128;Ullumpatupasampadā, ;Please lift up, full ordination, 
uposathakkhandhako;pli-tv-kd2:36.4.4;Uposathakkhandhako dutiyo. ;The second chapter on the observance day is finished. 
sannipatitunti;pli-tv-kd2:1.4.4;anujānāmi, bhikkhave, cātuddase pannarase aṭṭhamiyā ca pakkhassa sannipatitunti. ;You should gather together on the fourteenth, the fifteenth, and the eighth day of the lunar half-month. 
mūgasūkarā;pli-tv-kd2:2.1.6;kathañhi nāma samaṇā sakyaputtiyā cātuddase pannarase aṭṭhamiyā ca pakkhassa sannipatitvā tuṇhī nisīdissanti, seyyathāpi mūgasūkarā. ;How can the Sakyan monastics gather on the fourteenth, fifteenth, and eighth day of the half-month, but then sit in silence like dumb pigs? 
ādimetaṃ;pli-tv-kd2:3.4.2;ādimetaṃ mukhametaṃ pamukhametaṃ kusalānaṃ dhammānaṃ. Tena vuccati pātimokkhanti. ;this is the beginning, this is the front, this is at the head of wholesome qualities—therefore it is called Monastic Code. 
sagāravasappatissādhivacanametaṃ;pli-tv-kd2:3.4.4;piyavacanametaṃ garuvacanametaṃ sagāravasappatissādhivacanametaṃ āyasmantoti. ;"this is a term of affection, a term of respect; it is an expression of respect and deference, that is, venerables. "
avisāhaṭacittā;pli-tv-kd2:3.4.14;ekaggacittā avikkhittacittā avisāhaṭacittā nisāmema. ;should listen with a one-pointed mind, with an undistracted mind, with a non-wandering mind. 
sañjānamāno;pli-tv-kd2:3.6.8;jānamāno sañjānamāno. ;Knows, perceives. 
taṅkāraṇā;pli-tv-kd2:3.7.8;taṅkāraṇā. ;for that reason. 
sañjānamānena;pli-tv-kd2:3.7.10;jānamānena sañjānamānena. ;who knows, who perceives. 
vuṭṭhātukāmena;pli-tv-kd2:3.7.12;vuṭṭhātukāmena visujjhitukāmena. ;is desiring to be cleared, is desiring purity. 
visujjhitukāmena;pli-tv-kd2:3.7.12;vuṭṭhātukāmena visujjhitukāmena. ;is desiring to be cleared, is desiring purity. 
ekāvāso;pli-tv-kd2:5.2.4;Kittāvatā nu kho sāmaggī hoti, yāvatā ekāvāso, udāhu sabbā pathavīti? ;the monks thought, How far does a complete assembly extend? As far as one monastery or as far as the entire earth? 
ekāvāsoti;pli-tv-kd2:5.2.6;Anujānāmi, bhikkhave, ettāvatā sāmaggī yāvatā ekāvāsoti. ;A complete assembly extends as far as one monastery. 
mahākappinavatthu;pli-tv-kd2:5.3.0;3. Mahākappinavatthu ;3. Mahākappina 
kittetabbā;pli-tv-kd2:6.1.7;paṭhamaṃ nimittā kittetabbā—;First you should announce the zone markers: 
pabbatanimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
pāsāṇanimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
vananimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
rukkhanimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
magganimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
vammikanimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
nadīnimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
udakanimittaṃ;pli-tv-kd2:6.1.8;pabbatanimittaṃ, pāsāṇanimittaṃ, vananimittaṃ, rukkhanimittaṃ, magganimittaṃ, vammikanimittaṃ, nadīnimittaṃ, udakanimittaṃ. ;a hill, a rock, a forest grove, a tree, a path, an anthill, a river, a lake. 
samānasaṃvāsaṃ;pli-tv-kd2:6.1.12;Yadi saṅghassa pattakallaṃ, saṅgho etehi nimittehi sīmaṃ sammanneyya samānasaṃvāsaṃ ekuposathaṃ. ;If the Sangha is ready, it should establish a monastery zone based on the announced markers, defining who belongs to the same community and who should do the observance-day ceremony together. 
ekuposathaṃ;pli-tv-kd2:6.1.12;Yadi saṅghassa pattakallaṃ, saṅgho etehi nimittehi sīmaṃ sammanneyya samānasaṃvāsaṃ ekuposathaṃ. ;If the Sangha is ready, it should establish a monastery zone based on the announced markers, defining who belongs to the same community and who should do the observance-day ceremony together. 
ekūposathaṃ;pli-tv-kd2:6.1.12;Yadi saṅghassa pattakallaṃ, saṅgho etehi nimittehi sīmaṃ sammanneyya samānasaṃvāsaṃ ekuposathaṃ. ;If the Sangha is ready, it should establish a monastery zone based on the announced markers, defining who belongs to the same community and who should do the observance-day ceremony together. 
samānasaṃvāsāya;pli-tv-kd2:6.2.4;"Yassāyasmato khamati etehi nimittehi sīmāya sammuti samānasaṃvāsāya ekuposathāya, so tuṇhassa; ";Any monk who approves of establishing a monastery zone based on these markers, defining who belongs to the same community and who should do the observance-day ceremony together, should remain silent. 
ekuposathāya;pli-tv-kd2:6.2.4;"Yassāyasmato khamati etehi nimittehi sīmāya sammuti samānasaṃvāsāya ekuposathāya, so tuṇhassa; ";Any monk who approves of establishing a monastery zone based on these markers, defining who belongs to the same community and who should do the observance-day ceremony together, should remain silent. 
samānasaṃvāsā;pli-tv-kd2:6.2.6;Sammatā sīmā saṅghena etehi nimittehi samānasaṃvāsā ekuposathā. ;The Sangha has established a monastery zone based on these markers, defining who belongs to the same community and who should do the observance-day ceremony together. 
ekuposathā;pli-tv-kd2:6.2.6;Sammatā sīmā saṅghena etehi nimittehi samānasaṃvāsā ekuposathā. ;The Sangha has established a monastery zone based on these markers, defining who belongs to the same community and who should do the observance-day ceremony together. 
pañcayojanikāpi;pli-tv-kd2:7.1.3;atimahatiyo sīmāyo sammannanti, catuyojanikāpi pañcayojanikāpi chayojanikāpi. ;the monks from the group of six established zones that were too large: 50, 65, and even 80 kilometers across. 
uddiṭṭhamattepi;pli-tv-kd2:7.1.4;Bhikkhū uposathaṃ āgacchantā uddissamānepi pātimokkhe āgacchanti, uddiṭṭhamattepi āgacchanti, antarāpi parivasanti. ;Monks coming to the observance-day ceremony arrived while the Monastic Code was being recited or just after, and they had to stop overnight while on the way. 
pañcayojanikā;pli-tv-kd2:7.1.6;Na, bhikkhave, atimahatī sīmā sammannitabbā, catuyojanikā vā pañcayojanikā vā chayojanikā vā. ;You shouldn’t establish a monastery zone that is too large, whether 50, 65, or 80 kilometers across. 
nadīpārasīmaṃ;pli-tv-kd2:7.2.1;Tena kho pana samayena chabbaggiyā bhikkhū nadīpārasīmaṃ sammannanti. ;At one time the monks from the group of six had established a zone that crossed a river. 
nadīpārasīmā;pli-tv-kd2:7.2.4;Na, bhikkhave, nadīpārasīmā sammannitabbā. ;You shouldn’t establish a monastery zone that crosses a river. 
dhuvanāvā;pli-tv-kd2:7.2.6;Anujānāmi, bhikkhave, yatthassa dhuvanāvā vā dhuvasetu vā, evarūpaṃ nadīpārasīmaṃ sammannitunti. ;I allow you to establish a monastery zone that crosses a river only if there is a permanent bridge or ferry connection. 
dhuvasetu;pli-tv-kd2:7.2.6;Anujānāmi, bhikkhave, yatthassa dhuvanāvā vā dhuvasetu vā, evarūpaṃ nadīpārasīmaṃ sammannitunti. ;I allow you to establish a monastery zone that crosses a river only if there is a permanent bridge or ferry connection. 
uposathāgārakathā;pli-tv-kd2:8.1.0;5. Uposathāgārakathā ;5. Discussion of the observance-day hall 
asaṅketena;pli-tv-kd2:8.1.1;Tena kho pana samayena bhikkhū anupariveṇiyaṃ pātimokkhaṃ uddisanti asaṅketena. ;At that time the monks recited the Monastic Code in one yard after another without making a prior arrangement. 
samuhanitvā;pli-tv-kd2:8.3.7;Anujānāmi, bhikkhave, ekaṃ samūhanitvā ekattha uposathaṃ kātuṃ. ;You should abolish one of them and do the observance-day ceremony in one place. 
samūhantabbaṃ;pli-tv-kd2:8.4.1;Evañca pana, bhikkhave, samūhantabbaṃ. ;And it should be abolished like this. 
samuhaneyya;pli-tv-kd2:8.4.4;Yadi saṅghassa pattakallaṃ, saṅgho itthannāmaṃ uposathāgāraṃ samūhaneyya. ;If the Sangha is ready, it should abolish such-and-such an observance-day hall. 
katovassa;pli-tv-kd2:9.1.7;Sammatāya vā, bhikkhave, bhūmiyā nisinnā asammatāya vā yato pātimokkhaṃ suṇāti, katovassa uposatho. ;Whether you listen to the recitation of the Monastic Code while seated within or outside the designated area, in either case you have done the observance-day ceremony. 
uposathamukhaṃ;pli-tv-kd2:9.2.1;Tena hi, bhikkhave, saṅgho yāva mahantaṃ uposathappamukhaṃ ākaṅkhati, tāva mahantaṃ uposathappamukhaṃ sammannatu. ;Still, the Sangha may designate an observance-day forecourt as large as it likes. 
sīmāsamūhanana;pli-tv-kd2:12.5.0;8. Sīmāsamūhanana ;8. The abolishing of monastery zones 
sammannantena;pli-tv-kd2:12.5.1;Sīmaṃ, bhikkhave, sammannantena paṭhamaṃ samānasaṃvāsasīmā sammannitabbā, pacchā ticīvarena avippavāso sammannitabbo. ;Monks, when you’re establishing a monastery zone, the zone that defines who belongs to the same community should be established first. Afterwards you may designate the may-stay-apart-from-the-three-robes area. 
samānasaṃvāsasīmā;pli-tv-kd2:12.5.1;Sīmaṃ, bhikkhave, sammannantena paṭhamaṃ samānasaṃvāsasīmā sammannitabbā, pacchā ticīvarena avippavāso sammannitabbo. ;Monks, when you’re establishing a monastery zone, the zone that defines who belongs to the same community should be established first. Afterwards you may designate the may-stay-apart-from-the-three-robes area. 
samūhanantena;pli-tv-kd2:12.5.2;Sīmaṃ, bhikkhave, samūhanantena paṭhamaṃ ticīvarena avippavāso samūhantabbo, pacchā samānasaṃvāsasīmā samūhantabbā. ;And when you’re abolishing a monastery zone, the may-stay-apart-from-the-three-robes area should be abolished first. Afterwards you may abolish the zone that defines who belongs to the same community. 
samūhantabbo;pli-tv-kd2:12.5.2;Sīmaṃ, bhikkhave, samūhanantena paṭhamaṃ ticīvarena avippavāso samūhantabbo, pacchā samānasaṃvāsasīmā samūhantabbā. ;And when you’re abolishing a monastery zone, the may-stay-apart-from-the-three-robes area should be abolished first. Afterwards you may abolish the zone that defines who belongs to the same community. 
samūhantabbā;pli-tv-kd2:12.5.2;Sīmaṃ, bhikkhave, samūhanantena paṭhamaṃ ticīvarena avippavāso samūhantabbo, pacchā samānasaṃvāsasīmā samūhantabbā. ;And when you’re abolishing a monastery zone, the may-stay-apart-from-the-three-robes area should be abolished first. Afterwards you may abolish the zone that defines who belongs to the same community. 
gāmasīmādi;pli-tv-kd2:12.7.0;9. Gāmasīmādi ;9. Zones of inhabited areas, etc. 
nigamasīmā;pli-tv-kd2:12.7.1;Asammatāya, bhikkhave, sīmāya aṭṭhapitāya, yaṃ gāmaṃ vā nigamaṃ vā upanissāya viharati, yā tassa vā gāmassa gāmasīmā, nigamassa vā nigamasīmā, ayaṃ tattha samānasaṃvāsā ekuposathā. ;There are monks who live supported by inhabited areas where no monastery zone has been established. In these cases, the zone of the inhabited area defines who belongs to the same community and who should do the observance-day ceremony together. 
asīmā;pli-tv-kd2:12.7.3;"Sabbā, bhikkhave, nadī asīmā; ";A whole river, 
asīmo;pli-tv-kd2:12.7.4;"sabbo samuddo asīmo; ";a whole ocean, 
