"id"	"sbs_class_anki"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"	"sbs_category"	"sbs_audio"
"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"18"	"11"	""	""	"Tāyana-gāthā"	"On Protection"	"Verses"	""	""	""	"AN 5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	"14n"	""	"[sound:akata.mp3]"
"33"	"11"	"11"	""	""	""	""	""	""	""	""	"UD 73"	"tatiyanibbāna paṭisaṃyuttasuttaṃ"	"no ce'taṃ abhavissa ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ na'y'idha jātassa bhūtassa katassa saṅkhatassa nissaraṇaṃ paññāyetha."	""	""	""	""	""	""	""	""	""	""	""	"[sound:akata.mp3]"
"34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP 050"	"pupphavaggo"	"na paresaṃ vilomāni, na paresaṃ kat'ākataṃ,
attano'va avekkheyya, katāni <b>akatāni</b> ca."	""	""	""	""	""	"[sound:akata.mp3]"
"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"18"	""	""	""	""	""	""	""	""	""	"AN 5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	""	""	""
"55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PAT PK"	"dhammayuttika-pubbakicca"	"pānīyaparibhojanīyaupaṭṭhapanañ'ca, chand'ārahānaṃ bhikkhūnaṃ chandaāharaṇañ'ca, tesaññ'eva <b>akat'uposathānaṃ</b> pārisuddhiyā'pi āharaṇañ'ca"	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	"80n"	""	"[sound:coming-soon.mp3]"
"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	""	""	""	""	""	""	""	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	"18n"	""	"[sound:coming-soon.mp3]"
"78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	""	""	""	""	""	""	""	""	""	""	"Trad"	""	"yan'dunnimittaṃ avamaṅgalañ'ca, yo c'āmanāpo sakuṇassa saddo, pāpaggaho dussupinaṃ <b>akantaṃ</b>, buddh'ānubhāvena vināsamentu"	"Abhaya-parittaṃ"	""	"Protective Recitations"	""	""	""	""	""	""	"58n"	"e"	"[sound:coming-soon.mp3]"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"11"	""	""	""	""	""	""	""	""	""	"MN 48"	"kosambiyasuttaṃ"	"bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni "	"Cha sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	"26n"	""	"[sound:akammāsa.mp3]"
"112"	""	""	""	""	""	""	""	"Ovāda-pāṭimokkha-gāthā"	"The Pāṭimokkha Exhortation"	"Verses"	""	""	""	""	""	""	""	""	""	""	""	""	"09n"	""	"[sound:coming-soon.mp3]"
"113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN 1.2.1"	"sukkavissaṭṭhi sikkhāpada"	"ananucchavikaṃ, moghapurisa, ananulomikaṃ appatirūpaṃ assāmaṇakaṃ akappiyaṃ <b>akaraṇīyaṃ</b>."	""	""	""	""	""	""
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	""	""	""	""	""	""	""	""	""	""	"MN 81"	"ghaṭikārasuttaṃ"	"bhikkhū ghaṭikārassa kumbhakārassa āvesanaṃ uttiṇam'<b>akaṃsu.</b>"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"24"	""	""	""	""	""	""	""	""	""	"MN 65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akārita</b>pubbaṃ kāraṇaṃ kāriyamānassa."	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"24"	""	""	""	""	""	""	""	""	""	"MN 65"	"bhaddālisuttaṃ"	"tassa mukh'ādhāne kāraṇaṃ kāriyamānassa honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ <b>akāritapubbaṃ</b> kāraṇaṃ kāriyamānassa."	""	""	""	""	""	""	""	""	""	""	""	""
"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"23"	""	""	""	""	""	""	""	""	""	"DN 16.27"	"mahāparinibbānasuttaṃ"	"sabbaphāliphullā kho, ānanda, yamakasālā <b>akālapupphehi</b>. te tathāgatassa sarīraṃ okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya."	""	""	""	""	""	""	""	""	""	""	""	""
"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"11"	""	""	""	""	""	""	""	""	""	"SN 11.3"	"dhajaggasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi"	"Dhamm’ābhitthuti"	"Homage to the Dhamma"	"Homage to the Triple Gem"	""	""	""	""	""	""	"03n"	""	"[sound:akālika.mp3]"
"177"	"11"	""	""	""	""	""	""	""	""	""	"SN 11.3"	"dhajaggasuttaṃ"	"svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi"	"Dhamm’ābhitthuti"	"Homage to the Dhamma"	"Homage to the Triple Gem"	""	""	""	""	""	""	"03n"	""	"[sound:akālika.mp3]"
"179"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"22"	""	""	""	""	""	""	""	""	""	"KHP 7"	"tirokuṭṭasuttaṃ"	"adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam'anussaraṃ."	"Adāsi-me ādi gāthā"	""	"Funeral Chants"	""	""	""	""	""	""	"66n"	""	"[sound:akāsi.mp3]"
"182"	"14"	""	""	""	""	""	""	""	""	""	"VIN 1.2.12"	"dubbaca sikkhāpada"	"m'āyasmā attānaṃ avacanīyaṃ <b>akāsi,</b> … , āyasmā'pi bhikkhū vadetu sahadhammena, bhikkhūpi āyasmantaṃ vakkhanti sahadhammena."	""	""	""	""	""	""	""	""	""	""	""	"[sound:akāsi.mp3]"
"184"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN 4.244"	"āpattibhayasuttaṃ"	"evaṃ vadeyya, ahaṃ, bhante, pāpakammaṃ <b>akāsiṃ</b> gārayhaṃ mosallaṃ, yena me āyasmanto attamanā honti taṃ karomī'ti."	""	""	""	""	""	""
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"8"	""	""	""	""	""	""	""	""	""	"DHP 088"	"paṇḍitavaggo"	"tatr'ābhiratim'iccheyya, hitvā kāme <b>akiñcano</b>, 
pariyodapeyya attānaṃ, cittaklesehi paṇḍito."	"Ti-lakkhaṇā"	"The Three Characteristics"	"Verses"	""	""	""	""	""	""	"10n"	""	"[sound:akiñcana.mp3]"
"195"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"19"	""	""	""	""	""	""	"Dhamma-cakkappavattana"	"Setting in Motion The Wheel of Dhamma"	"Teachings"	"MN 30"	"cūḷasāropamasuttaṃ"	"<b>akuppā </b>cetovimutti etad'attham'idaṃ brāhmaṇa brahmacariyaṃ"	""	""	""	""	""	""	""	""	""	"17n"	""	"[sound:coming-soon.mp3]"
"235"	"24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP 124"	"pāpavaggo"	"pāṇimhi ce vaṇo n'āssa, hareyya pāṇinā visaṃ,
n'ābbaṇaṃ visam'anveti, n'atthi pāpaṃ <b>akubbato</b>."	""	""	""	""	""	""
"239"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"8"	"11"	""	""	""	""	""	"Dhamma-pahaṃsāna"	"Striving According to the Dhamma"	"Teachings"	"DN 22.18"	"mahāsatipaṭṭhānasuttaṃ"	"bhikkhu anuppannānaṃ pāpakānaṃ <b>akusalānaṃ</b> dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati"	"Ariy’aṭṭhaṅgika-magga"	"The Noble Eightfold Path"	"Teachings"	""	""	""	""	""	""	"28n"	""	"[sound:akusala.mp3]"
"269"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:akovida.mp3]"
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d"	""
"328"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:akkosa.mp3]"
"335"	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	""	""	""	""	""	""	""	"Jaya-maṅgala-aṭṭha-gāthā"	""	"Protective Recitations"	""	""	""	""	""	""	""	""	""	""	""	""	"60n"	""	"[sound:coming-soon.mp3]"
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d"	""
"399"	"11"	"11"	""	""	""	""	""	""	""	""	"DHP 086"	"paṇḍitavaggo"	"ye ca kho sammad<b>akkhāte</b>, dhamme dhamm'ānuvattino, 
te janā pāram'essanti, maccudheyyaṃ suduttaraṃ."	"Ti-lakkhaṇā"	"The Three Characteristics"	"Verses"	""	""	""	""	""	""	"10n"	""	"[sound:akkhāta.mp3]"
"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"10"	"6"	""	""	""	""	""	""	""	""	"MN 51"	"kandarakasuttaṃ"	"pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra <b>akkhātā</b> imesaṃ bhedāya, amutra vā sutvā na imesaṃ <b>akkhātā</b> amūsaṃ bhedāya"	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	"18n"	""	"[sound:akkhātar.mp3]"
"402"	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PAT PK"	"dhammayuttika-pubbakicca"	"utu-<b>akkhānañ</b>'ca, bhikkhugaṇanā'ca, bhikkhunīnam'ovādo cā'ti."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	"80n"	""	"[sound:coming-soon.mp3]"
"405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"e"	""
"409"	""	""	""	""	""	""	""	"Pakiṇṇaka-gāthā"	"Miscellaneous Verses"	"Verses"	""	""	""	""	""	""	""	""	""	""	""	""	"15n"	""	"[sound:coming-soon.mp3]"
"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"11"	"11"	""	""	""	""	""	""	""	""	"MN 48"	"kosambiyasuttaṃ"	"bhikkhu yāni tāni sīlāni <b>akhaṇḍāni</b> acchiddāni asabalāni akammāsāni bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhisaṃvattanikāni "	"Cha sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	"26n"	""	"[sound:akhaṇḍa.mp3]"
"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Thai"	""	"handa mayaṃ khem'<b>ākhema</b>saraṇagamanaparidīpikāgāthāyo
bhaṇāmase"	"Khem’ākhema-saraṇa-gamana"	"Going to True and False Refuges"	"Verses"	"08n"	""	"[sound:coming-soon.mp3]"
"468"	"4"	""	""	""	""	""	""	""	""	""	"MN 39"	"mahāassapurasuttaṃ"	"ahaṃ kho sakamhā gāmā amuṃ gāmaṃ <b>agacchiṃ</b>"	""	""	""	""	""	""	""	""	""	""	""	"[sound:agacchi.mp3]"
"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	""	""	""	""	""	""	""	"Khandha-parittaṃ"	""	"Protective Recitations"	""	""	""	""	""	""	""	""	""	""	""	""	"54n"	""	"[sound:coming-soon.mp3]"
"497"	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:agamāsi.mp3]"
"498"	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:agamāsi.mp3]"
"499"	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:agamāsi.mp3]"
"504"	"22"	""	""	""	""	""	""	""	""	""	"AN 2.9"	"cariyasuttaṃ"	"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, na'y'idha paññāyetha mātā'ti vā mātucchā'ti vā mātulānī'ti vā ācariyabhariyā'ti vā garūnaṃ dārā'ti vā. sambhedaṃ loko <b>agamissa</b>, yathā ajeḷakā kukkuṭasūkarā soṇasiṅgālā."	""	""	""	""	""	""	""	""	""	""	""	""
"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"9"	"9"	""	""	""	""	""	"Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā"	"Ten Subjects for Frequent Recollection by One Who Has Gone Forth"	"Reflections"	"MN 27"	"cūḷahatthipadopamasuttaṃ"	"na'y'idaṃ sukaraṃ <b>agāraṃ </b>ajjhāvasatā ek'antaparipuṇṇaṃ ek'antaparisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ carituṃ."	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	"34n"	""	"[sound:agāra.mp3]"
"527"	"8"	"9"	""	""	""	""	""	""	""	""	"MN 27"	"cūḷahatthipadopamasuttaṃ"	"yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā <b>agārasmā</b> anagāriyaṃ pabbajeyyan'ti."	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	"18n"	""	"[sound:agāra.mp3]"
"533"	"8"	""	""	""	""	""	""	""	""	""	"MN 27"	"cūḷahatthipadopamasuttaṃ"	"yan'nūn'āhaṃ kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā<b> agārasmā anagāriyaṃ pabbajeyyan</b>'ti."	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	"18n"	""	"[sound:agārasmā anagāriyaṃ pabbajati.mp3]"
"537"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TH 257"	"pārāpariyattheragāthā"	"paṇītaṃ yadi vā lūkhaṃ, appaṃ vā yadi vā bahuṃ.
yāpan'atthaṃ abhuñjiṃsu, <b>agiddhā</b> n'ādhimucchitā. "	"Pārāpariya-thera-gāthā"	"From the Elder Pārāpariya"	"Verses"	"13n"	""	"[sound:coming-soon.mp3]"
"548"	"10"	"11"	""	""	""	""	""	""	""	""	"VIN PAT SK 71"	"pacchatogacchantī sikkhāpada"	"na pacchato gacchanto purato gacchantassa <b>agilānassa</b> dhammaṃ desessāmī'ti sikkhā karaṇīyā."	""	""	""	""	""	""	""	""	""	""	""	"[sound:agilāna.mp3]"
"558"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"559"	""	"11"	""	""	""	""	""	"Dhamma-pahaṃsāna"	"Striving According to the Dhamma"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	"28n"	""	"[sound:coming-soon.mp3]"
"561"	"16"	""	""	""	""	""	""	""	""	""	"DHP 407"	"brāhmaṇavaggo"	"yassa rāgo ca doso ca, māno makkho ca pātito,
sāsapo'r'iva ār'<b>aggā</b>, tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	"d"	""
"562"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"564"	""	""	""	""	""	""	""	"Aparihāniya-dhammā"	"Principles of Non-Decline"	"Teachings"	"PAT PK"	"dhammayuttika-pubbakicca"	"bhikkhugaṇanā nāma imasmiṃ uposath'<b>agge</b> uposath'atthāya sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	""	""	""	""	""	""	"27n"	""	"[sound:coming-soon.mp3]"
"584"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN 5.32"	"cundīsuttaṃ"	"aggassa dātā medhāvī, <b>aggadhamma</b>samāhito. devabhūto manusso vā, aggappatto pamodatī'ti."	"Aggappasāda-sutta-gāthā"	""	"Thanksgiving Recitations"	"44n"	""	"[sound:coming-soon.mp3]"
"586"	""	""	"firm in the supreme Dhamma"	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN 5.32"	"cundīsuttaṃ"	"aggassa dātā medhāvī, <b>aggadhammasamāhito</b>. devabhūto manusso vā, aggappatto pamodatī'ti."	"Aggappasāda-sutta-gāthā"	""	"Thanksgiving Recitations"	"44n"	""	"[sound:coming-soon.mp3]"
"597"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN 5.32"	"cundīsuttaṃ"	"aggassa dātā medhāvī, aggadhammasamāhito. devabhūto manusso vā, <b>aggappatto</b> pamodatī'ti."	"Aggappasāda-sutta-gāthā"	""	"Thanksgiving Recitations"	"44n"	""	"[sound:coming-soon.mp3]"
