id	ru_meaning	ru_meaning_raw	ru_meaning_lit	ru_notes
74	свободный от сомнений; без замешательства (относительно)		не спрашивающий 'как?'	
78	свободный от грязи; без нечистот			
79	класс божественных существ; непревзойденный; величайший		не самый молодой	
80		высшая; величайшая; эпитет класса девов; букв. не самые молодые		
81		в направлении высочайшей обители девов; стремящийся в высшее божественное царство		
82	неприятный; нежелательный; отталкивающий			
85		неприятный; нежеланный; неприязненный; отвратительный		
89		подготовили; выполнены; организованы		
90	недопустимый; неподходящий; несоответствующий			
91		несоответствующий; недопустимый; неприемлемый; незаконный		
92	не сконструированный; бесформенный; не сфабрикованный			
93		недопустимый; неприемлемый; неудовлетворительный; неприемлемо		
94		воспринимающий (что-то) как недопустимое; видящий (что-то) как неприемлемое		
97	сотрясался; дрожал; колебался; был обеспокоен			
99		непоколебимый; непоколебимый; непоколебимый; непоколебимый		
101		не дрожащий; непоколебимый; не колеблющийся; непоколебимый		
102		не работать (для); неподходящая работа (для); преступный (для); преступное дело (для)		
104		непригоден для работы; неиспользуемый; негодный для чего-либо; букв. невозможный		
109	безупречный; не опороченный; чистый; не запятнанный			
110		безупречный; неукрашенный; неиспорченный; неизменный		
112	не-делание; отсутствие действия; не совершение			
113	не должен быть сделан; не может быть выполнен			
114		невозможный для выполнения; невозможно сделать; неосуществимый; неудачный		
116		сделали; создали; выполнили		
118	не построив; не создав; не сделав			
122	не делающий; не осуществляющий; не выполняющий			
135	без проблем			
136	кто получает без усилий; приобретающий без труда; (комм) кто получает в изобилии			
140	они совершили			
141	они сделали; они создали			
142		сделал; выполнил; создал; осуществил		
144		посещаемый высококлассными людьми; без сопровождения низшими людьми; не посещаемый подонками; не попавший в круг заботы негодяев		
145		без желания; без потребности; без запроса; не нужный		
146		неохотный; нежелающий; невольный; без возможности выбора		
147	не желающий; делающий (что-л.) с неохотой			
148		не имеющий желания к чувственным удовольствиям; безжеланный в отношении чувственных удовольствий; свободный от желания к чувственным наслаждениям		
149	независимо от желания; вынужденно; без выбора в этом вопросе			
153	не деятель; не исполнитель; не преступник; невиновный			
154	(в дискуссии) контраргумент; ответный довод			
159		взял власть; осуществлял; вел; проводил в дело		
161	не побужденный совершать (кем-то); не заставленный делать (кем-то)			
162	несделанный ранее; прежде невыполненный		не побужденный к выполнению ранее	
163	не выполнимый; не может быть сделан; невозможно сделать			
164	не побудив сделать; не сделав			
165	неподходящее время; неудобный период; не время (для)			
166		неподходящий сезон (для); несезон (для); не вовремя (для); несвоевременный		
167	несезонный; неподходящий по времени года; несвоевременный		в неверное время	
168		неподходящее время для хождения (по деревне); ходить не в своё время		
169	(виная) внесезонная ткань для одеяния; неожиданная одежда			
172	цветение вне сезона; цветок не соответствующий времени года			
173		дождь в неподходящее время; непредвиденный ливень; незапланированный дождь; дождь не по сезону		
175	кто говорит в неподходящее время			
176	незамедлительный; безотлагательный; (комм) дающий немедленный результат		не связаный со временем	см. akālika 2
177	вневременной; не ограниченный определеным временем		не связаный со временем	см. akālika 1
179	в неподходящий момент; в неподходящее время; в неуместное время			
181	совершил; выполнил			
182	сделал; назначил			
184	я совершил; я выполнил			
185	я сделал; я назначил			
186	(то что) не должно быть сделано; не следует совершать			
189	не трудный; без проблем; легко получаемый			
190	получающий без проблем			
191		легко; без труда; без усилий		
192	без чего-либо; без обладания чем-либо; лишенный вещей; эпитет Архата			
195	ничего; ничто		не что-либо	
197		объяснил (кому-либо); сделал известным (кому-либо); ответил; истолковал (кому-либо)		
204	неделание; бездействие			
206	следующий доктрины бездействия; придерживающийся учения неэффективности действия		доктрина не действия	
216		активный; энергичный; неутомимый; бодрый.		
218	прямой; не изогнутый			
219	растущий прямо вверх; не кривой			
221	свободный от плохого поведения; без проступков			
224		растущий прямо вверх; не кривой; не вызывающий сомнений; недвусмысленный.		
225		не выросший как цыпленок; не выглядет как цыпленок; не похож на цыпленка; не вылупленный как цыпленок		
229	нечего не боящийся; без повода для страха		из ниоткуда страх	
231	непоколебимый; не дрогнувший			
232	непреложный; непогрешимый; неоспоримый; безупречный; недоступный сомнению		не должен быть потрясен	
233		неопровержимое состояние; непоколебимое состояние; недоступное состояние; стойкое состояние		
235	не трясущийся; не беспокоящийся; не волнующийся			
237	для того кто не делает (что-то)			
238		все пути; все подробности; каждый аспект		
239	не делающий; не определяющий			
240	не делающий; не совершающий; не создающий			
243	неумелый; неискусный; неопытный			
244		неблагоприятные действия; неумелые поступки; вредные		
246	нездоровый; неблагой; бесполезный			
249		низкое качество; не благоприятное состояние; неумелое качество		
250		избавление от плохих качеств; отказ от неумелых состояний; отрешение от неблагоприятных черт; покидание вредных качеств		
253		плохой; на стороне неумелого; недоброкачественный; неумелый		
257		плохой корень; корень неосновательный; корень недобрый; природа вредная		
263		неправильный; вредный; нецелесообразный; вредоносный		
269	нездоровое мышление; не благая мысль; неумелое мышление			
274		связанный с немудрым; относящийся к нечестивому; соприкасающийся с негативным; имеющий дело с неумелым.		
275		активный; прилежный; не ленивый; трудолюбивый		
276		искренний; честный; непоколебимый; верный		
277	тот кто честен; кто не обманывает; кто прямой			
278		тихий; бесшумный; не скрипучий; гладкий		
283	не вероломный; не лживый; не обманывающий; не фальшивый; не коррумпированный; честный			
284		несовершенный; неполный; не полный		
285	несовершенный; неполный; не искусный			
289		спокойный; невозмутимый; без раздражения; мирный		
293	не обученный (в); не эксперт (в); не специалист (в); не мастер (в)			
297		стоял на; наступил на; наступил на		
314		наступивший; топнувший; придавший усилие; давящий.		
316		оскорбленный; униженный; оскорбленный словами; наруганный		
318		оскорблен или почтен; оскорблен или уважаем; обижен или уважаем; обижен или почетен		
320		путаница; беспорядок; шум для внушения страха; хаос		
321	бранил; оскорбил			
322	свобода от гнева; отсутствие гнева; мягкость		не гнев	
323	беззлобный; свободный от гнева; дружелюбный; хорошо расположенный			
326		не злиться и раздражаться; без гнева и умственного волнения; отсутствие гнева и раздражения; без гнева и психического возбуждения		
327		неколебимый и невозмутимый; спокойный и уравновешенный; не испытывающий гнева и раздражения; не в ярости и суетится		
328	брань; оскорбление			
335	словесно оскорбляет; обижает			
337		оскорбляющий; оскорбление; бранящий; оскорбительный		
349		оскорбляемый (кем-либо); оскорбленный (кем-либо); подвергшийся вербальному насилию (от); обиженный (кем-либо)		
352		глаз; очи; зрение; взгляд;		
353		ось; вал; шток; стержень		
354		кубики; азартные игры; азартные игры; игра со ставками		
358		с разбитым осью; с разрушенным валом; как с переломанным сошком; будто с переломленным.		
359	цель; отметка; мишень			
362	метко стреляющий		пробивающий цель	
367		неуязвимый; неповрежденный; не раненый; не травмированный.		
368		судья; магистрат; дословно видит глазами; арбитр		
369	игрок; пристрастившийся к азартным играм		испорченный игрой в кости	
375	нетерпеливый; нетерпимый (к); неспособный вынести			
385		символ алфавита; слог; морфема; неразрушимый		
386	слово; звук; слог		нерушимый	
387		произношение; артикуляция; фонология; звукоизготовление		
388		буква за буквой; слог за слогом; по буквам; по слогам		
395		буква; слог; морфема; неразрушимый		
399	объявленный; сказанный; провозглашенный			
400	следует говорить (о); может быть объявленным		может быть сказан	
401	оратор; говорящий; тот который говорит			akkhātāro - это муж. именит. множ.
402	говорит; рассказывает; объясняет			
403	объявление; название; указывание			
404		рассказывание историй; изложение сказок; повествование; рассказывание сказок		
405	говоря; рассказывая; объявляя; заявляя			
406	считается; называется			
407	рассказ; история; повествование			
409	утверждающий; заявляющий; говорящий; объявляющий			
410	сказал; рассказал; заявил; объявил			
412	глаз			
413		связанный с глазами; органиченный глазами; визуальный		
415		удаляющий глаза; удаляющий зрение; похититель глаз; лишающий зрения		
417		глазница; орбита глаза; впадина для глаза; полость для глаза		
420		зрачок; мерцание в глазу; блеск в глазу; искорка в глазу		
422		неоспоримый; непререкаемый; букв. не брошенный; недискутированный		
431	может быть сказан; следует высказать; поддающийся выражению			
432	осознающий что поддается выражению; воспринимающий то что можно назвать			
441	не разбитый; не разломанный; целый			
442		чей поведение не разрушено; чей поступок не имеет недостатков; не имеющий дефектов в характере; букв. не делающий разбитым		
448	не жевание; не кусание			
451		не съедено; не потреблено; не принято		
453	мягкий вкус; не щелочной			
454		мягкий; теплосердечный; открытый сердцем; плодородный		
456		нежный сердцем; неустрашимый; добросердечный; чуткий.		
462		не знающие местности; букв. не зная поле; неориентированные в местности; не знающие территорию		
463		неопытный; любительский; незнающий области; дилетантский		
465	не безопасный; не в мире; не в покое			
466		проник; достиг; я пошел; прибыл		
468	шел; путешествовал			
474	в который не ходил; который не посещал			
475		не посещен ранее; не посещен прежде; не путешествовал ранее; не путешествовал прежде.		
477		куда нельзя пойти; место, куда нельзя дотянуться; где невозможно достичь; где нельзя добраться		
483	не связанный; не привязанный			
486	не связанный; не привязанный; не порабощенный			
491	без запаха; без аромата			
494		Пока, я сам пошёл; Я сам отправился; Я сам пришел; Я сам направился.		
495		ошлись; отправились; пришли; достигли		
496	пришел; прибыл			
497	пошел (к); направлился (к)			
498	пришел (к); прибыл (к)			
499	путешествовал; шел			
501		пришла; пошла; отправилась; двинулась		
504	если бы стал; если бы был погружен; в случае бытия		ушел бы (в)	
510	удобный; не хлопотный; не тягостный			
511	не уважаемый; не почитаемый			
513		не уважаемый; не почитаемый; не прославленный; букв. не сделанный тяжелым		
514	без проблем; не усложняя; без лишних вопросов		не утяжелив	
515	без проблем; не усложняя; без суеты		не сделав тяжелым	
516		без создания проблем; без усложнения; без лишнего шума		
521		Пришел (в); пошел (в); отправился (в); попал (в).		
525		необжитый; незаселенный; непоселенный; без деревни		
526	дом; жилище			
527	семейная жизнь; домашняя жизнь			
530		проживает в доме; живет в жилище; обитает в доме; находится в доме.		
533	уходит из дома в бездомность; покидает дом чтобы стать монахом			
534		неуважительный; непочтительный; без почтения; бесчтожничающий		
536		бытовая жизнь; домашнее существование; домашняя жизнь; семейная жизнь		
537	живет дома; живет своей жизнью			
538		человек; хранитель; исполнитель; работник;		
540		живущий как домовладелец; проживающий как светское лицо; пребывающий в домохозяйстве; обитающий, не являющийся монахом		
542	мирянин; домохозяином			
543	домашний; живущий как мирянин		состояние принадлежности к дому	
544	домохозяин; мирянин			
546	без жадности; без желания			
547		неграмотные и неблагородные; не очень сильно желающие; без жадности и желания; без алчности и жадности		
548	не больной; здоровый			
549		здоровый человек; не болен; букв. не болен; в хорошем здоровье; нет болезни		
555		неохраняемый; незащищенный; без присмотра; недостереженный		
556	не охраняющий двери (чего-то); без самоограничений (в); не защищающий разум		не охраняемые двери	
558	неподходящее место			
559	наивысший; самый верхний; важнейший; величайший			
560	в большинстве; очень; очень сильно; превосходный			
561	верхушка; вершина; макушка			
562	высшая часть; лучшая часть			
563		исход; вывод; результат; заключение		
564	зал; комната; помещение; место			
577		перед глазами; прямо перед собой; в присутствии; посреди		
584	высшее учение; лучшее состояние			
586	обладающий высшей доктриной; имеющий лучшее учение			
588		кончик гвоздя; наконечник гвоздя; шприцеватель; остроконечник		
589		главный город; верхний город; центральный город; столичный город		
592		высшее состояние; эпитет Ниббаны; верхнее положение; главный пункт		
594		лучшая пища; наилучший корм; превосходная пища; великолепный корм		
597	кто достиг вершины; кто достиг наивысшего			
603		растение, размножающееся от черенка; размножение черенками; букв. верхушечное семя; черенковое семя.		
607	считается наивысшим (среди); считается лучшим (из)			
627	высший учитель; важнейшее учение		говорящий о самом главном	
629	взял			
634	схватил; поймал; арестовал; захватил			
637	закрепление засова; установка задвижки			
638		пространство вокруг шпинделя; околошпиндельное пространство; пространство между шпинделем; пространство около засова		
639		Перекладина; засов; (по)дверная панель; болтуй.		
640		засов; запор; штанга; замок		
641	задвижка; засов; замок			
644		высшее место; место почета; особое место для сидения; особое место для сидения		
648	огонь			
649		огнепоклонение; огнивной; огненный; связанный с огнем.		
656	костер; масса огня			
661	сожженный огнем; уничтоженный огнем			
663	огнём; с огнём			
668		почитание огня; поклонение огню; служение священному огню; уход за священным огнем		
669		поклонение священному огню; обход вокруг огня; почитание огня; обходить вокруг огня		
670	огнепоклонник; служитель священного огня			
682	каминная комната; отапливаемый зал		огонь зал	место для хранения жертвенного огня
683	пламя		вершина огня	
685		как пламя огня; вроде пламени огня; подобно языку огня; словно огненный гребень.		
691	название клана брахманов		потомок Аггивессы	
692	огненное жертвоприношение; воздаяние огню			
696		зажёгши; поджёгши; поджигая		
697	следит за священным огнем; поклоняется жертвенному огню			
698		высший; превосходный; отличный; великолепный		
700		особенная вода; освященная вода; святая вода; консекрированная вода.		
702	значение; стоимость; цена; ценность			
706	стоит; имеет значение			
709		стоимость; ценность; значение; достоинство		
711	имеет ценность (чего-то); приравнивается к значению			
719	дорогостоящий; драгоценный		ценный	
724	жертвенная комната; помещение для хранения священного огня		дом огня	
725	пустое пространство; пустота; вакуум			
726	беда; несчастье; страдание			
728	полый; пустой; незаполненный		состояние пустого пространства	
729		перемещающийся по небу; преодолевающий пространство; летающий в пустоте; двигающийся сквозь небо		
730		в кого возникли проблемы; кто находится в страданиях; тот, кто страдает; кто испытывает беспокойство.		
734	как бедственный; как болезненный; как плохой			
735	как несчастье; как проблема			
736	корень страдания; (или) лишенный корня			
738	устранение неприятностей; исключение страданий		вывод плохого	
740	который не вдыхал; запах которого не чувствовал			
741	никогда не обонял; никогда до этого не испытанный (запах)			
742		тревожный; страдающий несчастьем; переживающий муку; страдающий горе		
744		коленище; ободок; обшлаг; скатерть		
750	крюк; крюк для управления слоном; стрекало			
755	погонщик слонов		держащий крюк	
759	часть тела; конечность; член			
760	участник; член			
761	компонент; элемент; аспект		часть	
762		страна; столица Кампа; современный Бенгал; рантье		
764	обет; практика; способ			
767		половой орган; член; гениталии; органы размножения.		
769	грязь; пятно			
770		загрязнение; нечистота; порочность; мазь		
771	двор			
776	даже конечность; просто конечность; именно (как его) конечность			
777	часть тела; та или иная конечность; основные и второстепенные конечности			
778		все части; все различные составляющие; букв. части и мелкие части; все компоненты		
781	конечность за конечностью; все конечности		конечность и конечность	
782	текущий через все конечности			
789	совокупность частей; собрание компонентов			
794		искусство физических особенностей; хиромантия, френология; букв. знание конечностей; физиогномика		
795		предсказание по физическим особенностям; лженаука; астрология по признакам тела; псевдонаука		
796	Бенгальцы; люди Бенгалии			
797	тлеющие угли			
800	яма с тлеющими углями			
801	как яма с горящими углями; похожий на угольную яму			
808	состоящий из (стольки-то) частей; содержащий из (стольки-то) элементов			
812		имеющий конечности; с телом; с телесными руками		
813		эпитет Будды; излучающий лучи из конечностей; прямой потомок Ангирасы; нисходящий от Ангирасы		
816	большой палец ноги; большой палец руки			
817		большой палец ноги; большой палец руки; большой палец		
818	отпечаток большого пальца; след от большого пальца			
826		жители Ангуттарапы; Ангуттарапцы; народ Ангуттарапы; ангуттарапане		
827	дюйм; ширина пальца			
829		связанный с пальцем; -пальчатый; пальцеде; -пальчатый.		
832		палец; пальчик; фаланга; указательный палец		
835	щекотание		тычок пальцами	
837	отпечаток пальца; след от пальца			
838	сустав пальца; фаланга пальца			
839	достаточный чтобы намочить фалангу пальца			
840	имя монаха архата		гирлянда из пальцев	
845	палец			
852	незрячий; слепой		безглазый	
853		вызывает недостаток видения; создающий недостаток ясности.		
854	плохо выглядящий; не радующий глаз		не для глаза	
855	устойчивый; прочный; не дрожащий			
856		действовал; вел себя; выполнил; сделал		
857		жил; проводил; практиковал; занимался		
858	бродил			
859	не прожив; не проведя свою жизнь		не пройдя	
860	не позже			
862	непоколебимый; неподвижный; стационарный; стабильный			
872		не проходящий; не отпадающий; не уходящий		
873		не склонен к падению; не предназначен для исчезновения; букв. не падающая природа; не обречен на упадок		
874	ходил; бродил; гулял			
882	думал (о); обдумывал			
884		непостижимый; невообразимый; необъяснимый; неподходящий для мысли		
888	(о времени) недолгий; скорый; недавний			
890		недавно построенный; только что построенный; свежепостроенный; недавно сооруженный		
891	недавно ушедший; вскоре удалившийся			
893	недавно посвященный в монахи			
894		недавно достигнуто окончательное освобождение; недавно достигнуто окончательное избавление		
897		имя реки; одна из пяти великих рек Древней Индии; речное название; одна из пяти великих рек древней Индии		
900		недавно выздоровевшийся; недавно поправившийся; недавно излечившийся; недавно преодолевший (болезнь).		
901	скоро; вскоре		не долго	
902	вскоре после посвящения в монахи			
904	не наделенный сознанием; неодушевленный; без сознания			
905	не думающий; не имеющий умственной активности			
906	не думающий; не имеющий умственной активности			
908		обнаженный; голый; непокрытый; без покровов		
909	обнаженный аскет		не покрытый	
910		простое факт обнажения; просто фактическое обнажение; лаконическое обнажение; чистое обнажение		
912		ученик голых аскетов; последователь голых аскетов; ученик нагих монахов; последователь нагих монахов.		
927	слишком; за пределами; в избытке			
928	слишком; вне; в избытке			
929	преодолел; превзошел; прошел			
930		преодолел; поборол; побежден; преуспел		
931	преодолел; превзошел; прошел через			
933	перешагнул за пределы; превзошел; преодолел; спасся			
936	полный; окончательный		до конца	
937	экстремальный; суровый		за пределами	
938	крайне плохое поведение; крайняя безнравственность			
939	полностью завершивший; абсолютно выполнивший			
941	полностью завершивший; абсолютно закончивший			
942	завершил святую жизнь; закончил духовное путешествие; (или) полностью целомудренный; абсолютно непорочный			
943	в полной безопасности; абсолютно свободный от зависимости			
949		презиравшие; презирали; относились с презрением; были пренебрежительны.		
950		уход; смерть		
951	(о времени) проход; истечение		преодоление	
952	ошибка; нарушение; проступок		выход за предел	
953		сбежать; преодолеть; преодоление; преодолевание		
954	выходит за рамки; проходит; превосходит; превышает			
955	(о времени) проходит; пролетает мимо			
958		увидев недостаток как недостаток; увидев ошибку как ошибку; увидев просчет как просчет; увидев дефект как дефект		
959	признает ошибку		признает ошибку ошибкой	
960	зашел слишком далеко; перешел границу			
961	после прохождения; по истечении		с прохождением	
962	после смерти; после ухода		с уходом	
963	провинился		ошибка охватила	
964		перешел; осветил; ослепил; сверкнул		
965	обидел; нарушил; перешел границы		зашел слишком далеко	
966		пошёл слишком далеко; превысил предел; перешёл черту; ушёл за меру		
969		Перешел черту; переборщил; ушел слишком далеко		
970	накладывая одно на другое; перекрывая; размещая одно над другим			
971	слишком тугой; слишком резко настроенный; перенапряженный			
972	срочный; неотложный; чрезвычайный			
974	чрезмерно пробужденный; сверх-стимулированный; слишком сильно приложенный			
977	чрезмерно возбужденная энергия; слишком сильное приложение усилия			
984	пламя			
986	пламя			
990		светящиеся; блестящие; мерцающие; с яркими пламенными свойствами		
995		слишком сильно подтянутый; лит. слишком тянущийся вверх; излишне поднятый; излишне удернутый;		
999	выходя полностью (из); поднимаясь над		взбираясь вверх	
1001		Сильная жара; чрезмерная жара; экстремальное тепло; избыточная жара;		
1002	вечный; бесконечный; постоянный; эпитет Ниббаны		не исчезающий	
1008	настойчивый; настоятельный; необычный			
1009	необычное одеяние; ткань для одежды что была предложена настойчиво			
1012	протекает; проходит; уходит			
1018		сильно опущено; висит свободно; слишком втянуто; слишком протянуто		
1022	яркий; чистый; прозрачный			
1023		медведь; зверь; животное; тварь		
1025	ждет (в); остается (в)			
1026	живет; остается; пребывает		сидит	
1031	щелкает пальцами			
1032	легкий удар пальцами; щелчок пальцами			
1033	небесная нимфа; божество женского пола			
1034		крошечный промежуток времени; мгновение; мельчайшая доля времени; мгновенное мгновение.		
1035		группа небесных нимф; толпа божественных женских существ; скопление женских божественностей природы		
1036		окруженный группой нимф-исполнительниц; петый толпой божественных женских существ		
1037	в окружении свиты небесных нимф; в сопровождении свиты божеств женского пола			
1044	чудесный; изумительный			
1053		Изумлённые и поражённые; с сердцами, полными удивления и изумления; возникло удивительное и чудесное восприятие.		
1055	чудесно!; удивительно!; невероятно!			
1058	одежда; одеяние		покрытие	
1064	одевает; покрывает; дает одежду			
1066		хотящий одеть; желающий купить ткань (для); букв. стремящийся прикрыть; желающий покрыть.		
1067		одевать; покрывать; облекать; облачать.		
1068	одевшись (в); укрывшись (в); надев			
1069	одел; покрыл		укрыл	
1070	радовал; доставлял удовольствие (на вкус)			
1071	сидел (в); пробыл (в); оставался (в); ожидал (в)			
1076		вырезать; разорвать; отсечь; отделить		
1077	ненарушенный; безупречный; без трещин			
1078		чей поведение целостно; чье поведение без изъянов; букв. не делающий брешь		
1079	с безупречным поведением; честно зарабатывающий на жизнь			
1080	берет назад; забирает; вырывает			
1083	ворующий; грабящий; лишающий			
1084	заставляет взять; побуждает забрать; побуждает вырвать			
