id	lemma_1	meaning_1	meaning_1_corrected
29203	takkasilā	name of city in Gandāra with a well known university; Greek name Taxila	name of city in Gandāra with a well-known university; Greek name Taxila
29236	taca 1	(of a humna) skin	(of a human) skin
29382	taṇhābhavaparikkhīṇa	exhausted craving for becoming; consumed craving for existence; (comm) exhasuted craving and becoming	exhausted craving for becoming; consumed craving for existence; (comm) exhausted craving and becoming
29452	tatiyakumāribhūtasikkhāpada	third rule about teenage girls	for the third time; occurring for the third time
29575	tatohaṃ	after that I; (or) becuase of that I	after that I; (or) because of that I
29615	tatrapime	in that case these just	in that case these
29717	tathāvādī 3	who tells the exact truth; who tells is like it is; truth speaker	who tells the exact truth; who tells it as it is; truth speaker
29718	tathāvidha	of such character; of such quality; such a kind of	of such character; of such quality; such a kind
29719	tathāvimutta	who is liberated in such way; who is free like this	who is liberated in such a way; who is free like this
29733	tadagge	beginning from that; from that day onwards on; since then; henceforth	beginning from that; from that day onwards; since then; henceforth
29746	tadañña 2	different to that	different from that
29814	tadāyattavuttitā	?? state of dependence on that	state of dependence on that
29947	tapojigucchāsāra	who hold extreme self-torture to be the essence	who holds extreme self-torture to be the essence
29973	tapparāyaṇa	having that as one's goal; focussed on that; (comm) made of that	having that as one's goal; focused on that; (comm) made of that
30049	tambapiṅgala	names of two type of elephants	names of two types of elephants
30074	tayocodanārahā	three who blameworthy	three who are blameworthy
30199	tassevaṃ 2	when he like this	when he is like this
30234	taṃrucika	with that preferences; with those inclinations	with that preference; with those inclinations
30345	tālamatta	one palm trees in height; one palm tree deep	one palm tree in height; one palm tree deep
30380	tāvatakvassa	that long his; that much (is) his	that long; his; that much (is) his
30588	tittakalābubīja	seed of the bitter gourd	bitter gourd; bitter melon; Momordica charantia
30590	tittakālābu 2	bitter gourd; bitter melon; Mamordica charantia	bitter gourd; bitter melon; Momordica charantia
30644	tidhātukalokasannivāsasaṅkhāta	what is called living together with in the world of three states	what is called living together in the world of three states
30686	tibbagārava	with keen respect; with intense esteem (for); who highly value	with keen respect; with intense esteem (for); who highly values
30763	tiracchānavijjāpariyāpuṇanasikkhāpada	rule about a pseudo-sciences	rule about pseudo‑science
30828	tilabījakādibheda	?? distinguished by sesame seed, etc.	? distinguished by sesame seed, etc.
31154	tecīvarika 1	monk who only possess or wears three robes	(gram) related to the three times; i.e. past, present and future
31156	tecīvarikaṅga	ascetic practice of having only three robes	monk who only possesses or wears three robes
31157	tecīvarikatta	fact of being a monk who only possess or wears three robes	fact of being a monk who only possesses or wears three robes
31122	tūlapicu	cottonwool; cotton fluff; cotton tuft	cotton-wool; cotton fluff; cotton tuft
31370	tyassa	they his	their
31373	tyāssa	they his; they for him	their; they for him
31391	tvevāhaṃ	but even then I; certainly I just	but even then, I; certainly I just
31698	dakkhiṇajāṇumaṇḍala	right knee cap	right knee‑cap
31725	dakkhiṇeyyaggi 2	fire (of hell for those abusing) someone worthy of gifts	fire (of hell for those abusing) of someone worthy of gifts
31878	dantakārantevāsī	ivory carver's apprentice; ivory craftman's understudy	ivory carver's apprentice; ivory craftsman's understudy
32089	dasāhātikkanta 1	kept longer than ten days; stored more then ten days	not kept longer than ten days; stored more than ten days
32094	dasāhuppanna	which appeared on the tenth day; which becomes available on the nine day after	which appeared on the tenth day; which becomes available on the ninth day after
32298	dāpeti	causes to give; makes give	causes to give; makes (someone) give
32301	dāpesi	caused to give; made give	caused to give; made (someone) give
32298	dāpeti	causes to give; makes give	causes to give; makes (someone) give
32519	diṭṭhippatta	attained understanding; (or) attained through view; epithet of a steam-enterer or higher	attained understanding; (or) attained through view; epithet of a stream-enterer or higher
32557	diṭṭhivipphandita	writhing of views; contortion of views	wringing of views; contortion of views
32560	diṭṭhivisūka	twisting of views; writhing of views; contortion of views	twisting of views; wringing of views; contortion of views
32755	dīgharattamidaṃ	for a long time this	for a long time, this
32782	dīghāyukatta	fact of being long lived	fact of being long-lived
32783	dīghāyukasaṃvattanika	leading to being long lived; conducive to a long lifespan	leading to being long-lived; conducive to a long lifespan
32848	dukūlasandāna	with halters of fine cloth; (comm) with spreads of find cloth	with halters of fine cloth; (comm) with spreads of fine cloth
32866	dukkarakārikasaṅkhāta	what is called the practice of austerities; what is know as the practice of extreme asceticism	what is called the practice of austerities; what is known as the practice of extreme asceticism
32891	dukkhadukkhatā	suffering inhernet in pain; normal suffering	suffering inherent in pain; normal suffering
33212	dutiyakumāribhūtasikkhāpada	second rule about rule about teenage girls	second rule about teenage girls
27	akaṇha	not black; not bad; not negative	hard to overcome
49	akatatta 1.1	fact of not having done	uglier; more unattractive
33864	duvindriya	with two sense faculties; having two senses; i.e. touch and taste	in two ways; as of two kinds; in a dual manner
33918	dūrepātī	who shoots long-ranges; who is able to shoot long distances	who shoots long ranges; who is able to shoot long distances
34044	devatābhāsita	spoken by a deity; preached by a gods	spoken by a deity; preached by gods
34109	devamahattatā	devine eminence; illustriousness among deities	divine eminence; illustriousness among deities
34229	dosatanutta	small amount of aversion; paucity amount of ill-will	small amount of aversion; paucity of ill-will
34262	dovacassa	obstinance; stubbornness; mulishness; wilfulness	obstinacy; stubbornness; mulishness; willfulness
34263	dovacassakaraṇa	which make one hard to talk to; causing obstinance; making one obdurate	which makes one hard to talk to; causing obstinacy; making one obdurate
34295	dvattiṃsamahāpurisalakkhaṇāni	thirty two marks of a great man; thirty two characteristics of an illustrious being	thirty-two marks of a great man; thirty-two characteristics of an illustrious being
34370	dvāsaṭṭhividha	of sixty two kinds	of sixty-two kinds
34420	dvipada 1	two footed; with two feet	two-footed; with two feet
34462	dveasītisuttantā	eighty two discourses	eighty-two discourses
34536	dhata 1	remembered; retained in mind; known off by heart	(gram) remembered; retained in mind; known by heart
34544	dhanakkītācakka	bought with money cycle	(of a wife or servant) purchased with money; bought with cash
34616	dhamanisanthatagatta	with limbs covered in veins; with protuding blood vessels all over	with limbs covered in veins; with protruding blood vessels all over
34658	dhammakāma	truth loving; Dhamma lover; (comm) loves the three baskets	truth‑loving; Dhamma lover; (comm) loves the three baskets
34805	dhammapūjā	veneration with the teaching	veneration of the teaching
34852	dhammasaṅgaha	support with teaching	support with the teaching
34888	dhammasārādhigama	realising the essence of the Dhamma; reaching the core the teaching	reaching the core of the teaching
34911	dhammavicayasambojjhaṅga	investigation of reality as an element of awakening; analysing the teaching as an factor of enlightenment	investigation of reality as an element of awakening; analysing the teaching as a factor of enlightenment
34967	dhammārāma 2	enjoying mental phenomena; taking pleasure thought	enjoying mental phenomena; taking pleasure in thought
35031	dhāta 1.1	remembered; retained in mind; known off by heart	remembered; retained in mind; known by heart
35117	dhārita	remembered; retained in mind; known off by heart	remembered; retained in mind; known by heart
35137	dhāressati	will bear in mind; will keep in mind; will remembers	will bear in mind; will keep in mind; will remember
35167	dhītumaraṇa	death of daughter	death of a daughter
35208	dhunāti 1	shakes off; shake apart; destroys	shakes off; shakes apart; destroys
35394	nakhasā	?? psoriasis; (comm) disease in the place scratched by the nails	psoriasis; (comm) disease in the place scratched by the nails
35505	naṭṭhacīvara	whose robe has perished; who robe has been destroyed	whose robe has perished; whose robe has been destroyed
35506	naṭṭhacīvaraka	whose robe has perished; who robe has been destroyed	whose robe has perished; whose robe has been destroyed
35755	nappaveseti	does not provide; does not furnish; does not supply (with)	not repulsive; not disagreeable; not unpleasant; not disliked
35762	nabāhulika	not excessive; not living luxuriously	not obtained by internal settling; not acquired by tranquillity
35832	nayito	not than this	not this
35980	nahāpitasippa	skill of being a bathing attendant; barbery	skill of being a bathing attendant; barbering
36104	nāgāvāsasata	one hundreds serpent dwellings; one hundred homes of nāgas	one hundred serpent dwellings; one hundred homes of nāgas
36152	nātikaḍḍhati	does not over-react; does not get angry	does not overreact; does not get angry
36179	nātimahanta	not too big; not overly large; not over-size	not too big; not overly large; not oversized
36279	nānāttha	different in meaning; distinct in meaning; having a difference sense	different in meaning; distinct in meaning; having a different sense
36280	nānādāru	various timbers; difference kinds of wood	various timbers; different kinds of wood
36282	nānādisā	various directions	with many states; with different elements
36284	nānādhātupaṭivedha	penetration of the various elements; breakthrough of understanding into the many states	knowledge of the fact of having various dispositions; understanding of the fact of having different inclinations
36337	nānuparivattati	does not circle around; does not revolve around; does not rotate around	does not continue following after
36385	nābrāhmaṇa	no Brahman is not	no Brahman is
36388	nābhāsamāna	not not speaking; not (when) not talking	not speaking; not (when) talking
36397	nābhijānāti 2	does not experience; does not get (pleasure); does not suffers (pain)	does not suffer (pain)
36552	nāsassata	nor not eternal; nor not endless; nor not perpetual	neither eternal, nor endless, nor perpetual
36814	nikkhipituṃ 1	to set aside; to keep; to stored; to save	to set aside; to keep; to store; to save
37131	niṭṭhurī	rough; harsh; coarse	gully; mountain gorge
37005	niccasārādisārarahita	devoid of any permanent essence, etc.	devoid of any permanent essence, etc
37196	nidāna 4	background story; narrative setting; introductory tale	(vinaya) introduction
37315	nindā	blame; criticizm; fault-finding; disgrace	blame; criticism; fault-finding; disgrace
37316	nindāghaṭṭanabyārosaupārambhabhaya	fear of blame, conflict, causing anger and condemnation; fear of criticizm, insult, angering, and being faulted	fear of blame, conflict, causing anger and condemnation; fear of criticism, insult, angering, and being faulted
37317	nindāpasaṃsā	blame and praise; criticizm and approval	blame and praise; criticism and approval
37318	nindābyārosaupārambhabhaya	fear of blame, provoking anger and criticizm	fear of blame, provoking anger and criticism
37319	nindābyārosanaupārambhabhaya	fear of blame, provoking anger and criticizm	fear of blame, provoking anger and criticism
37472	nippharati	?? (of effort) makes; puts forth; applies	(of effort) makes; puts forth; applies
37548	nibbattitappasāda	?? produced by the faculty itself ??	produced by the faculty itself
37584	nibbānapatti	attainment of Nibbāna; reaching extinguishing	attainment of Nibbāna; reaching extinguishment
37614	nibbānogadhagāmī	leading to a immersion in Nibbāna	leading to an immersion in Nibbāna
37618	nibbāpeti 1	causes to grow cold; makes cool down	(of fire) causes to grow cold; makes it cool down
37628	nibbāyi 1	(of an arahant) died one's last death; attained final emancipation	dies his final death; attains final emancipation
37655	nibbijjhitvā	having penetrated; having pierced through; having broken through (something with)	having penetrated; having pierced through; having broken through (something)
37670	nibbidāvirāga	dis-enchantment and detachment; disinterest and dispassion	disenchantment and detachment; disinterest and dispassion
37671	nibbidāvirāgattha	for the purpose of dis-enchantment and detachment; for the sake of disinterest and dispassion	who has successfully achieved disenchantment and detachment; with disinterest and dispassion
37672	nibbidāvirāgasampanna	who has successfully achieved dis-enchantment and detachment; with disinterest and dispassion	who has failed in disenchantment and detachment; without disinterest and dispassion
37673	nibbidāvirāgavipanna	who has failed in dis-enchantment and detachment; without disinterest and dispassion	for the benefit of disenchantment and detachment; for the advantage of disinterest and dispassion
37674	nibbidāvirāgānisaṃsa	for the benefit of dis-enchantment and detachment; for the advantage of disinterest and dispassion	with disenchantment as pre-condition
37675	nibbidūpanisa	with dis-enchantment as pre-condition	penetrating; piercing through; breaking through
37685	nibbindi	became dis-enchanted (with); was disinterested (in); was disillusioned (by); lost interest (in); was dispassionate (towards)	became disenchanted (with); was disinterested (in); was disillusioned (by); lost interest (in); was dispassionate (towards)
37686	nibbindituṃ	to become dis-enchanted (with); to become disinterested (in); to be disillusioned (with); to lose interest (in)	to become disenchanted (with); to become disinterested (in); to be disillusioned (with); to lose interest (in)
38030	nirākaroti	rejects; spurns; gets rid (of)	rejects; spurns; gets rid of
38215	nisīdāpeti	makes (someone) take a seat; makes sit down	makes (someone) take a seat; makes (someone) sit down
38384	nivatteti 2	causes to turns away; causes to recoil	causes to turn away; causes to recoil
38543	nīcakulīna	belonging to a poor family; low born	belonging to a poor family; low-born
38545	nīcakulīnatta	fact of belonging to a poor family; fact of being low born	fact of being low-born
38546	nīcakulīnasaṃvattanika	leading to being in a poor family; conducive to being low born	leading to being in a poor family; conducive to being low-born
38720	nekkhammasaṅkappabahula	full of thoughts of renunciation; freqently thinking about giving up sensual pleasure	full of thoughts of renunciation; frequently thinking about giving up sensual pleasure
38814	nesādajāti	caste of hunters and fisherman	caste of hunters and fishermen
38865	nevasekkhonāsekkha	who is neither a trainee nor is beyond training; i.e. who does not train	who is neither a trainee nor beyond training; i.e. who does not train
38947	nhārusambandha	connected by tendons	name of an ascetic teacher
38949	nhāruvilekhana	tendon scrapings; shreds of tendon	name of an ascetic teacher
39065	pakkajjhāna	prophesying life span	prophesying lifespan
39097	pakkosāpetvā	having had called for; having had summoned; having caused to summon	having called for; having summoned; having caused to summon
39177	paguṇa 2	well-practised; well rehearsed; learned by heart; mastered	well-practised; well-rehearsed; learned by heart; mastered
39354	paccanubhossati	will display; will manifest; wil have	will display; will manifest; will have
39406	paccayuppattimattaka	?? with moderation in generating the (four) requisites	with moderation in generating the (four) requisites
39414	paccavidi	understood; comprehended; personally known; (comm) penetreated	understood; comprehended; personally known; (comm) penetrated
39478	paccāharāpeti	reports back; bring back a message	reports back; brings back a message
39508	paccudāvattati 2	(of an illness) re-occurs; relapses	(of an illness) recurs; relapses
39626	pacchābhimukha	facing towards the west; orientated in a westerly direction	facing towards the west; oriented in a westerly direction
39669	pacchimābhimukha	facing towards the west; orientated in a westerly direction	facing towards the west; oriented in a westerly direction
39770	pañcakkhandha	five aggregates; five masses; materiality, feeling, perception, mental activities and consciousnes	five aggregates; five masses; materiality, feeling, perception, mental activities and consciousness
39905	pañcavassasahassāyuka	living for five thousand year; with a lifespan of five thousand year	living for five thousand years; with a lifespan of five thousand years
39922	pañcābhiññā	five physic powers; i.e. power of performing miracles, clairaudience, clairvoyance, knowing other's thoughts, and recollecting one's previous births	five psychic powers; i.e. power of performing miracles, clairaudience, clairvoyance, knowing other's thoughts, and recollecting one's previous births
40060	paññābala	power that is insight; strength of intelligence	power of insight; strength of intelligence
40112	paññāvimuttī	liberated by wisdom; emacipated by understanding	liberated by wisdom; emancipated by understanding
40133	pañhapaṭibhāna	spontaneous answer to a question; ingenius reply to an enquiry	spontaneous answer to a question; ingenious reply to an enquiry
40141	pañhaveyyākaraṇa	answer to a question; response to a an enquiry	answer to a question; response to an enquiry
40151	pañhāveyyākaraṇa	answer to a question; response to a an enquiry	answer to a question; response to an enquiry
40170	paṭavāsinī	wife acquired by clothing	wife acquired through clothing
40315	paṭiggaṇhāti 2	(of an apology) accepts	(of an apology) is accepted
40441	paṭijānāti 4	makes the claim (of); claims (to be); supposes ones is	makes the claim (of); claims (to be); supposes one is
40508	paṭinivattati 1	turns around and come back (from)	turns around and comes back (from)
40554	paṭipadānuttariya	excellency of path; best kind of practice	excellence of path; best kind of practice
40588	paṭipādeti 2	causes to take a road; makes walk a certain way	causes (someone) to take a road; makes (someone) walk a certain way
40615	paṭipuccheyya	should ask in return; should counter-question; should repose a question (to somebody about something))	should ask in return; should counter-question; should repose a question (to somebody about something)
40664	paṭibāhituṃ	to opposes; to resist; to reject; to refuse (something with)	to oppose; to resist; to reject; to refuse (something with)
40766	paṭirosati	gets angry back; also gets angry; responds angrily (to)	gets angry in return; also gets angry; responds angrily (to)
40767	paṭiroseti	gets angry back; also gets angry; responds angrily (to)	gets angry in return; also gets angry; responds angrily (to)
40924	paṭisāreti	makes think back; makes regret	makes one think back; causes regret
41017	paṭivijjhati 1	penetrates; pierces though; breaks through (to)	penetrates; pierces through; breaks through (to)
