pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
anāpucchanta,prp,not asking permission; not taking leave; not informing (somebody about something),VIN PAT PC 14,paṭhamasenāsanasikkhāpadaṃ,"yo pana bhikkhu saṅghikaṃ mañcaṃ vā pīṭhaṃ vā bhisiṃ vā kocchaṃ vā ajjhokāse santharitvā vā santharāpetvā vā taṃ pakkamanto n'eva uddhareyya, na uddharāpeyya, <b>anāpucchaṃ</b> vā gaccheyya, pācittiyaṃ.",,,,,,,,,
anibbisanta,prp,not understanding; not penetrating; not finding; not getting hold (of),DHP153,jarāvaggo,"anekajātisaṃsāraṃ,
sandhāvissaṃ <b>anibbisaṃ</b>,
gahakāraṃ gavesanto,
dukkhā jāti punappunaṃ.",,,,,,,,,
anudhāvati 1,pr,runs along; sprints along,DHP85,paṇḍitavaggo,"appakā te manussesu,
ye janā pāragāmino,
ath'āyaṃ itarā pajā,
tīram'eva-<b>anudhāvati</b>.",,,,,,,,,
anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),AN10.60,girimānandasuttaṃ,"katamā c'ānanda, sabbaloke anabhiratasaññā? idh'ānanda, bhikkhu ye loke upādānā cetaso adhiṭṭhān'ābhinives'ānusayā, te pajahanto viharati <b>anupādiyanto</b>. ayaṃ vuccat'ānanda, sabbaloke anabhiratasaññā.",SN35.30,samugghātasāruppasuttaṃ,so evaṃ amaññamāno na ca kiñci loke upādiyati. <b>anupādiyaṃ</b> na paritassati. aparitassaṃ paccattaññ'eva parinibbāyati.,,,,,,
anussaranta,prp,remembering; recollecting; keeping in mind,TH257,pārāpariyattheragāthā,"saritvā pubbake yogī,
tesaṃ vattam'<b>anussaraṃ</b>,
kiñ'cā'pi pacchimo kālo,
phuseyya amataṃ padaṃ.",AN3.71,uposathasuttaṃ,"tassa attano ca tāsañ'ca devatānaṃ saddhañ'ca sīlañ'ca sutañ'ca cāgañ'ca paññañ'ca <b>anussarato</b> cittaṃ pasīdati, pāmojjaṃ uppajjati, ye cittassa upakkilesā te pahīyanti",DHP364,bhikkhuvaggo,"dhamm'ārāmo dhammarato, dhammaṃ anuvicintayaṃ,
dhammaṃ <b>anussaraṃ</b> bhikkhu, saddhammā na parihāyati.",,,
aneka,adj,many; various; countless,DHP153,jarāvaggo,"<b>aneka</b>jātisaṃsāraṃ,
sandhāvissaṃ anibbisaṃ,
gahakāraṃ gavesanto,
dukkhā jāti punappunaṃ.",SN35.246,vīṇopamasuttaṃ,"tam'enaṃ evaṃ vadeyyuṃ, ayaṃ kho, bhante, vīṇā nāma <b>aneka</b>sambhārā mahāsambhārā. <b>anekehi</b> sambhārehi samāraddhā vadati",SN35.95,mālukyaputtasuttaṃ,"tassa vaḍḍhanti vedanā, <b>anekā</b> rūpasambhavā. abhijjhā ca vihesā ca, cittam'ass'ūpahaññati. evaṃ ācinato dukkhaṃ, ārā nibbānam'uccati.",MN107,gaṇakamoggallānasuttaṃ,"evam'evaṃ, bho gotama, <b>aneka</b>pariyāyena dhammo pakāsito."
anekajāti,adj,with many births; having multiple lives,DHP153,jarāvaggo,"<b>anekajāti</b>saṃsāraṃ,
sandhāvissaṃ anibbisaṃ,
gahakāraṃ gavesanto,
dukkhā jāti punappunaṃ.",,,,,,,,,
antarāyika,adj,obstructive (for); blocking; impeding,SN17.3,kummasuttaṃ,"dāruṇo, bhikkhave, lābhasakkārasiloko kaṭuko pharuso <b>antarāyiko</b> anuttarassa yogakkhemassa adhigamāya.",VIN PAT NID,nidānuddeso,"sampajānamusāvādo kho pan'āyasmanto, <b>antarāyiko</b> dhammo vutto bhagavatā.",,,,,,
andha 1.2,adj,blind; sightless; visually impaired,MN107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, bho gotama, nikkujjitaṃ vā ukkujjeyya, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, <b>andha</b>kāre vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhantī'ti.",DN9.5,"poṭṭhapādasuttaṃ, cittahatthisāriputtapoṭṭhapādavatthu","sabb'eva kho ete, poṭṭhapāda, paribbājakā <b>andhā</b> acakkhukā, tvaṃ'y'eva nesaṃ eko cakkhumā. ek'aṃsikā'pi hi kho, poṭṭhapāda, mayā dhammā desitā paññattā, anek'aṃsikā'pi hi kho, poṭṭhapāda, mayā dhammā desitā paññattā.",SN46.55,saṅgāravasuttaṃ,"seyyathā'pi, brāhmaṇa, udapatto āvilo luḷito kalalībhūto <b>andha</b>kāre nikkhitto. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya.",,,
apattamānasa,adj,who has not achieved one's aim; who has not fulfilled one's intention; (comm) not reached the state of arahant,MN107,gaṇakamoggallānasuttaṃ,ye kho te bhikkhū sekkhā <b>apattamānasā</b> anuttaraṃ yogakkhemaṃ patthayamānā viharanti tesu me ayaṃ evarūpī anusāsanī hoti.,,,,,,,,,
aparitassanta,prp,being unperturbed; being unshaken,SN35.234,udāyīsuttaṃ,"so evaṃ asamanupassanto na kiñci loke upādiyati, anupādiyaṃ na paritassati, <b>aparitassaṃ</b> paccattaññ'eva parinibbāyati.",,,,,,,,,
apassanta,prp,not seeing; not noticing; not aware,MN75,māgaṇḍiyasuttaṃ,"evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā acakkhukā ajānantā ārogyaṃ, <b>apassantā</b> nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti",AN10.176,cundasuttaṃ,"so ajānaṃ vā āha jānāmī'ti, jānaṃ vā āha na jānāmī'ti, <b>apassaṃ</b> vā āha passāmī'ti, passaṃ vā āha na passāmī'ti",VIN PAT PA 4,uttarimanussadhamma sikkhāpada,"ajānam'evaṃ, āvuso, avacaṃ jānāmi, <b>apassaṃ</b> passāmi. tucchaṃ musā vilapin'ti, aññatra adhimānā, ayam'pi pārājiko hoti asaṃvāso.",SN56.25,āsavakkhayasuttaṃ,"jānato'haṃ, bhikkhave, passato āsavānaṃ khayaṃ vadāmi, no ajānato <b>apassato</b>. kiñ'ca, bhikkhave, jānato passato āsavānaṃ khayo hoti?"
apassaṃ,prp,not seeing,AN3.28,gūthabhāṇīsuttaṃ,"eh'ambho purisa, yaṃ jānāsi taṃ vadehī'ti. so ajānaṃ vā āha, jānāmī'ti, jānaṃ vā āha, na jānāmī'ti, <b>apassaṃ</b> vā āha, passāmī'ti, passaṃ vā āha, na passāmī'ti.",DHP113,sahassavaggo,"yo ca vassasataṃ jīve,
<b>apassaṃ</b> udayabbayaṃ,
ek'āhaṃ jīvitaṃ seyyo,
passato udayabbayaṃ.",,,,,,
appaka 2,nt,few things; few people; small amount,DHP85,paṇḍitavaggo,"<b>appakā</b> te manussesu,
ye janā pāragāmino,
ath'āyaṃ itarā pajā,
tīram'ev'ānudhāvati.",SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","passaṃ naro dakkhati nāmarūpaṃ,
disvāna vā ñassati tāni'm'eva,
kāmaṃ bahuṃ passatu <b>appakaṃ</b> vā,
na hi tena suddhiṃ kusalā vadanti.",,,,,,
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness,SN12.22,dutiyadasabalasuttaṃ,par'atthaṃ vā hi bhikkhave sampassamānena alam'eva <b>appamādena</b> sampādetuṃ,DN16.36,mahāparinibbānasuttaṃ,"handadāni, bhikkhave, āmantayāmi vo, vayadhammā saṅkhārā, <b>appamādena</b> sampādetha.",DHP21,appamādavaggo,"<b>appamādo</b> amatapadaṃ,
pamādo maccuno padaṃ,
appamattā na mīyanti,
ye pamattā yathā matā.",AN4.37,aparihāniyasuttaṃ,"<b>appamāda</b>rato bhikkhu,
pamāde bhayadassi vā,
abhabbo parihānāya,
nibbānass'eva santike'ti."
abhippamodayanta,prp,gladdening; pleasing; satisfying,MN118,ānāpānassatisuttaṃ,"<b>abhippamodayaṃ</b> cittaṃ assasissāmī'ti sikkhati, abhippamodayaṃ cittaṃ passasissāmī'ti sikkhati.",,,,,,,,,
abhisandeti,pr,fills up; fills to the brim; overflows; drenches,MN39,mahāassapurasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena <b>abhisandeti</b> parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti",,,,,,,,,
abhisandeti parisandeti paripūreti parippharati,idiom,"douses, drenches, soaks and saturates",MN39,mahāassapurasuttaṃ,"evam'eva kho, bhikkhave, bhikkhu imam'eva kāyaṃ samādhijena pītisukhena <b>abhisandeti parisandeti paripūreti parippharati</b>",,,,,,,,,
amutra,ind,there; in such-and-such a place,MN51,kandarakasuttaṃ,"pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na <b>amutra</b> akkhātā imesaṃ bhedāya, amutra vā sutvā na imesaṃ akkhātā amūsaṃ bhedāya",DN9.3,"poṭṭhapādasuttaṃ, sahetukasaññuppādanirodhakathā","yato kho, poṭṭhapāda, bhikkhu idha sakasaññī hoti, so tato <b>amutra</b> tato <b>amutra</b> anupubbena saññ'aggaṃ phusati. tassa saññ'agge ṭhitassa evaṃ hoti, cetayamānassa me pāpiyo, acetayamānassa me seyyo.",,,,,,
amūsaṃ 2,pron,of such and such; of those people,MN51,kandarakasuttaṃ,"pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra akkhātā imesaṃ bhedāya, amutra vā sutvā na imesaṃ akkhātā <b>amūsaṃ</b> bhedāya",,,,,,,,,
alameva,sandhi,it is enough (to); it is quite enough (to); that's quite sufficient (to),SN12.22,dutiyadasabalasuttaṃ,par'atthaṃ vā hi bhikkhave sampassamānena <b>alam'eva</b> appamādena sampādetuṃ,AN6.102,anavatthitasuttaṃ,"cha, bhikkhave, ānisaṃse sampassamānena <b>alam'eva</b> bhikkhunā sabbasaṅkhāresu anodhiṃ karitvā aniccasaññaṃ upaṭṭhāpetuṃ. katame cha?",SN15.1,tiṇakaṭṭhasuttaṃ,"yāvañ'c'idaṃ, bhikkhave, <b>alam'eva</b> sabbasaṅkhāresu nibbindituṃ alaṃ virajjituṃ alaṃ vimuccitun'ti.",,,
asati 1.1,prp,when isn't; when not existing,SN12.61,assutavāsuttaṃ,"imasmiṃ sati idaṃ hoti, imass'uppādā idaṃ uppajjati. imasmiṃ <b>asati</b> idaṃ na hoti, imassa nirodhā idaṃ nirujjhati",MN22,alagaddūpamasuttaṃ,so evaṃ samanupassanto <b>asati</b> na paritassatī'ti.,UD74,catutthanibbānapaṭisaṃyuttasuttaṃ,"nissitassa calitaṃ, anissitassa calitaṃ n'atthi. calite <b>asati</b> passaddhi, passaddhiyā sati nati na hoti. natiyā <b>asati</b> āgatigati na hoti. āgatigatiyā <b>asati</b> cut'ūpapāto na hoti. cut'ūpapāte asati n'ev'idha na huraṃ na ubhayam'antarena. es'ev'anto dukkhassā'ti.",SN12.38,cetanāsuttaṃ,ārammaṇe <b>asati</b> patiṭṭhā viññāṇassa na hoti. tadappatiṭṭhite viññāṇe avirūḷhe āyatiṃ punabbhav'ābhinibbatti na hoti.
asante,prp,when there isn't; when not existing; when does not exist,VIN PAT NP 16,eḷakalomasikkhāpadaṃ,"bhikkhuno pan'eva addhānamaggappaṭipannassa eḷakalomāni uppajjeyyuṃ, ākaṅkhamānena bhikkhunā paṭiggahetabbāni, paṭiggahetvā tiyojanaparamaṃ sahatthā haritabbāni <b>asante</b> hārake.",SNP49,"kalahavivādasuttaṃ
aṭṭhakavaggo 11","sātaṃ asātañ'ca kutonidānā,
kismiṃ <b>asante</b> na bhavanti h'ete,
vibhavaṃ bhavañ'c'āpi yam'etam'atthaṃ,
etaṃ me pabrūhi yatonidānaṃ.",UD78,visākhāsuttaṃ,"ye keci sokā paridevitā vā, dukkhā ca lokasmim'anekarūpā.
piyaṃ paṭiccappabhavanti ete, piye <b>asante</b> na bhavanti ete.",,,
asamanupassanta,prp,not seeing; not perceiving,SN35.234,udāyīsuttaṃ,"so evaṃ <b>asamanupassanto</b> na kiñci loke upādiyati, anupādiyaṃ na paritassati, aparitassaṃ paccattaññ'eva parinibbāyati.",AN6.55,soṇasuttaṃ,"khīṇ'āsavo, bhante, bhikkhu vusitavā katakaraṇīyo, karaṇīyaṃ attano <b>asamanupassanto</b>, katassa vā paṭicayaṃ khayā rāgassa vītarāgattā nekkhamm'ādhimutto hoti",,,,,,
assasati,pr,inhales; breathes in,MN118,ānāpānassatisuttaṃ,so sato'va <b>assasati</b> sato'va passasati,MN62,mahārāhulovādasuttaṃ,"dīghaṃ vā assasanto, dīghaṃ <b>assasāmī</b>'ti pajānāti, dīghaṃ vā passasanto, dīghaṃ passasāmī'ti pajānāti.",,,,,,
assasanta,prp,inhaling; breathing in,MN118,ānāpānassatisuttaṃ,dīghaṃ vā <b>assasanto</b> dīghaṃ assasāmī'ti pajānāti dīghaṃ vā passasanto dīghaṃ passasāmī'ti pajānāti,,,,,,,,,
avivadamāna,prp,not disputing; not quarrelling,MN31,cūḷagosiṅgasuttaṃ,"kacci pana vo, anuruddhā, samaggā sammodamānā <b>avivadamānā</b> khīrodakībhūtā aññam'aññaṃ piyacakkhūhi sampassantā viharathā'ti?",VIN PAT SA 10,saṅghabhedasikkhāpadaṃ,"samet'āyasmā saṅghena, samaggo hi saṅgho sammodamāno <b>avivadamāno</b> ek'uddeso phāsu viharatī'ti",,,,,,
