pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
apparajakkha,adj,having little dirt in the eye,MN26,pāsarāsisuttaṃ,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā <b>apparaj'akkha</b>jātikā, assavanatā dhammassa parihāyanti. bhavissanti dhammassa aññātāro'ti.",,,,,,,,,
apparajakkhajātika,adj,who has little dirt in the eye,MN26,pāsarāsisuttaṃ,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā <b>apparaj'akkhajātikā</b>, assavanatā dhammassa parihāyanti. bhavissanti dhammassa aññātāro'ti.",,,,,,,,,
abyāpajjhaparamatā,fem,freedom from oppressive pain at the most; relief from suffering at the very least,MN2.4,sabbāsavasuttaṃ,"paṭisaṅkhā yoniso gilānappaccayabhesajjaparikkhāraṃ paṭisevati, yāva'd'eva uppannānaṃ veyyābādhikānaṃ vedanānaṃ paṭighātāya, <b>abyābajjhaparamatāya</b>",,,,,,,,,
abhijjhā,fem,wishing; wanting; covetousness; greed,MN107,gaṇakamoggallānasuttaṃ,"so <b>abhijjhaṃ</b> loke pahāya vigat'ābhijjhena cetasā viharati, abhijjhāya cittaṃ parisodheti.",DN22.1,mahāsatipaṭṭhānasuttaṃ,dhammesu dhamm'ānupassī viharati ātāpī sampajāno satimā vineyya loke <b>abhijjhā</b>domanassaṃ,SN35.95,mālukyaputtasuttaṃ,"tassa vaḍḍhanti vedanā, anekā rūpasambhavā.
<b>abhijjhā</b> ca vihesā ca, cittam'ass'ūpahaññati.
evaṃ ācinato dukkhaṃ, ārā nibbānam'uccati.",,,
abhitthavati,pr,praises; glorifies; celebrates,SN8.11,gaggarāsuttaṃ,yaṃnūn'āhaṃ bhagavantaṃ sammukhā sāruppāya gāthāya <b>abhitthaveyyan</b>'ti.,,,,,,,,,
assa 3.1,opt,may be; could be; should be; would be,DN16.36,mahāparinibbānasuttaṃ,"siyā kho … tumhākaṃ evam'<b>assa</b>, atītasatthukaṃ pāvacanaṃ, n'atthi no satthā'ti.",DN16.21,mahāparinibbānasuttaṃ,"yatha'y'idaṃ brahmacariyaṃ addhaniyaṃ <b>assa</b> ciraṭṭhitikaṃ, tada-<b>assa</b> bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ",MN105,sunakkhattasuttaṃ,"seyyathā'pi, sunakkhatta, puriso sakamhā gāmā vā nigamā vā ciravippavuttho <b>assa</b>.",THI63,kisāgotamītherīgāthā,"kalyāṇamittatā muninā, lokaṃ ādissa vaṇṇitā.
kalyāṇamitte bhajamāno, api bālo paṇḍito <b>assa</b>."
assatha,opt,you all could be; you might be,DN1.1,brahmajālasuttaṃ,"tatra ce tumhe <b>assatha</b> kupitā vā anattamanā vā, tumhaṃ yev'assa tena antarāyo.",MN38,mahātaṇhāsaṅkhayasuttaṃ,"api nu tumhe, bhikkhave, evaṃ jānantā evaṃ passantā etarahi vā paccuppannam'addhānaṃ ajjhattaṃ kathaṃkathī <b>assatha</b>, ahaṃ nu kho'smi, no nu kho'smi, kiṃ nu kho'smi, kathaṃ nu kho'smi, ayaṃ nu kho satto kuto āgato, so kuhiṃgāmī bhavissatī'ti?",,,,,,
assavanatā,fem,fact of not hearing (of),MN26,pāsarāsisuttaṃ,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā apparaj'akkhajātikā, <b>assavanatā</b> dhammassa parihāyanti. bhavissanti dhammassa aññātāro'ti.",,,,,,,,,
assaṃ,opt,I could be; I might be; may I be; I could become,AN5.23,upakkilesasuttaṃ,"so sace ākaṅkhati, anekavihitaṃ iddhividhaṃ paccanubhaveyyaṃ, eko'pi hutvā bahudhā <b>assaṃ</b>, bahudhā'pi hutvā eko assaṃ, āvibhāvaṃ tirobhāvaṃ",AN10.8,jhānasuttaṃ,"saddho ca, bhikkhave, bhikkhu hoti, no ca sīlavā. evaṃ so ten'aṅgena aparipūro hoti. tena taṃ aṅgaṃ paripūretabbaṃ, kin't'āhaṃ saddho ca <b>assaṃ</b>, sīlavā cā'ti!",SN22.80,piṇḍolyasuttaṃ,"so evaṃ pajānāti, n'atthi nu kho taṃ kiñci lokasmiṃ yam'ahaṃ upādiyamāno na vajjavā <b>assaṃ</b>.",,,
assāma,opt,we could be; we may be; we might be; we should be,SN12.25,bhūmijasuttaṃ,"idha no, āvuso sāriputta, bhagavā kiṃvādī kim'akkhāyī, kathaṃ byākaramānā ca mayaṃ vuttavādino c'eva bhagavato <b>assāma</b>, na ca bhagavantaṃ abhūtena abbhācikkheyyāma",MN37,cūḷataṇhāsaṅkhayasuttaṃ,"yathā kathaṃ pana kho, kosiya, bhagavā saṃkhittena taṇhāsaṅkhayavimuttiṃ abhāsi? sādhu mayam'pi etissā kathāya bhāgino <b>assāma</b> savanāyā'ti.",MN10.16,mahāsatipaṭṭhānasuttaṃ,"maraṇadhammānaṃ sattānaṃ evaṃ icchā uppajjati aho vata mayaṃ na maraṇadhammā <b>assāma</b>, na ca vata no maraṇaṃ āgaccheyyā'ti. na kho pan'etaṃ icchāya pattabbaṃ, idam'pi yam'p'icchaṃ na labhati tam'pi dukkhaṃ",,,
assu 3.1,opt,they should be; they may be; they would be; may they be,DHP74,bālavaggo,"mam'eva kata maññantu,
gihīpabbajitā ubho,
mam'ev'ātivasā <b>assu</b>,
kicc'ākiccesu kismici.
iti bālassa saṅkappo,
icchā māno ca vaḍḍhati.",SN35.247,chappāṇakasuttaṃ,"yadā kho te, bhikkhave, chappāṇakā jhattā <b>assu</b> kilantā, atha kho yo nesaṃ pāṇakānaṃ balavataro assa tassa te anuvatteyyuṃ, anuvidhāyeyyuṃ vasaṃ gaccheyyuṃ.",DN10.2,subhasuttaṃ,"te tāvataken'eva attamanā <b>assu</b>, alam'ettāvatā, katam'ettāvatā, anuppatto no sāmaññ'attho, n'atthi no kiñci uttarikaraṇīyan'ti.",SN7.15,mānatthaddhasuttaṃ,"kesu na mānaṃ kayirātha, kesu c'assa sagāravo. ky'assa apacitā <b>assu</b>, kya-<b>assu</b> sādhu supūjitā'ti."
assosuṃ,aor,they heard,MN22,alagaddūpamasuttaṃ,"<b>assosuṃ</b> kho sambahulā bhikkhū, ariṭṭhassa kira nāma bhikkhuno gaddhabādhipubbassa evarūpaṃ pāpakaṃ diṭṭhigataṃ uppannaṃ",DN16.14,mahāparinibbānasuttaṃ,<b>assosuṃ</b> kho pāveyyakā mallā bhagavā kira kusinārāyaṃ parinibbuto'ti,AN3.66,kesamuttisuttaṃ,"<b>assosuṃ</b> kho kesamuttiyā kālāmā, samaṇo khalu, bho, gotamo sakyaputto sakyakulā pabbajito kesamuttaṃ anuppatto.",,,
avaṅkata,adj,not crooked; non-dishonest,SN12.22,dutiyadasabalasutta,evaṃ no ayaṃ amhākaṃ pabbajjā <b>avaṅkatā</b> avañjhā bhavissati saphalā saudrayā.,,,,,,,,,
avañjha,adj,productive; profitable; successful,SN12.22,dutiyadasabalasuttaṃ,evaṃ no ayaṃ amhākaṃ pabbajjā avaṅkatā <b>avañjhā</b> bhavissati saphalā saudrayā.,MN40,cūḷāssapurasuttaṃ,"tesaṃ te kārā amhesu mahapphalā bhavissanti mah'ānisaṃsā, amhākañ'c'ev'āyaṃ pabbajjā <b>avañjhā</b> bhavissati saphalā saudrayā'ti. evañ'hi vo, bhikkhave, sikkhitabbaṃ.",,,,,,
aho vata,idiom,(expressing wish) oh may!; if only!,AN5.162,dutiyaāghātapaṭivinayasuttaṃ,"so tasmiṃ purise kāruññaṃ'y'eva upaṭṭhāpeyya, anuddayaṃ'y'eva upaṭṭhāpeyya, anukampaṃ'y'eva upaṭṭhāpeyya, <b>aho vata</b>-ayaṃ puriso labheyya sappāyāni bhojanāni, labheyya sappāyāni bhesajjāni, labheyya patirūpaṃ upaṭṭhākaṃ, labheyya gām'antanāyakaṃ!",AN10.176,cundasuttaṃ,"idha cunda ekacco anabhijjhālu hoti. yaṃ taṃ parassa paravitt'ūpakaraṇaṃ taṃ anabhijjhitā hoti, <b>aho vata</b> yaṃ parassa taṃ mamassā'ti",MN10.16,mahāsatipaṭṭhānasuttaṃ,"maraṇadhammānaṃ sattānaṃ evaṃ icchā uppajjati <b>aho vata</b> mayaṃ na maraṇadhammā assāma, na ca vata no maraṇaṃ āgaccheyyā'ti. na kho pan'etaṃ icchāya pattabbaṃ, idam'pi yam'p'icchaṃ na labhati tam'pi dukkhaṃ",,,
āgaccheyya,opt,could come; would come along; could approach; would arrive,AN7.23,paṭhamasattakasuttaṃ,"yāvakīvañ'ca bhikkhave bhikkhū paccattaññ'eva satiṃ upaṭṭhāpessanti, kin'ti anāgatā ca pesalā sabrahmacārī <b>āgaccheyyuṃ</b> āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun'ti",MN9,sammādiṭṭhisuttaṃ,"dūrato'pi kho mayaṃ, āvuso, <b>āgaccheyyāma</b> āyasmato sāriputtassa santike etassa bhāsitassa attham'aññātuṃ",MN107,gaṇakamoggallānasuttaṃ,"taṃ kiṃ maññasi, brāhmaṇa, idha puriso <b>āgaccheyya</b> rājagahaṃ gantu'kāmo. so taṃ upasaṅkamitvā evaṃ vadeyya, icchām'ahaṃ, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti.",,,
āgata 3,pp,come (from); arrived (from); returned (from),AN7.23,paṭhamasattakasuttaṃ,"yāvakīvañ'ca bhikkhave bhikkhū paccattaññ'eva satiṃ upaṭṭhāpessanti, kin'ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ <b>āgatā</b> ca pesalā sabrahmacārī phāsuṃ vihareyyun'ti",MN2.2,sabbāsavasuttaṃ,"eta'r'ahi vā paccuppannam'addhānaṃ ajjhattaṃ kathaṃkathī hoti, ahaṃ nu kho'smi? no nu kho'smi? kiṃ nu kho'smi? kathaṃ nu kho'smi? ayaṃ nu kho satto kuto <b>āgato</b>? so kuhiṃ gāmī bhavissatī'ti?",DHP219,piyavaggo,"cirappavāsiṃ purisaṃ,
dūrato sotthim'<b>āgataṃ</b>,
ñātimittā suhajjā ca,
abhinandanti āgataṃ.",,,
āpas,masc,water; liquid,DN16.11,mahāparinibbānasuttaṃ,"kattha <b>āpo</b> ca pathavī,
tejo vāyo na gādhati,
kattha dīghañ'ca rassañ'ca,
aṇuṃ thūlaṃ subh'āsubhaṃ,
kattha nāmañ'ca rūpañ'ca,
asesaṃ uparujjhatī'ti?",MN62,mahārāhulovādasuttaṃ,"yaṃ ajjhattaṃ paccattaṃ <b>āpo</b> āpogataṃ upādinnaṃ … yaṃ vā pan'aññam'pi kiñci ajjhattaṃ paccattaṃ <b>āpo</b> āpogataṃ upādinnaṃ, ayaṃ vuccati, rāhula, ajjhattikā āpodhātu.",UD69,udapānasuttaṃ,"kiṃ kayirā udapānena,
<b>āpā</b> ce sabbadā siyuṃ,
taṇhāya mūlato chetvā,
kissa pariyesanaṃ care'ti.",AN9.11,sīhanādasuttaṃ,"seyyathā'pi <b>āpasmiṃ</b> sucim'pi, asucim'pi, gūtha ca mutta ca kheḷaca pubba ca lohitagatam'pi dhovanti , na ca tena <b>āpo</b> aṭṭīyati vā harāyati vā jigucchati vā"
āsaya 2,masc,home (of); dwelling (of); abode (of),SN1.60,kavisuttaṃ,"chando nidānaṃ gāthānaṃ,
akkharā tāsaṃ viyañjanaṃ,
nāmasannissitā gāthā,
kavi gāthānam'<b>āsayo</b>'ti.",MN25,nivāpasuttaṃ,yaṃnūna mayaṃ amuṃ nivāpaṃ nivuttaṃ nevāpikassa upanissāya <b>āsayaṃ</b> kappeyyāma.,MN25,nivāpasuttaṃ,"yaṃnūna mayaṃ imaṃ nivāpaṃ nivuttaṃ mahatīhi daṇḍavākarāhi samantā sappadesaṃ anuparivāreyyāma, app'eva nāma tatiyānaṃ migajātānaṃ <b>āsayaṃ</b> passeyyāma, yattha te gāhaṃ gaccheyyun'ti.",DHP37,cittavaggo,"dūraṅ'gamaṃ ekacaraṃ, asarīraṃ guha-<b>asayaṃ</b>,
ye cittaṃ saṃyamessanti, mokkhanti mārabandhanā."
idha 2,ind,here; in this regard; in this case,SN45.8,vibhaṅgasuttaṃ,"<b>idha</b>, bhikkhave, bhikkhu kāye kāy'ānupassī viharati",PAT PK,dhammayuttikapubbakiccaṃ,evaṃ utuācikkhanaṃ. utūṃ-<b>idha</b> pana sāsane hem'antagimhavassānānaṃ vasena tīṇi honti.,SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, purakkharāno hoti? <b>idha</b>, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ",AN4.85,tamotamasuttaṃ,"<b>idha</b>, bhikkhave, ekacco puggalo nīce kule paccājāto hoti, caṇḍālakule vā venakule vā nesādakule vā rathakārakule vā pukkusakule vā dalidde app'annapānabhojane kasiravuttike, yattha kasirena ghāsacchādo labbhati."
udapāna,masc,well; (comm) pond; pool,UD69,udapānasuttaṃ,"kiṃ kayirā <b>udapānena</b>,
āpā ce sabbadā siyuṃ,
taṇhāya mūlato chetvā,
kissa pariyesanaṃ care'ti.",SN1.47,vanaropasuttaṃ,"papañ'ca <b>udapānañ</b>'ca,
ye dadanti upassayaṃ,
tesaṃ divā ca ratto ca,
sadā puññaṃ pavaḍḍhati.",,,,,,
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has,AN7.23,paṭhamasattakasuttaṃ,"yāvakīvañ'ca bhikkhave bhikkhū paccattaññ'eva satiṃ <b>upaṭṭhāpessanti</b>, kin'ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyun'ti",MN105,sunakkhattasuttaṃ,"āneñjapaṭisaṃyuttāya ca pana kathāya kacchamānāya na sussūsati, na sotaṃ odahati, na aññā cittaṃ <b>upaṭṭhāpeti</b>, na ca taṃ purisaṃ bhajati, na ca tena vittiṃ āpajjati.",AN10.44,kusinārasuttaṃ,"no ce, bhikkhave, bhikkhuno mettaṃ cittaṃ paccupaṭṭhitaṃ hoti sabrahmacārīsu anāghātaṃ, tassa bhavanti vattāro, iṅgha tāva āyasmā sabrahmacārīsu mettaṃ cittaṃ <b>upaṭṭhāpehī</b>'ti, iti'ssa bhavanti vattāro.",TH257,pārāpariyattheragāthā,"<b>upaṭṭhāpenti</b> parisaṃ, kammato no ca dhammato.
dhammaṃ paresaṃ desenti, lābhato no ca atthato."
upasaṅkamitar 1,masc,visitor; guest,AN8.30,anuruddha mahāvitakkasuttaṃ,"idha, bhikkhave, bhikkhuno pavivittassa viharato bhavanti <b>upasaṅkamitāro</b>",,,,,,,,,
upādiyamāna,prp,grasping; holding (onto); clinging (to); taking possession (of),SN22.63,upādiyamānasuttaṃ,"sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu yam'ahaṃ bhagavato dhammaṃ sutvā eko vūpakaṭṭho appamatto ātāpī pahit'atto vihareyyan'ti. <b>upādiyamāno</b> kho, bhikkhu, baddho mārassa, anupādiyamāno mutto pāpimato'ti.",MN75,māgaṇḍiyasuttaṃ,"ahañ'hi rūpaṃ'y'eva <b>upādiyamāno</b> upādiyiṃ, vedanaṃ'y'eva <b>upādiyamāno</b> upādiyiṃ, saññaṃ'y'eva <b>upādiyamāno</b> upādiyiṃ, saṅkhāreyeva <b>upādiyamāno</b> upādiyiṃ, viññāṇaṃ'y'eva <b>upādiyamāno</b> upādiyiṃ.",SN22.80,piṇḍolyasuttaṃ,"so evaṃ pajānāti, n'atthi nu kho taṃ kiñci lokasmiṃ yam'ahaṃ <b>upādiyamāno</b> na vajjavā assaṃ.",,,
upāsikā,fem,female disciple; laywomen; female devotee,DN16.27,mahāparinibbānasuttaṃ,yo kho bhikkhu vā bhikkhunī vā upāsako vā <b>upāsikā</b> vā dhamm'ānudhammappaṭipanno viharati sāmīcippaṭipanno anudhammacārī so tathāgataṃ sakkaroti garuṃ karoti māneti pūjeti apaciyati paramāya pūjāya.,SN37.34,vaḍḍhīsuttaṃ,"saddhāya sīlena ca yā'dha vaḍḍhati,
paññāya cāgena sutena c'ūbhayaṃ,
sā tādisī sīlavatī <b>upāsikā</b>,
ādīyati sāram'idh'eva attano'ti.",AN8.30,anuruddha mahāvitakkasuttaṃ,idha bhikkhuno pavivittassa viharato bhavanti upasaṅkamitāro bhikkhū bhikkhuniyo upāsakā <b>upāsikāyo</b> rājāno rājamahāmattā titthiyā titthiyasāvakā.,VIN PAT AN 1,paṭhamāniyata sikkhāpada,tam'enaṃ saddheyyavacasā <b>upāsikā</b> disvā tiṇṇaṃ dhammānaṃ aññatarena vadeyya
ulloketi,pr,looks up (at); gazes up (at),AN7.61,pacalāyamānasuttaṃ,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, uṭṭhāy'āsanā udakena akkhīni anumajjitvā disā anuvilokeyyāsi nakkhattāni tārakarūpāni <b>ullokeyyāsi</b>",MN91,brahmāyusuttaṃ,"apalokento kho pana so bhavaṃ gotamo sabbakāyen'eva apaloketi, so na uddhaṃ <b>ulloketi</b>, na adho oloketi, na ca vipekkhamāno gacchati, yugamattañ'ca pekkhati, tato c'assa uttari anāvaṭaṃ ñāṇadassanaṃ bhavati.",,,,,,
ekacca 1,pron,certain; one of,AN3.83,gadrabhasuttaṃ,"evam'evaṃ kho, bhikkhave, idh<b>'ekacco</b> bhikkhu bhikkhusaṅghaṃ piṭṭhito piṭṭhito anubandho hoti, aham'pi bhikkhu, aham'pi bhikkhū'ti.",AN3.101,loṇakapallasuttaṃ,"idha, bhikkhave, <b>ekaccassa</b> puggalassa appamattakam'pi pāpakammaṃ kataṃ tam'enaṃ nirayaṃ upaneti.",SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, purakkharāno hoti? idha, gahapati, <b>ekaccassa</b> evaṃ hoti, evaṃrūpo siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ",VIN PAT SA 13,kuladūsaka sikkhāpada,"tādisikāya āpattiyā <b>ekaccaṃ</b> pabbājenti <b>ekaccaṃ</b> na pabbājentī'ti, so bhikkhu bhikkhūhi evam'assa vacanīyo"
evamassa 1,sandhi,he would (think) thus; this would occur to him,DN16.36,mahāparinibbānasuttaṃ,"siyā kho … tumhākaṃ <b>evam'assa</b>, atītasatthukaṃ pāvacanaṃ, n'atthi no satthā'ti.",MN22,alagaddūpamasuttaṃ,"tassa <b>evam'assa</b>, ayaṃ kho mahāudak'aṇṇavo, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ, n'atthi ca nāvā santāraṇī uttarasetu vā apārā pāraṃ gamanāya.",,,,,,
evaṃrūpa,adj,of such form; like this,SN22.79,khajjanīyasuttaṃ,"<b>evaṃrūpo</b> ahosiṃ atītam'addhānan'ti, iti vā hi, bhikkhave, anussaramāno rūpaṃ'y'eva anussarati",SN22.3,hāliddikānisuttaṃ,"kathañ'ca, gahapati, purakkharāno hoti? idha, gahapati, ekaccassa evaṃ hoti, <b>evaṃrūpo</b> siyaṃ anāgatam'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ",,,,,,
