pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
antaraghara 1,nt,inner village; inhabited area,VIN PAT NP 29,sāsaṅkasikkhāpadaṃ,"upavassaṃ kho pana kattikapuṇṇamaṃ yāni kho pana tāni āraññakāni sen'āsanāni sāsaṅkasammatāni sappaṭibhayāni, tathārūpesu bhikkhu sen'āsanāni viharanto ākaṅkhamāno tiṇṇaṃ cīvarānaṃ aññataraṃ cīvaraṃ <b>antaraghare</b> nikkhipeyya",UD10,bāhiyasuttaṃ,"kahaṃ nu kho, bhante, eta'r'ahi bhagavā viharati arahaṃ sammāsambuddho? dassanakām'amhā mayaṃ taṃ bhagavantaṃ arahantaṃ sammāsambuddhan'ti. <b>antaragharaṃ</b> paviṭṭho kho, bāhiya, bhagavā piṇḍāyā'ti.",VIN PAT SE 18,bāhuppacālaka sikkhāpada,na bāhuppacālakaṃ <b>antaraghare</b> nisīdissāmī'ti sikkhā karaṇīyā.,VIN PAT PD 1,paṭhamapāṭidesanīya sikkhāpada,"yo pana bhikkhu aññātikāya bhikkhuniyā, <b>antaragharaṃ</b> paviṭṭhāya, hatthato khādanīyaṃ vā bhojanīyaṃ vā sahatthā paṭiggahetvā khādeyya vā bhuñjeyya vā"
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing (of),AN8.79,parihānasuttaṃ,ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.,AN4.5,anusotasuttaṃ,"yo ve kilesāni pahāya pañca,
paripuṇṇasekho <b>aparihāna</b>dhammo,
cetovasippatto samāhit'indriyo,
sa ve ṭhit'atto'ti naro pavuccati.",SN35.96,parihānadhammasuttaṃ,"veditabbam'etaṃ, bhikkhave, bhikkhunā, na parihāyāmi kusalehi dhammehi. <b>aparihānañ</b>'h'etaṃ vuttaṃ bhagavatā'ti",,,
appavārita,pp,uninvited; not asked; unoffered,VIN PAT NP 27,mahāpesakārasikkhāpadaṃ,"bhikkhuṃ pan'eva uddissa aññātako gahapati vā gahapatānī vā tantavāyehi cīvaraṃ vāyāpeyya, tatra ce so bhikkhu pubbe <b>appavārito</b> tantavāye upasaṅkamitvā cīvare vikappaṃ āpajjeyya",VIN PAT NP 8,paṭhamaupakkhaṭasikkhāpadaṃ,"tatra ce so bhikkhu pubbe <b>appavārito</b> upasaṅkamitvā cīvare vikappaṃ āpajjeyya, sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādehī'ti",,,,,,
abhibhū 1,masc,conqueror; victor; vanquisher; master (of),DHP418,brāhmaṇavaggo,"hitvā ratiñ'ca aratiñ'ca,
sītibhūtaṃ nirūpadhiṃ,
sabbaloka-<b>abhibhuṃ</b> vīraṃ,
tam'ahaṃ brūmi brāhmaṇaṃ.",SNP52,"tuvaṭakasuttaṃ
aṭṭhakavaggo 14","<b>abhibhū</b> hi so anabhibhūto,
sakkhidhammam'anītiham'adassī,
tasmā hi tassa bhagavato sāsane,
appamatto sadā namassam'anusikkhe'ti.",DHP353,taṇhāvaggo,"sabba-<b>abhibhū</b> sabbavidū'ham'asmi, sabbesu dhammesu anūpalitto,
sabbañ'jaho taṇhakkhaye vimutto, sayaṃ abhiññāya kam'uddiseyyaṃ.",AN5.57,abhiṇhapaccavekkhitabbaṭhānasuttaṃ,"so'haṃ evaṃ viharanto, ñatvā dhammaṃ nirūpadhiṃ.
ārogye yobbanasmiñ'ca, jīvitasmiñ'ca ye madā.
sabbe made <b>abhibho</b>'smi, nekkhammaṃ daṭṭhu khemato"
araññagata 1,adj,gone to the forest; gone to the woods,MN118,ānāpānassatisuttaṃ,"idha, bhikkhave, bhikkhu <b>araññagato</b> vā rukkhamūlagato vā suññ'āgāragato vā nisīdati pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā",SN35.247,chappāṇakopamasuttaṃ,"evam'eva kho, bhikkhave, idh'ekacco bhikkhu gāmagato vā <b>araññagato</b> vā labhati vattāraṃ, ayañ'ca so evaṃkārī evaṃsamācāro asucigāmakaṇṭako'ti.",,,,,,
assutavant,adj,unlearned; untaught; uninitiated; untrained,SN22.1,nakulapitusuttaṃ,"idha, gahapati, <b>assutavā</b> puthujjano ariyānaṃ adassāvī ariyadhammassa akovido ariyadhamme avinīto sappurisānaṃ adassāvī sappurisadhammassa akovido sappurisadhamme avinīto rūpaṃ attato samanupassati",MN2.2,sabbāsavasuttaṃ,"diṭṭhisaṃyojanasaṃyutto, bhikkhave, <b>assutavā</b> puthujjano na parimuccati jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi, na parimuccati dukkhasmā'ti vadāmi",,,,,,
avacuttha,aor,you all said (something) (to),VIN1.2.12,dubbaca sikkhāpadaṃ,mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā,VIN PAT SA 11,bhedānuvattakasikkhāpadaṃ,"te evaṃ vadeyyuṃ m'āyasmanto etaṃ bhikkhuṃ kiñci <b>avacuttha</b>, dhammavādī c'eso bhikkhu, vinayavādī c'eso bhikkhu, amhākañ'c'eso bhikkhu chandañ'ca ruciñ'ca ādāya voharati",,,,,,
avasissati,pr,remains; is left over,SN12.22,dutiyadasabalasuttaṃ,"kāmaṃ taco ca nahāru ca aṭṭhi ca <b>avasissatu</b>, sarīre upasussatu maṃsalohitaṃ",MN140,dhātuvibhaṅgasuttaṃ,"ath'āparaṃ viññāṇaṃ'y'eva <b>avasissati</b> parisuddhaṃ pariyodātaṃ. tena ca viññāṇena kiṃ vijānāti? sukhan'ti'pi vijānāti, dukkhan'ti'pi vijānāti, adukkham'asukhan'ti'pi vijānāti.",AN3.102,paṃsudhovakasuttaṃ,tasmiṃ pahīne tasmiṃ byantīkate ath'āparaṃ dhammavitakka-<b>avasissati</b>. so hoti samādhi na c'eva santo na ca paṇīto nappaṭippassaddhaladdho na ekodibhāv'ādhigato sasaṅkhāraniggayhavāritagato hoti.,,,
āgantar 2,masc,returner (to); who comes back (to),AN4.171,cetanāsuttaṃ,"ko nu kho, bhante, hetu ko paccayo, yena m'idh'ekacce sattā tamhā kāyā cutā āgāmino honti <b>āgantāro</b> itthattaṃ?",,,,,,,,,
āgāmī 1,adj,who returns; who comes back,AN4.171,cetanāsuttaṃ,"ko nu kho, bhante, hetu ko paccayo, yena m'idh'ekacce sattā tamhā kāyā cutā <b>āgāmino</b> honti āgantāro itthattaṃ?",,,,,,,,,
ātappa,nt,effort; exertion,MN131,bhaddekarattasuttaṃ,"ajj'eva kiccam'<b>ātappaṃ</b>, ko jaññā maraṇaṃ suve. na hi no saṅgaran'tena, mahāsenena maccunā.",SNP60,"dhotaka māṇava pucchā
pārāyanavaggo 5","tenah'<b>ātappaṃ</b> karohi,
idh'eva nipako sato,
ito sutvāna nigghosaṃ,
sikkhe nibbānam'attano.",DHP276,maggavaggo,"tumhehi kiccam'<b>ātappaṃ</b>,
akkhātāro tathāgatā,
paṭipannā pamokkhanti,
jhāyino mārabandhanā.",,,
āpajjati 5,pr,causes; effects,VIN PAT NP 8,paṭhamaupakkhaṭasikkhāpadaṃ,"tatra ce so bhikkhu pubbe appavārito upasaṅkamitvā cīvare vikappaṃ <b>āpajjeyya</b>, sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādehī'ti",,,,,,,,,
āyasmant 1,masc,sir; venerable; reverend,PAT PK,dhammayuttikapubbakiccaṃ,karomi <b>āyasmato</b> okāsaṃ,DN9.6,poṭṭhapādasuttaṃ,"ty'āhaṃ upasaṅkamitvā evaṃ vadāmi, saccaṃ kira tumhe <b>āyasmanto</b> evaṃvādino evaṃdiṭṭhino, ek'antasukhī attā hoti arogo paraṃ maraṇā'ti?",SN35.247,chappāṇakasuttaṃ,"evam'eva kho, bhikkhave, idh'ekacco bhikkhu gāmagato vā araññagato vā labhati vattāraṃ, ayañ'ca kho <b>āyasmā</b> evaṃkārī evaṃsamācāro asucigāmakaṇṭako'ti.",DN16.17,mahāparinibbānasuttaṃ,"atha kho <b>āyasmato</b> ānandassa etadahosi, acchariyaṃ vata bho, abbhutaṃ vata bho, mahā vatāyaṃ bhūmicālo."
iti,ind,thus; like this; this is; and so,DN13.8,tevijjasuttaṃ,<b>iti</b> uddham'adho tiriyaṃ sabbadhi sabb'attatāya sabbāvantaṃ lokaṃ mettāsahagatena cetasā vipulena mahaggatena appamāṇena averena abyāpajjhena pharitvā viharati,MN30,cūḷasāropamasuttaṃ,"<b>iti</b> kho, bhikkhave, na'y'idaṃ brahmacariyaṃ lābhasakkārasilok'ānisaṃsaṃ na sīlasampad'ānisaṃsaṃ na samādhisampad'ānisaṃsaṃ na ñāṇadassan'ānisaṃsaṃ",SN22.78,sīhasuttaṃ,"<b>iti</b> viññāṇaṃ, <b>iti</b> viññāṇassa samudayo, <b>iti</b> viññāṇassa atthaṅ'gamo'ti.",,,
itthatta 1,nt,present state of existence; earthly existence; such an existence,MN39,mahāassapurasuttaṃ,khīṇā jāti vusitaṃ brahmacariyaṃ kataṃ karaṇīyaṃ n'āparaṃ <b>itthattāyā</b>'ti pajānāti,SNP58,"puṇṇaka māṇava pucchā
pārāyanavaggo 3","ye kec'ime isayo manujā,
khattiyā brāhmaṇā devatānaṃ,
yaññam'akappayiṃsu puthū'dha loke,
āsīsamānā puṇṇaka <b>itthattaṃ</b>,
jaraṃ sitā yaññam'akappayiṃsu.",AN4.171,cetanāsuttaṃ,"ko nu kho, bhante, hetu ko paccayo, yena m'idh'ekacce sattā tamhā kāyā cutā āgāmino honti āgantāro <b>itthattaṃ</b>?",,,
uttarichappañcavācā,fem,more than five or six sentences; more than five or six lines,VIN PAT PC 7,dhammadesanāsikkhāpadaṃ,"yo pana bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseyya aññatra viññunā purisaviggahena, pācittiyaṃ.",,,,,,,,,
upaṭṭhāna 1,nt,attending (to); waiting on; serving,SNP16,"maṅgalasuttaṃ
cūḷavaggo 4","mātāpitu <b>upaṭṭhānaṃ</b>, puttadārassa saṅgaho.
anākulā ca kamm'antā, etam'maṅgalam'uttamaṃ.",SN47.1,ambapālisuttaṃ,"ek'āyano ayaṃ, bhikkhave, maggo sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya dukkhadomanassānaṃ atthaṅ'gamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yad'idaṃ, cattāro sati-<b>upaṭṭhānā</b>'ti.",API17,mahāpajāpatigotamītherīapadānaṃ,"evaṃ vilapamānaṃ taṃ,
ānandaṃ āha gotamī,
sutasāgaragambhīra,
buddha-<b>upaṭṭhāna</b>tappara.",,,
upasussati,pr,dries up; withers; shrivels,SN12.22,dutiyadasabalasutta,"kāmaṃ taco ca nahāru ca aṭṭhi ca avasissatu, sarīre <b>upasussatu</b> maṃsalohitaṃ, yaṃ taṃ purisathāmena purisavīriyena purisaparakkamena pattabbaṃ na taṃ apāpuṇitvā vīriyassa saṇṭhānaṃ bhavissatī'ti.",,,,,,,,,
upassaya 1,masc,dwelling; shelter; home; residence,SN1.47,vanaropasuttaṃ,"papañ'ca udapānañ'ca, ye dadanti <b>upassayaṃ</b>.
tesaṃ divā ca ratto ca, sadā puññaṃ pavaḍḍhati.
dhammaṭṭhā sīlasampannā, te janā saggagāmino'ti.",VIN PAT PC 23,bhikkhunupassaya sikkhāpada,"yo pana bhikkhu bhikkhunī-<b>upassayaṃ</b> upasaṅkamitvā bhikkhuniyo ovadeyya, aññatra samayā, pācittiyaṃ.",,,,,,
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding,SN45.8,vibhaṅgasuttaṃ,<b>upekkhako</b> ca viharati sato ca sampajāno,SN45.8,vibhaṅgasuttaṃ,"pītiyā ca virāgā <b>upekkhako</b> ca viharati, sato ca sampajāno, sukhañ'ca kāyena paṭisaṃvedeti, yaṃ taṃ ariyā ācikkhanti, upekkhako satimā sukhavihārī'ti tatiyaṃ jhānaṃ upasampajja viharati.",SNP51,"mahābyūhasuttaṃ
aṭṭhakavaggo 13","vissajja ganthāni mun'īdha loke,
vivādajātesu na vaggasārī,
santo asantesu <b>upekkhako</b> so,
anuggaho uggahaṇanti m'aññe.",,,
ekavihārī,adj,hermetic; who lives alone,SN21.10,theranāmakasuttaṃ,"sabb'ābhibhuṃ sabbaviduṃ sumedhaṃ,
sabbesu dhammesu anūpalittaṃ,
sabbañ'jahaṃ taṇhākkhaye vimuttaṃ,
tam'ahaṃ naraṃ <b>ekavihārī</b>'ti brūmī'ti.",SN21.10,theranāmakasuttaṃ,tena kho pana samayena aññataro bhikkhu theranāmako <b>ekavihārī</b> c'eva hoti ekavihārassa ca vaṇṇavādī.,,,,,,
etad,pron,this,AN8.53,saṃkhittasuttaṃ,ekam'antaṃ ṭhitā kho sā mahāpajāpatī gotamī bhagavantaṃ <b>etad</b>avoca,AN10.29,paṭhamakosalasuttaṃ,<b>etad</b>aggaṃ paramadiṭṭhadhammanibbānaṃ paññapentānaṃ yadidaṃ channaṃ phass'āyatanānaṃ samudayañ'ca atthaṅ'gamañ'ca assādañ'ca,SNP65,"kappa māṇava pucchā
pārāyanavaggo 10","<b>etad</b>'aññāya ye satā,
diṭṭhadhamm'ābhinibbutā,
na te māravas'ānugā,
na te mārassa paddhagū'ti.",,,
etadavoca,aor,said this (to),SN22.59,anattalakkhaṇasuttaṃ,"tatra kho bhagavā pañcavaggiye bhikkhū āmantesi, bhikkhavo'ti. bhadante'ti te bhikkhū bhagavato paccassosuṃ. bhagavā <b>etadavoca</b>.",AN8.53,saṃkhittasuttaṃ,ekam'antaṃ ṭhitā kho sā mahāpajāpatī gotamī bhagavantaṃ <b>etadavoca</b>,AN6.61,majjhesuttaṃ,"evaṃ vutte aññataro bhikkhu there bhikkhū <b>etadavoca</b>, phasso kho, āvuso, eko anto, phassasamudayo dutiyo anto, phassanirodho majjhe, taṇhā sibbinī.",SN35.245,kiṃsukopamasuttaṃ,"idh'āhaṃ, bhante, yen'aññataro bhikkhu ten'upasaṅkamiṃ, upasaṅkamitvā taṃ bhikkhuṃ <b>etadavocaṃ</b>, kittāvatā nu kho, āvuso, bhikkhuno dassanaṃ suvisuddhaṃ hotī'ti?"
etadahosi,sandhi,this (thought) occurred (to),SN21.1,kolitasuttaṃ,"tassa mayhaṃ āvuso, <b>etadahosi</b>, idha bhikkhu vitakkavicārānaṃ vūpasamā ajjhattaṃ sampasādanaṃ cetaso ekodibhāvaṃ avitakkaṃ avicāraṃ samādhijaṃ pītisukhaṃ dutiyaṃ jhānaṃ upasampajja viharati.",SN46.53,aggisuttaṃ,"atha kho tesaṃ bhikkhūnaṃ <b>etadahosi</b>, atippago kho tāva sāvatthiyaṃ piṇḍāya carituṃ. yaṃnūna mayaṃ yena aññatitthiyānaṃ paribbājakānaṃ ārāmo ten'upasaṅkameyyāmā'ti.",DN16.17,mahāparinibbānasuttaṃ,"atha kho āyasmato ānandassa <b>etadahosi</b>, acchariyaṃ vata bho, abbhutaṃ vata bho, mahā vatāyaṃ bhūmicālo.",MN19,dvedhāvitakkasuttaṃ,"pubb'eva me, bhikkhave, sambodhā anabhisambuddhassa bodhisattass'eva sato <b>etadahosi</b>"
esa,pron,this; he; it,SN12.41,pañcaverabhayasuttaṃ,"yadidaṃ cattāri purisayugāni aṭṭha purisapuggalā <b>esa</b> bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo añjalikaraṇīyo anuttaraṃ puññakkhettaṃ lokassa",DHP5,yamakavaggo,"na hi verena verāni,
sammant'īdha kudācanaṃ,
averena ca sammanti,
<b>esa</b> dhammo sanantano.",SN22.95,pheṇapiṇḍūpamasuttaṃ,"etādis'āyaṃ santāno, māy'āyaṃ bālalāpinī,
vadhako <b>esa</b> akkhāto, sāro ettha na vijjati.",,,
ehi tvaṃ,idiom,come you! come on!,MN107,gaṇakamoggallānasuttaṃ,"<b>ehi tvaṃ</b>, bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū'ti",,,,,,,,,
kata 1,pp,done; did; completed,MN39,mahāassapurasuttaṃ,"khīṇā jāti, vusitaṃ brahmacariyaṃ, <b>kataṃ</b> karaṇīyaṃ, n'āparaṃ itthattāyā'ti pajānātī'ti.",MN19,dvedhāvitakkasuttaṃ,"bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, <b>kataṃ</b> vo taṃ mayā.",UD73,tatiyanibbāna paṭisaṃyuttasuttaṃ,no c'etaṃ abhavissa ajātaṃ abhūtaṃ akataṃ asaṅkhataṃ na'y'idha jātassa bhūtassa <b>katassa</b> saṅkhatassa nissaraṇaṃ paññāyetha.,MN107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto <b>kata</b>karaṇīyā ohitabhārā anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
karaṇīya 2,ptp,should be done; must be done; ought to be made; to be observed,MN19,dvedhāvitakkasuttaṃ,"bhikkhave, satthārā <b>karaṇīyaṃ</b> sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.",SNP8,mettasuttaṃ,"<b>karaṇīyam</b>'atthakusalena yaṃ taṃ santaṃ padaṃ abhisamecca,
sakko ujū ca sūjū ca, suvaco c'assa mudu, anatimānī.",AN10.51,sacittasuttaṃ,"tena, bhikkhave, bhikkhunā tesaṃ'y'eva pāpakānaṃ akusalānaṃ dhammānaṃ pahānāya adhimatto chando ca vāyāmo ca ussāho ca ussoḷhī ca appaṭivānī ca sati ca sampajaññañ'ca <b>karaṇīyaṃ</b>.",MN107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto kata<b>karaṇīyā</b> ohitabhārā anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely,AN10.48,pabbajitābhiṇhasuttaṃ,"kammassakomhi kammadāy'ādo kammayoni kammabandhu kammapaṭisaraṇo, yaṃ kammaṃ karissāmi <b>kalyāṇaṃ</b> vā pāpakaṃ vā tassa dāy'ādo bhavissāmī'ti pabbajitena abhiṇhaṃ paccavekkhitabbaṃ",SN55.7,veḷudvāreyyasuttaṃ,"so dhammaṃ deseti ādi<b>kalyāṇaṃ</b> majjhe<b>kalyāṇaṃ</b> pariyosāna<b>kalyāṇaṃ</b> sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.",VIN PAT SA 12,dubbaca sikkhāpada,"mā maṃ āyasmanto kiñci avacuttha <b>kalyāṇaṃ</b> vā pāpakaṃ vā, ahaṃ'p'āyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā",AN3.27,jigucchitabbasuttaṃ,"kiñ'cā'pi, bhikkhave, evarūpassa puggalassa na diṭṭh'ānugatiṃ āpajjati, atha kho naṃ <b>kalyāṇo</b> kittisaddo abbhuggacchati, <b>kalyāṇa</b>mitto purisapuggalo <b>kalyāṇa</b>sahāyo <b>kalyāṇa</b>sampavaṅko'ti."
