pali,pos,meaning,source_1,sutta_1,example_1,source_2,sutta_2,example_2,source_3,sutta_3,example_3,source_4,sutta_4,example_4
anuvattaka 3,masc,follower; partisan; who sides (with),VIN PAT SA 11,bhedānuvattakasikkhāpadaṃ,tass'eva kho pana bhikkhussa bhikkhū honti <b>anuvattakā</b> vaggavādakā eko vā dve vā tayo vā,,,,,,,,,
anekavassagaṇika,adj,many years old; accumulated for many years,AN9.15,gaṇḍasuttaṃ,"seyyathā'pi, bhikkhave, gaṇḍo <b>anekavassagaṇiko</b>. tass'assu gaṇḍassa nava vaṇamukhāni nava abhedanamukhāni. tato yaṃ kiñci pagghareyya, asuci'y'eva pagghareyya, duggandhaṃ'y'eva pagghareyya, jegucchiyaṃ'y'eva pagghareyya.",,,,,,,,,
anekavihita,adj,various; different kinds of; many different,AN8.2,paññāsuttaṃ,"tassa te āyasmanto avivaṭañ'c'eva vivaranti, anuttānīkatañ'ca uttānī karonti, <b>anekavihitesu</b> ca kaṅkhāṭhāniyesu dhammesu kaṅkhaṃ paṭivinodenti.",MN4,bhayabheravasuttaṃ,"so <b>anekavihitaṃ</b> pubbenivāsaṃ anussarāmi, seyyath'idaṃ, ekam'pi jātiṃ dve'pi jātiyo tisso'pi jātiyo catasso'pi jātiyo pañca'pi jātiyo dasa'pi jātiyo vīsam'pi jātiyo tiṃsam'pi jātiyo",,,,,,
apāya 1,masc,state of loss; state of misery,SNP13,"ratanasuttaṃ
cūḷavaggo 1","catūha-<b>apāyehi</b> ca vippamutto,
cha cābhiṭhānāni abhabbo kātuṃ",SN12.41,pañcaverabhayasuttaṃ,"so ākaṅkhamāno attanā'va attānaṃ byākareyya, khīṇanirayo'mhi khīṇatiracchānayoni khīṇapettivisayo khīṇa-<b>apāya</b>duggativinipāto, sot'āpanno'ham'asmi avinipātadhammo niyato sambodhiparāyano'ti.",AN7.64,kodhanasuttaṃ,"puna caparaṃ, bhikkhave, sapatto sapattassa evaṃ icchati, aho vat'āyaṃ kāyassa bhedā paraṃ maraṇā <b>apāyaṃ</b> duggatiṃ vinipātaṃ nirayaṃ upapajjeyyā'ti! taṃ kissa hetu?",,,
api nu,idiom,is?; did?; are?; who?; what?; how?; would?,THI71,subhājīvakambavanikātherīgāthā,"āsādiya edisaṃ janaṃ,
aggiṃ pajjalitaṃ va liṅgiya,
gaṇhiya āsīvisaṃ viya,
<b>api nu</b> sotthi siyā khamehi no.",AN3.101,loṇakapallasuttaṃ,"seyyathā'pi, bhikkhave, puriso loṇaphalaṃ paritte udakamallake pakkhipeyya. taṃ kiṃ maññatha, bhikkhave, <b>api nu</b> taṃ parittaṃ udakaṃ amunā loṇaphalena loṇaṃ assa apeyyan'ti? evaṃ, bhante.",SN12.63,puttamaṃsūpamasuttaṃ,taṃ kiṃ maññatha <b>api nu</b> so puriso divasaṃ tīhi sattisatehi haññamāno tatonidānaṃ dukkhaṃ domanassaṃ paṭisaṃvediyethā'ti?,SN22.33,natumhākaṃsuttaṃ,"<b>api nu</b> tumhākaṃ evam'assa, amhe jano harati vā ḍahati vā yathāpaccayaṃ vā karotī'ti? no hetaṃ, bhante. taṃ kissa hetu? na hi no etaṃ, bhante, attā vā attaniyaṃ vā'ti."
api 1.1,ind,just; only,SNP8,mettasuttaṃ,"mātā yathā niyaṃ puttaṃ,
āyusā ekaputtam'anurakkhe,
evam'<b>pi</b> sabbabhūtesu,
mānasaṃ bhāvaye aparimāṇaṃ.",TH259,sāriputtattheragāthā,"bahussuto ca medhāvī,
sīlesu susamāhito,
cetosamatham'anuyutto,
<b>api</b> muddhani tiṭṭhatu.",,,,,,
abbhuta 1,adj,marvellous; extraordinary; unbelievable; astonishing; epithet of Nibbāna,TH248,adhimuttattheragāthā,"tassa taṃ vacanaṃ sutvā,
<b>abbhutaṃ</b> lomahaṃsanaṃ,
satthāni nikkhipitvāna,
māṇavā etadabravuṃ.",SN43.14-43,"asaṅkhatasaṃyuttaṃ, anāsavādisuttaṃ","taṃ suṇātha. katamañ'ca, bhikkhave, <b>abbhutaṃ</b> … anītikañca vo, bhikkhave, desessāmi anītikagāmiñ'ca maggaṃ. taṃ suṇātha.",UD45,uposathasuttaṃ,"ayaṃ, bhikkhave, imasmiṃ dhammavinaye chaṭṭho acchariyo <b>abbhuto</b> dhammo, yaṃ disvā disvā bhikkhū imasmiṃ dhammavinaye abhiramanti.",MN22,alagaddūpamasuttaṃ,"idha ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, <b>abbhuta</b>dhammaṃ, vedallaṃ."
abhaṇi,aor,spoke; recited,UD46,soṇasuttaṃ,"evaṃ, bhante'ti kho āyasmā soṇo bhagavato paṭissutvā soḷasa aṭṭhakavaggikāni sabbān'eva sarena <b>abhaṇi</b>.",,,,,,,,,
abhabba 1,ptp,unable (to); impossible (to); incapable (of); unlikely (to),SNP13,"ratanasuttaṃ
cūḷavaggo 1","catūh'apāyehi ca vippamutto,
cha cābhiṭhānāni <b>abhabbo</b> kātuṃ",VIN1.1.1,"paṭhamapārājikaṃ, santhatabhāṇavāro","pārājiko hotī'ti seyyathā'pi nāma puriso sīsacchinno <b>abhabbo</b> tena sarīrabandhanena jīvituṃ, evam'eva bhikkhu methunaṃ dhammaṃ paṭisevitvā assamaṇo hoti asakyaputtiyo.",DHP32,appamādavaggo,"appamādarato bhikkhu,
pamāde bhayadassi vā,
<b>abhabbo</b> parihānāya,
nibbānass'eva santike.",SN22.24,abhijānasuttaṃ,"sāvatthinidānaṃ. rūpaṃ, bhikkhave, anabhijānaṃ aparijānaṃ avirājayaṃ appajahaṃ <b>abhabbo</b> dukkhakkhayāya"
abhiṭhāna,nt,deadly sin; heinous crime; great wrong,SNP13,"ratanasuttaṃ,
cūḷavaggo 1","catūh'apāyehi ca vippamutto,
cha ca-<b>abhiṭhānāni </b>abhabba kātuṃ,
idam'pi saṅghe ratanaṃ paṇītaṃ,
etena saccena suvatthi hotu.",,,,,,,,,
abhedanamukha,nt,natural orifice,AN9.15,gaṇḍasuttaṃ,"seyyathā'pi, bhikkhave, gaṇḍo anekavassagaṇiko. tass'assu gaṇḍassa nava vaṇamukhāni nava <b>abhedanamukhāni</b>. tato yaṃ kiñci pagghareyya, asuci'y'eva pagghareyya, duggandhaṃ'y'eva pagghareyya, jegucchiyaṃ'y'eva pagghareyya.",,,,,,,,,
arahant,masc,awakened being; fourth stage of the path,Thai,,ciraparinibbutam'pi taṃ bhagavantaṃ uddissa <b>arahantaṃ</b> sammāsambuddhaṃ,SNP4,"kasibhāradvājasuttaṃ
uragavaggo 4",aññataro ca kho pan'āyasmā bhāradvājo <b>arahataṃ</b> ahosī'ti.,AN1.277,"aṭṭhānapāḷi, paṭhamavaggo","aṭṭhānam'etaṃ, bhikkhave, anavakāso yaṃ ekissā lokadhātuyā dve <b>arahanto</b> sammāsambuddhā apubbaṃ acarimaṃ uppajjeyyuṃ",SN11.15,rāmaṇeyyakasuttaṃ,"gāme vā yadi v'āraññe, ninne vā yadi vā thale.
yattha <b>arahanto</b> viharanti, taṃ bhūmirāmaṇeyyakan'ti."
assaratana,nt,horse treasure; one of the seven treasures of a universal ruler,MN91,brahmāyusuttaṃ,"tass'imāni satta ratanāni bhavanti, seyyath'idaṃ, cakkaratanaṃ, hatthiratanaṃ, <b>assaratanaṃ</b>, maṇiratanaṃ, itthiratanaṃ, gahapatiratanaṃ, pariṇāyakaratanam'eva sattamaṃ.",,,,,,,,,
ākāra 1.2,masc,aspect; facet; detail; property; quality; attribute,SN56.11,dhammacakkappavattanasuttaṃ,"yāvakīvañ'ca me, bhikkhave, imesu catūsu ariyasaccesu evaṃ tiparivaṭṭaṃ dvādasa-<b>ākāraṃ</b> yathābhūtaṃ ñāṇadassanaṃ na suvisuddhaṃ ahosi,",AN8.49,paṭhamaidhalokikasuttaṃ,"soḷasa-<b>ākāra</b>sampannā,
aṭṭh'aṅgasusamāgatā,
tādisī sīlavatī upāsikā,
upapajjati devalokaṃ manāpan'ti.",DN15.1,"mahānidānasuttaṃ, paṭiccasamuppādo","yehi, ānanda, <b>ākārehi</b> yehi liṅgehi yehi nimittehi yehi uddesehi nāmakāyassa paññatti hoti, tesu <b>ākāresu</b> tesu liṅgesu tesu nimittesu tesu uddesesu asati api nu kho rūpakāye adhivacanasamphasso paññāyethā'ti? no h'etaṃ, bhante.",,,
ādiyati 1,pr,takes; grasps; embraces,SNP13,"ratanasuttaṃ
cūḷavaggo 1","ye ariyasaccāni vibhāvayanti, gambhīrapaññena sudesitāni.
kiñ'cā'pi te honti bhusappamattā, na te bhavaṃ aṭṭhamam'<b>ādiyanti</b>.",SNP41,"duṭṭhaṭṭhakasuttaṃ
aṭṭhakavaggo 3","diṭṭhīnivesā na hi svātivattā,
dhammesu niccheyya samuggahītaṃ,
tasmā naro tesu nivesanesu,
nirassatī <b>ādiyatī</b> ca dhammaṃ.",SN37.34,vaḍḍhīsuttaṃ,"saddhāya sīlena ca yā'dha vaḍḍhati,
paññāya cāgena sutena c'ūbhayaṃ,
sā tādisī sīlavatī upāsikā,
<b>ādīyati</b> sāram'idh'eva attano'ti.",,,
āvikaroti 2,pr,(vinaya) discloses; divulges; openly reveals; confesses,SNP5,"cundasuttaṃ
uragavaggo 5","caturo samaṇā na pañcam'atthi,
te te <b>āvikaromi</b> sakkhipuṭṭho,
maggajino maggadesako ca,
magge jīvati yo ca maggadūsī.",VIN PAT NID,nidānuddeso,"yassa siyā āpatti, so <b>āvikareyya</b>, asantiyā āpattiyā tuṇhī bhavitabbaṃ, tuṇhībhāvena kho pan'āyasmante parisuddhā'ti vedissāmi.",,,,,,
itthiratana,nt,woman treasure; consort of a universal ruler; one of the seven treasures of a universal ruler,MN91,brahmāyusuttaṃ,"tass'imāni satta ratanāni bhavanti, seyyath'idaṃ, cakkaratanaṃ, hatthiratanaṃ, assaratanaṃ, maṇiratanaṃ, <b>itthiratanaṃ</b>, gahapatiratanaṃ, pariṇāyakaratanam'eva sattamaṃ.",,,,,,,,,
ima 1.1,pron,this,SN56.11,dhammacakkappavattanasuttaṃ,"yāvakīvañ'ca me, bhikkhave, <b>imesu</b> catūsu ariyasaccesu evaṃ tiparivaṭṭaṃ dvādas'ākāraṃ yathābhūtaṃ ñāṇadassanaṃ na suvisuddhaṃ ahosi,",SNP23,"rāhulasuttaṃ
cūḷavaggo 11",itthaṃ sudaṃ bhagavā āyasmantaṃ rāhulaṃ <b>imāhi</b> gāthāhi abhiṇhaṃ ovadatī'ti,MN39,mahāassapurasuttaṃ,so <b>imam</b>'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti,,,
imehi 1,pron,by these; with these,Thai,,<b>imehi</b> sakkārehi yath'ārahaṃ āropitehi abhipūjayāma,MN55,jīvakasuttaṃ,"tīhi kho ahaṃ, jīvaka, ṭhānehi maṃsaṃ aparibhogan'ti vadāmi. diṭṭhaṃ, sutaṃ, parisaṅkitaṃ, <b>imehi</b> kho ahaṃ, jīvaka, tīhi ṭhānehi maṃsaṃ aparibhogan'ti vadāmi.",AN10.8,jhānasuttaṃ,"<b>imehi</b> kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu samantapāsādiko ca hoti sabb'ākāraparipūro cā'ti.",,,
upādāya 2,ind,derived (from); dependent (on); based (on),VIBH6.1,paṭiccasamuppādavibhaṅgo,"tattha katamaṃ viññāṇapaccayā nāmarūpaṃ? atthi nāmaṃ, atthi rūpaṃ. tattha katamaṃ nāmaṃ? vedanā, saññā, cetanā, phasso, manasikāro, idaṃ vuccati nāmaṃ. tattha katamaṃ rūpaṃ? cattāro mahābhūtā, catunnañ'ca mahābhūtānaṃ <b>upādāya</b> rūpaṃ.",SN1.70,lokasuttaṃ,"chasu loko samuppanno,
chasu kubbati santhavaṃ,
channam'eva <b>upādāya</b>,
chasu loko vihaññatī'ti.",,,,,,
eka 1,card,one (1),SNP16,"maṅgalasuttaṃ
cūḷavaggo 4","evaṃ me sutaṃ, <b>ekaṃ</b> samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme.",DHP102,sahassavaggo,"yo ca gāthā sataṃ bhāse,
anatthapadasaṃhitā,
<b>ekaṃ</b> dhammapadaṃ seyyo,
yaṃ sutvā upasammati.",UD45,uposathasuttaṃ,"seyyathā'pi, bhikkhave, mahāsamuddo <b>eka</b>raso loṇaraso, evam'eva kho, bhikkhave, ayaṃ dhammavinayo <b>eka</b>raso vimuttiraso",VIN PAT SA 11,bhedānuvattaka sikkhāpada,"tass'eva kho pana bhikkhussa bhikkhū honti, anuvattakā vaggavādakā, <b>eko</b> vā dve vā tayo vā, te evaṃ vadeyyuṃ"
ekarasa,adj,having one taste; with a single flavour,UD45,uposathasuttaṃ,"seyyathā'pi mahāsamuddo <b>ekaraso</b> loṇaraso, evam'eva kho ayaṃ dhammavinayo <b>ekaraso</b> vimuttiraso.",,,,,,,,,
eke,adj,some; some people,TH198,rājadattattheragāthā,"yañ'hi <b>eke</b> jigucchanti,
mataṃ disvāna pāpakaṃ,
kāmarāgo pāturahu,
andho'va savatī ahuṃ.",SNP50,"cūḷabyūhasuttaṃ
aṭṭhakavaggo 12","yam'āhu saccaṃ tathiyan'ti <b>eke</b>,
tam'āhu aññe tucchaṃ musā'ti,
evam'pi vigayha vivādayanti,
kasmā na ekaṃ samaṇā vadanti.",DN9.6,poṭṭhapādasuttaṃ,"evam'eva kho, poṭṭhapāda, ye te samaṇabrāhmaṇā evaṃvādino evaṃdiṭṭhino, <b>ek</b>'antasukhī attā hoti arogo paraṃ maraṇā'ti.",TH257,pārāpariyattheragāthā,"n'ānuyuttā tathā <b>eke</b>, muṇḍā saṅghāṭipārutā.
sambhāvanaṃ'y'ev'icchanti, lābhasakkāramucchitā."
evaṃ 2,ind,yes!; that is right!; correct!,SN12.63,puttamaṃsūpamasuttaṃ,"nanu te, bhikkhave, yāva'd'eva kantārassa nittharaṇ'atthāya āhāraṃ āhāreyyun'ti? <b>evaṃ</b>, bhante",SN46.53,aggisuttaṃ,"bhabbo nu kho so puriso parittaṃ aggiṃ ujjālitun'ti? <b>evaṃ</b>, bhante.",UD46,soṇasuttaṃ,"<b>evaṃ</b>, bhante'ti kho āyasmā soṇo bhagavato paṭissutvā soḷasa aṭṭhakavaggikāni sabbān'eva sarena abhaṇi.",MN54.1,potaliyasuttaṃ,"tena hi, gahapati, suṇāhi, sādhukaṃ manasi karohi, bhāsissāmī'ti. <b>evaṃ</b>, bhante'ti"
evaṃdiṭṭhī,adj,of such view; who holds the theory that; of the opinion that; who thinks that,DN9.6,poṭṭhapādasuttaṃ,"evam'eva kho, poṭṭhapāda, ye te samaṇabrāhmaṇā evaṃvādino <b>evaṃdiṭṭhino</b>, ek'antasukhī attā hoti arogo paraṃ maraṇā'ti.",AN4.183,sutasuttaṃ,"ahañ'hi, bho gotama, evaṃvādī <b>evaṃdiṭṭhī</b>, yo koci diṭṭhaṃ bhāsati, evaṃ me diṭṭhan'ti, n'atthi tato doso",AN4.184,abhayasuttaṃ,"evaṃvādī <b>evaṃdiṭṭhi</b>, n'atthi yo maraṇadhammo samāno na bhāyati, na santāsaṃ āpajjati maraṇassā'ti.",,,
evaṃvādī,adj,of such view; who hold the view that; having a theory that,SN46.53,aggisuttaṃ,"<b>evaṃvādino</b>, bhikkhave, aññatitthiyā paribbājakā evam'assu vacanīyā, yasmiṃ, āvuso, samaye līnaṃ cittaṃ hoti, katamesaṃ tasmiṃ samaye bojjh'aṅgānaṃ akālo bhāvanāya, katamesaṃ tasmiṃ samaye bojjh'aṅgānaṃ kālo bhāvanāya?",DN9.6,poṭṭhapādasuttaṃ,"evam'eva kho, poṭṭhapāda, ye te samaṇabrāhmaṇā <b>evaṃvādino</b> evaṃdiṭṭhino, ek'antasukhī attā hoti arogo paraṃ maraṇā'ti.",,,,,,
oḷārika 2,adj,(of food) solid; heavy; substantial,SN12.64,atthirāgasuttaṃ,"cattāro'me, bhikkhave, āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav'esīnaṃ vā anuggahāya. katame cattāro? kabaḷīkāro āhāro <b>oḷāriko</b> vā sukhumo vā, phasso dutiyo, manosañcetanā tatiyā, viññāṇaṃ catutthaṃ.",MN36,mahāsaccakasuttaṃ,"tassa mayhaṃ, aggivessana, etadahosi, na kho taṃ sukaraṃ sukhaṃ adhigantuṃ evaṃ adhimattakasimānaṃ pattakāyena, yaṃnūn'āhaṃ <b>oḷārikaṃ</b> āhāraṃ āhāreyyaṃ odanakummāsan'ti.",,,,,,
kabaḷīkāra,adj,(of food) material; physical; edible,SN12.64,atthirāgasuttaṃ,"<b>kabaḷīkāre</b> ce, bhikkhave, āhāre atthi rāgo atthi nandī atthi taṇhā, patiṭṭhitaṃ tattha viññāṇaṃ virūḷhaṃ. yattha patiṭṭhitaṃ viññāṇaṃ virūḷhaṃ, atthi tattha nāmarūpassa avakkanti.",SN12.12,moḷiyaphaggunasuttaṃ,"katame cattāro? <b>kabaḷīkāro</b> āhāro, oḷāriko vā sukhumo vā, phasso dutiyo, manosañcetanā tatiyā, viññāṇaṃ catutthaṃ.",,,,,,
kiñcāpi,sandhi,however much; even if; even though; although,SNP13,"ratanasuttaṃ
cūḷavaggo 1","ye ariyasaccāni vibhāvayanti, gambhīrapaññena sudesitāni.
<b>kiñ'cā'pi</b> te honti bhusappamattā, na te bhavaṃ aṭṭhamam'ādiyanti.",TH257,pārāpariyattheragāthā,"saritvā pubbake yogī, tesaṃ vattam'anussaraṃ.
<b>kiñ'cā'pi</b> pacchimo kālo, phuseyya amataṃ padaṃ.",SN35.95,mālukyaputtasuttaṃ,"<b>kiñ'cā'pi</b>-ahaṃ, bhante, jiṇṇo vuddho mahallako addhagato vayoanuppatto, desetu me, bhante, bhagavā saṃkhittena dhammaṃ, desetu sugato saṃkhittena dhammaṃ, app'eva nām'āhaṃ bhagavato bhāsitassa atthaṃ ājāneyyaṃ.",AN3.27,jigucchitabbasuttaṃ,"seyyathā'pi, bhikkhave, ahi gūthagato <b>kiñ'cā'pi</b> na daṃsati, atha kho naṃ makkheti."
kukkuṭī,fem,hen; chicken,SN22.101,vāsijaṭasuttaṃ,"kiñ'cā'pi tassā <b>kukkuṭiyā</b> evaṃ icchā uppajjeyya, aho, vata me kukkuṭapotakā pādanakhasikhāya vā mukhatuṇḍakena vā aṇḍakosaṃ padāletvā sotthinā abhinibbhijjeyyun'ti",AN8.11,verañjasuttaṃ,seyyathā'pi brāhmaṇa <b>kukkuṭiyā</b> aṇḍāni aṭṭha vā dasa vā dvādasa vā,,,,,,
gaṇḍa 1,masc,boil; abscess,AN9.15,gaṇḍasuttaṃ,"<b>gaṇḍo</b>'ti kho, bhikkhave, imass'etaṃ cātumahābhūtikassa kāyassa adhivacanaṃ mātāpettikasambhavassa odanakummās'ūpacayassa anicc'ucchādana-parimaddana-bhedana-viddhaṃsanadhammassa.",MN64,mahāmālukyasuttaṃ,so yadeva tattha hoti rūpagataṃ vedanāgataṃ saññāgataṃ saṅkhāragataṃ viññāṇagataṃ te dhamme aniccato dukkhato rogato <b>gaṇḍato</b> sallato aghato ābādhato parato palokato suññato anattato samanupassati,AN9.15,gaṇḍasuttaṃ,"seyyathā'pi, bhikkhave, <b>gaṇḍo</b> anekavassagaṇiko. tass'assu <b>gaṇḍassa</b> nava vaṇamukhāni nava abhedanamukhāni.",SN35.248,yavakalāpisuttaṃ,"maññitaṃ, bhikkhave, rogo, maññitaṃ <b>gaṇḍo</b>, maññitaṃ sallaṃ. tasmā't'iha, bhikkhave, amaññamānena cetasā viharissāmā'ti"
