akkosati | ā + kus + a: abuses; reviles; scolds. 
akkosana | neut.: abuse. 
akkosi | aor. of akkosati: abused; reviled; scolded. 
akkositvā | abs. of akkosati: having abused; having reviled; having scolded. 
akkha | neut.: sense organ. (m.), axle; dice; beleric myrobalan; a measurement equal to 20 grains. (akkha in the cpds. such as visālakkha, sahasakkha is from the stem akkhi = eye). 
akkhaka | neut.: collar-bone. 
akkhaṇa | masc.: inappropriate time. 
akkhaṇavedhī | masc.: an archer who shoots as quickly as lightning or shoots only to graze the object. 
akkhaṇā | fem.: a lightning. 
akkhata | adj.: unhurt; not wounded; faultless. 
akkhadassa | masc.: a judge; an umpire. 
akkhadhutta | adj.: addicted to gambling. (m.), gambler. 
akkhaya | adj.: changeless; eternal; decayless. (nt.), the eternal peace. 
akkhara | neut.: a letter; a syllable. 
akkharaphalaka | masc.: a board or slate to write on. 
akkharasamaya | masc.: the science of writing and reading. 
akkhāta | pp. of akkhāti: announced; told; declared. 
akkhāti | ā + khā + a: announces; tells; declares. 
akkhātar | masc.: one who relates or preaches. 
akkhāyī | masc.: one who relates or preaches. 
akkhāsi | aor. of akkhāti: announced; told; declared. 
akkhi | neut.: eye. 
akkhikūpa | masc.: socket of the eye. 
akkhitārā | fem.: pupil of the eye. 
akkhitta | adj.: not despised or thrown away. 
akkhidala | neut.: eyelid. 
akkhobha | adj.: imperturbable. 
akkhobhinī | fem.: 1. a number consisting of 42 ciphers; 2. an army of 109, 350 soldiers, 65, 610 horses, 21870 elephants and 21, 870 war chariots. 
akkhohinī | fem.: a high numeral with 43 cyphers. 
akhetta | neut.: unsuitable place. 
agati | fem.: 1. wrong course; 2. prejudice. 
agada | neut.: medicine, drug. 
agaru | adj.: not heavy; not troublesome. (m.), aloe wood. 
agalu | masc.: aloe wood. 
agādha | adj.: 1. very deep; 2. supportless. 
agāra | neut.: house; a dwelling place. 
agāraka | neut.: a small house; a cottage. 
agārika | adj. & masc.: lay man; householder. 
agāriya | adj. & masc.: lay man; householder. 
agga | adj.: the highest; the top-most. (m.), the end; the top. 
aggañña | adj.: known as the highest or foremost. 
aggatā | fem.: pre-eminence. 
aggatta | neut.: pre-eminence. 
aggaphala | neut.: 1. the first harvest of a cultivation; 2. supreme fruit of arahantship. 
aggamagga | masc.: the highest path of salvation. 
aggamahesī | fem.: the queen-consort. 
aggala | neut.: bolt; latch. 
aggavādī | masc.: the greastest teacher. 
aggi | masc.: fire. 
aggikkhandha | masc.: a great mass of fire. 
aggiparicaraṇa | neut.: fire-worship. 
aggisālā | fem.: a heated room. 
aggisikhā | fem.: flame. 
aggihutta | neut.: fire-sacrifice. 
aggha | masc.: price; value. (nt.), obligation made to a guest. 
agghaka | adj.: (in cpds:), having the value of. 
agghakāraka | masc.: valuator; appraiser. 
agghati | aggh + a: is worth; deserves. 
agghanaka | adj.: (in cpds:), having the value of. 
agghāpana | neut.: setting a price; valuation. 
agghāpanaka | masc.: valuator. 
agghāpaniya | neut.: that which is to be valued. 
agghi | aor. of agghati: deserved. 
agghika | neut.: a post decorated with festoons. 
agghiya | neut.: a post decorated with festoons; an abligation made to a guest. 
agghīyati | v.: is esteemed. 
agha | neut.: 1. the sky; 2. grief; pain; 3. sin; misfortune. 
aṅka | masc.: 1. the lap; 2. a mark; sign; 3. a numerical figure. 
aṅkita | pp. of aṅketi: marked out; branded. 
aṅkura | masc.: a shoot; sprout; bud. 
aṅkusa | masc.: a pole with a hook used for plucking fruits or to guide an elephant. 
aṅketi | aki + e: marks out; brands; puts a number on. 
aṅketvā | abs. of aṅketi: having marked out; having branded. 
aṅkesi | aor. of aṅketi: marked out; branded. 
aṅkhubhana | neut.: stirring; agitation. 
aṅga | neut.: 1. a constituent part; 2. a limb; 3. quality. 
aṅgajāta | neut.: the male or female organ. 
aṅgaṇa | neut.: 1. an open space; a court yard; 2. impurity of mind. 
aṅgada | adj. & neut.: bracelet for arm. 
aṅganā | fem.: woman. 
aṅgapaccaṅga | neut.: major and minor limbs. 
aṅgarakapalla | masc.: pan for holding cinders. 
aṅgarakāsu | fem.: a pit full of cinders. 
aṅgarakkhaka | masc.: bodyguard. 
aṅgarāga | masc.: a cosmetic to anoint the body with. 
aṅgavijjā | fem.: palmistry and other prognostications from the marks on the body. 
aṅgāra | masc. & neut.: charcoal; embers. 
aṅgārakaṭāha | masc.: pan for holding cinders. 
aṅgāramaṁsa | neut.: meat roasted on cinders. 
aṅgika | adj.: (in cpds:), consisting of so many parts; e.g. duvaṅgika = consisting of two parts. 
aṅgīrasa | masc.: the resplendent one; the Buddha. 
aṅguṭṭha | masc.: thumb; the great toe. 
aṅgula | neut.: an inch; a finger-breadth. (adj.), (in cpds:) measuring so many inches. 
aṅguli | fem.: finger; toe. 
aṅgulipabba | neut.: finger-joint. 
aṅgulimuddā | fem.: signet ring; finger-ring. 
aṅgulīyaka | neut.: finger-ring. 
aṅguleyyaka | neut.: finger-ring. 
acapala | adj.: steadfast. 
acala | adj.: not moving; unshakeable. 
acalasaddhā | fem.: unshakable faith. 
acava | adj.: low. (Only in the combination uccāvaca). 
acira | adj.: recent; new. 
aciraṁ | adverb: recently; not long ago; before long. 
acirapakkanta | adj.: recently departed. 
acirappabhā | fem.: lightning. 
acetana | adj.: senseless; inorganic. 
acela | adj.: void of cloth; naked. 
acelaka | masc.: naked ascetic. 
accagamā | aor.: overcame. 
accagā | pret. of ati + gam: he surpassed, overcame. 
accanā | fem.: 1. oblation; 2. respect; honour. 
accanta | adj.: perpetual; absolute. 
accantaṁ | adverb: perpetually; extremely; exceedingly. 
accaya | masc.: 1. fault; 2. lapse; 3. passing away. (accayena = after the lapse of). 
accayena | adverb: by the elapse of. (+gen) 
accasarā | aor.: gave offence. 
accādhāya | abs.: having placed one (leg) upon the other in a slightly changed position. 
accāyika | adj.: urgent. 
accāsanna | adj.: very near. 
acci | fem.: flame. 
accita | pp. of acceti: honoured, esteemed. 
accimant | adj.: having flames; brilliant. (m.), fire. 
accuggata | adj.: very high. 
accuṇha | adj.: very hot. (m.), great heat. 
accuta | adj.: everlasting; not passing away. (nt.), eternal peace. 
accussanna | adj.: much abundant. 
acceti | acc + e: honours; respects. 
accesi | aor. of acceti: passes time; gets over; respected. 
accogāḷha | adj.: plunged into a great depth. 
accodaka | neut.: too much water. 
accha | adj.: clear; pure. (m.), a bear. 
acchati | ās + a &gt; sa &gt; ccha: (ās + a; ā is shortened and sa changed to ccha), sits; remains; waits. 
acchambhī | adj.: fearless; not frightened. 
accharā | fem.: 1. a nymph; 2. snapping of fingers; a short moment. 
accharāsaṇghāta | masc.: snapping of fingers. 
accharāsadda | masc.: sound of clapping hands. 
acchariya | neut.: a marvel; wonder. (adj.), wonderful; marvellous. 
acchādana | neut.: clothing. 
acchādanā | fem.: concealment. 
acchādita | pp. of acchādeti: clothed; covered with. 
acchādeti | ā + chad + e: clothes; covers with. 
acchādesi | aor. of acchādeti: clothed; covered with. 
acchi | aor. of acchati: sat; remained. 
acchijja | abs. of acchindati: robbed; plundered; took by force; broke off. 
acchindati | ā + chid + ṁ-a: 1. robs; plunders; takes by force; 2. breaks off. 
acchindi | aor. of acchindati: robbed; plundered; took by force; broke off. 
acchindīyati | v.: is plundered. 
acchinna | aor. of acchindati: robbed; plundered; took by force; broke off. 
acchecchi | aor. of chindati: broke away; cut out; destroyed. 
acchejja | adj.: unbreakable; indestructible. 
acchera | neut.: a marvel; wonder. (adj.), wonderful; marvellous. 
aja | masc.: goat. 
ajagara | masc.: boa constrictor. 
ajañña | adj.: impure; unclean. 
ajaddhuka |: abstinebce. 
ajaddhumārikā | fem.: starvation. 
ajapāla | masc.: goatherd. 
ajalaṇḍikā | fem.: goats' dung. 
ajā | fem.: she-goat. 
ajātasattu | masc.: a born enemy; name of a king. 
ajānana | neut.: ignorance. 
ajānanta | pr.p.: not knowing; ignorant of. 
ajānamāna | pr.p.: not knowing; ignorant of. 
ajānitvā | abs.: not knowing; being unaware of. 
ajāniya | abs.: not knowing; being unaware of. 
ajina | masc.: a cheetah, i.e. a long limbed beast of cat family with tawny fur and black spots. The Sinhalese term “andum diviyā” shows that it is a kind of leopard. nt. its hide. 
ajinakkhipa | masc.: a cloak made of cheetah's hide. 
ajinapattā | fem.: a bat. 
ajinappaveṇī | fem.: a bed-sheet made of cheetah's hide. 
ajinayoni | fem.: a kind of antelope. 
ajinasāṭi | fem.: a garment made of skin. 
ajini | aor. of jināti: conquered. 
ajimha | adj.: straight; not crooked. 
ajira | neut.: court-yard. 
ajī | fem.: she-goat. 
ajīraka | neut.: indigestion. 
ajeyya | adj.: invincible. 
ajja | ind.: today. 
ajjatagge | adverb: henceforth; from this day forth. 
ajjatana | adj.: modern; referring to today. 
ajjava | masc. & neut.: uprightness; straightness. 
ajjācāra | masc.: 1. transgression; wrong behaviour; 2. sexual intercourse. 
ajjita | adj.: earned; hoarded; collected. 
ajjuṇho | ind.: this day; this night. 
ajjuna | masc.: 1. the tree Pentapatera Arjuna; 2. name of a prince. 
ajjupekkhi | aor. of ajjhupekkhati: neglected. 
ajjhagamā | aor.: attained; understood. 
ajjhagā | pret. of adhigacchati: came to; obtained; experienced. 
ajjhatta | adj.: personal; connected with the self. 
ajjhattaṁ | adverb: inwardly. 
ajjhattika | adj.: personal; inward. 
ajjhappatta | adj.: having fallen upon or approached unexpectedly. 
ajjhabhāsati | adhi + ā + bhās + a: addresses; speaks. 
ajjhabhāsi | aor. of ajjhabhāsati: addressed; spoke 
ajjhayana | neut.: study; learning. 
ajjhācarati | adhi + ā + car + a: transgresses; conducts against the rules. 
ajjhācari | aor. of ajjhācarati: transgressed; conducted against the rules. 
ajjhāciṇṇa | pp. of ajjhācarati: 1. much practised; 2. habitually done. 
ajjhāpana | neut.: teaching; instruction. 
ajjhāpanna | pp. of ajjhāpajjati: become guilty of an offence. 
ajjhāya | masc.: chapter. 
ajjhāyaka | masc.: an instructor; teacher. 
ajjhāruhati | adhi + ā + ruh + a: rises up; climbs over. 
ajjhāruhi | aor. of ajjhāruhati: rose up; climbed over. 
ajjhārūḷha | pp. of ajjhāruhati: risen up; climbed over. 
ajjhāvara | masc.: a candidate. 
ajjhāvasati | adhi + ā + vas + a: inhabits; dwells; settles down. 
ajjhāvasi | aor. of ajjhāvasati: inhabited; dwelt; settled down. 
ajjhāvasitvā | abs. of ajjhāvasati: having inhabited; having dwelt; having settled down. 
ajjhāvuttha | pp. of ajjhāvasati: inhabited; occupied. 
ajjhāsaya | masc.: intention; disposition. 
ajjhāsayatā | fem.: (in cpds:) the fact of having the intention of. 
ajjhiṭṭha | pp. of ajjhesati: requested; invited. 
ajjhupagacchati | adhi + upa + gam + a: arrives; reaches; consents. 
ajjhupagata | pp. of ajjhupagacchati: arrived; reached; consented. 
ajjhupagamana | neut.: 1. arrival; 2. agreement; consent. 
ajjhupāhari | aor.: ate or swallowed. 
ajjhupekkhati | adhi + upa + ikkh + a: is indifferent; neglects. 
ajjhupekkhana | neut.: indifference; negligence. 
ajjhupekkhanā | fem.: indifference; negligence. 
ajjhupekkhi | aor. of ajjhupekkhati: was indifferent; neglected. 
ajjhupeta | pp. of ajjhupeti: come near; approached. 
ajjhupeti | adhi + upa + i + a: comes near; approaches. 
ajjhupesi | aor. of ajjhupeti: came near; approached. 
ajjhesati | adhi + isu + a: requests; invites. 
ajjhesanā | fem.: request; invitation. 
ajjhesayi | aor. of ajjhesati: requested; inivited. 
ajjhesita | pp. of ajjhesati: requested; inivited. 
ajjhokāsa | masc.: the open air. 
ajjhokirati | adhi + ava + kir + a: scatters over. 
ajjhogāḷha | pp. of ajjhogāhati: plunged into; entered; immersed. 
ajjhogāhati | adhi + ava + gāh + a: plunges into; enters; immerses. 
ajjhogāhi | aor. of ajjhogāhati: plunged into; entered; immersed. 
ajjhotthaṭa | pp. of ajjhottharati: spread over; submerged with. 
ajjhottharati | adhi + ava + thar + a: submerges; overpowers. 
ajjhotthari | aor. of ajjhottharati: submerged; overpowered. 
ajjhothari | aor. of ajjhottharati: submerged; overpowered. 
ajjhosāna | neut.: attachment. 
ajjhohaṭa | pp. of ajjhoharati: swallowed. 
ajjhoharaṇa | neut.: swallowing; eating. 
ajjhoharaṇīya | adj.: fit to be swallowed or eaten. 
ajjhoharati | adhi + ava + har + a: swallows. 
ajjhohari | aor. of ajjhoharati: swallowed. 
ajjhohāra | masc.: swallowing. 
ajjhohāreti | v.: instills. 
ajjhohita | pp.: crammed in (the mouth). 
añjati | añju + a: anoints; applies collyrium. 
añjana | neut.: collyrium (for the eyes). 
añjanavaṇṇa | adj.: of the colour of collyrium, i.e. black. 
añjanāḷi | fem.: a tube for collyrium; toilet box. 
añjanī | fem.: a collyrium box or a brush to apply collyrium with. 
añjali | fem.: lifting of the folded hands as a token of reverence. 
añjalikamma | neut.: the act of salutation. 
añjalikaraṇīya | adj.: worthy of being honoured. 
añjalipuṭa | masc.: folded fingers, in order to retain something in. 
añjasa | neut.: path; road. 
añji | aor. of añjati: anointed. 
añjita | pp. of añjeti: anointed with. 
añjeti | añju + e: anoints with; applies collyrium. 
añjesi | aor. of añjeti: anointed with; applied collyrium. 
añña | adj.: other; another; else. 
aññatama | adj.: one out of many; unknown. 
aññatara | adj.: certain; not well-known. 
aññatitthiya | masc.: an adherent of another faith. 
aññattha | adverb: elsewhere; somewhere else. 
aññatra | adverb: elsewhere; somewhere else. 
aññathatta | neut.: alteration; change of mind. 
aññathā | adverb: otherwise; in a different way. 
aññadatthu | ind.: 1. surely; 2. at any rate; 3. on the other hand. 
aññadā | adverb: on another day; at another time. 
aññamañña | adj.: mutual. 
aññamaññaṁ | adverb: one another; each other; mutually. 
aññavihita | adj.: being occupied with something else; distracted. 
aññā | fem.: perfect knowledge; arahantship. 
aññāṇa | neut.: ignorance. 
aññāta | adj.: 1. (ā + ñāta:), known; understood; 2. (na + ñāta:) unknown; not recognised. 
aññātaka | adj.: 1. not related by blood; 2. unknown; 3. not recognisable. 
aññātakavesa | masc.: disguise. 
aññātāvī | masc.: one who knows or has insight. 
aññātar | masc.: one who knows or has insight. 
aññātukāma | adj.: desirous to know. 
aññāya | abs.: having understood. 
aññoñña | adj.: mutual. 
aṭaṭa | masc.: 1. name of a minor hell; 2. a high numeral. 
aṭana | neut.: roaming about. 
aṭani | fem.: frame of a bed. 
aṭavi | fem.: forest. 
aṭavimukha | neut.: outskirts of a forest. 
aṭavisaṅkhobha | masc.: an agitation among wild tribes. 
aṭisevanta | pr.p. of paṭisevati: following; pursueing; practising; indulging in; using a medicine, etc. 
aṭṭa | neut.: 1. lawsuit; 2. watch tower; 3. a scaffold for workers. (adj.) (from aṭṭita:) grieved; afflicted. 
aṭṭaka | masc.: a high platform or scaffold for watchers workers. 
aṭṭakāra | masc.: a litigant. 
aṭṭassara | masc.: cry of distress. 
aṭṭāna | neut.: a post incised with squares and used as a rubber by bathing people. 
aṭṭita | pp. of ardayati: distressed; grieved; afflicted with. 
aṭṭīyati | aṭṭ + ī + ya: is in trouble; is worried. 
aṭṭīyana | neut.: dislike; disgust: loathing. 
aṭṭīyanā | fem.: dislike; disgust: loathing. 
aṭṭīyi | aor. of aṭṭīyati: was in trouble; was worried. 
aṭṭha | adj.: eight. 
aṭṭhaṁsa | adj.: octagonal. 
aṭṭhaka | neut.: a group of eight. 
aṭṭhakathā | fem.: a commentary; explanation of meaning. 
aṭṭhaṅgika | adj.: having eight constituents. 
aṭṭhapada | neut.: a chessboard. 
aṭṭhama | adj.: the eighth. 
aṭṭhamaka | adj.: the eighth. 
aṭṭhamī | fem.: the eighth day of the lunar month. 
aṭṭhāna | neut.: 1. a wrong place or position; 2. an impossibility. 
aṭṭhārasa | adj.: eighteen. 
aṭṭhāsi | aor. of tiṭṭhati: stood; stayed. 
aṭṭhi | neut.: 1. bone; 2. a hard seed. 
aṭṭhikaṅkala | masc.: the skeleton. 
aṭṭhikalyāṇa | neut.: beauty of teeth. 
aṭṭhita | adj.: not steadfast. 
aṭṭhimaya | adj.: made of bone. 
aṭṭhimiñjā | fem.: marrow of the bone. 
aṭṭhisaṅkalikā | fem.: the skeleton. 
aṭṭhisaṅghāṭa | masc.: the skeleton. 
aṭṭhīkatvā | abs.: having much attention; being interested. 
aḍḍha | adj.: 1. opulent; wealthy. (m.) a half. 
aḍḍhatā | fem.: opulence. 
aḍḍhatiya | adj.: consisting of two and a half. 
aḍḍhateyya | adj.: consisting of two and a half. 
aḍḍhadaṇḍaka | neut.: one half of a stick which is split into two; a short stick. 
aḍḍhamāsa | masc.: a fortnight. 
aḍḍhayoga | masc.: a kind of house which has a roof in the shape of an eagle's wing. 
aḍḍharatta | neut.: midnight. 
aḍḍhuḍḍha | masc.: three and a half. 
aḍḍhullikhita | adj.: half-combed. 
aṇāpaka | masc.: one who commands or issues orders. 
aṇu | masc.: a very small particle; an atom. (adj.), minute; subtle; atomic. 
aṇumatta | adj.: of very small size; tiny. 
aṇusahagata | adj.: having a residium. 
aṇḍa | neut.: 1. an egg; 2. the testicles. 
aṇḍaka | neut.: 1. an egg; 2. the testicles. 
aṇḍaja | adj.: oviparous; born of an egg. (m.), a bird; a serpent. 
aṇḍūpaka | neut.: 1. a coil; 2. a pad for keeping something on. 
aṇṇa | masc.: water. 
aṇṇava | masc.: ocean. 
aṇha | masc.: day; only in cpds. such as pubbaṇha. 
ataccha | adj.: false. (nt.), falsehood. 
atandita | adj.: not lazy; active. 
atandī | adj.: not lazy; active. 
atappiya | adj.: not satiable. 
ataramāna | pr.p. of: being unhurried. 
ati | prefix: a prefix giving the meanings: up to, over, gone beyond, excess, etc. 
atikaṭuka | adj.: very severe. 
atikaḍḍhati | ati + kaḍḍh + a: pulls too hard; troubles. 
atikaḍḍhi | aor. of atikaḍḍhati: pulled too hard; troubled. 
atikara | adj.: over-acting. 
atikkanta | pp. of atikkamati: went beyond; passed over; overcame; surpassed. 
atikkama | masc.: going over; passing beyond; transgression. 
atikkamati | ati + kam + a: goes beyond; passes over; overcomes; surpasses. 
atikkami | aor. of atikkamati: went beyond; passed over; overcame; surpassed. 
atikhiṇa | adj.: blunt. 
atikhippaṁ | adverb: too soon. 
atikhīṇa | adj.: 1. much exhausted; much wasted; 2. shot from (a bow). 
atiga | adj.: (=atigata, pp. of atigacchati), gone over; surmounted. 
atigacchati | ati + gam + a: overcomes; surpasses; surmounts. 
atigacchi | aor. of atigacchati: overcame; surpassed; surmounted. 
atigata | pp. of atigacchati: gone over; surmounted. 
atigāḷha | adj.: intensive; very tight. 
atighora | adj.: terrible; very fierce. 
aticarati | ati + car + a: transgresses; commits adultery. 
aticari | aor. of aticarati: transgressed; commited adultery. 
aticariyā | fem.: 1. transgression; 2. adultery. 
aticārini | fem.: an adulteress. 
aticārī | masc.: 1. transgressor; 2. adulterer. 
aticca | abs.: having passed beyond; having overcome. 
atichatta | neut.: an extraordinary sunshade. 
atitta | adj.: unsatisfied. 
atittarūpa | adj.: not being satisfied. 
atittha | neut.: an unsuitable place, way or manner. 
atithi | masc.: a guest; stranger. 
atidāruṇa | adj.: horrible; very cruel. 
atidivā | ind.: late in the day. 
atidisati | ati + dis +a: points out; explains. 
atidūra | neut.: a great distance. (adj.), too far; very distant. 
atideva | masc.: a super god. 
atidhamati | ati + dham + a: beats a drum too often or too loud. 
atidhami | aor. of atidhamati: beat a drum too often or too loud. 
atidhāvati | ati + dhāv + a: runs fast; passes over the limits. 
atidhāvi | aor. of atidhāvati: ran fast; passed over the limits. 
atidhonacārī | adj.: one who indulges too much in food, clothes, etc. 
atināmeti | ati + nam + e: passes time. 
atināmesi | aor. of atināmeti: passed time. 
atipaṇḍita | adj.: too clever. 
atipapañca | masc.: much delay. 
atipassati | ati + dis + a: sees clearly. 
atipassi | aor. of atipassati: saw clearly. 
atipāta | masc.: slaying; killing. 
atipātī | masc.: slayer; destroyer. 
atipāteti | ati + pat +e: destroys; kills. 
atipātesi | aor. of atipāteti: destroyed; killed. 
atippageva | ind.: very early. 
atippago | ind.: very early. 
atibahala | adj.: very thick. 
atibāḷhaṁ | adverb: too much. 
atibāheti | ati + vah + e: drives away; pulls out. 
atibāhesi | aor. of atibāheti: drove away; pulled out. 
atibrahma | masc.: a superior brahma. 
atibhaginī | fem.: much beloved sister. 
atibhavi | aor. of atibhoti: exceled; overcame. 
atibhāra | masc.: too heavy a load. 
atibhāriya | adj.: too heavy; very serious. 
atibhoti | ati + bhū + a: excels; overcomes. 
atimaññati | ati + man + ya: despises. 
atimaññanā | fem.: arrogance; contempt. 
atimaññi | aor. of atimaññati: despised. 
atimatta | adj.: too much. 
atimanāpa | adj.: very lovely; much beloved. 
atimahanta | adj.: immense; enormous. 
atimāna | masc.: pride; arrogance. 
atimānī | masc.: one who is proud. 
atimukhara | adj.: very talkative. 
atimuttaka | masc.: name of a monk; the plant Guertnera Racemosa. 
atiyācanā | fem.: begging too much. 
atiyāti | ati + yā + a: overcomes; excels. 
atiyāyi | aor. of atiyāti: overcame; exceled. 
atiriccati | ati + ric + ya: to be left over; remains. 
atiricci | aor. of atiriccati: remained. 
atiritta | pp. of atiriccati: left over; remaining. 
atiriva | ind.: excessively; very much. 
atireka | adj.: surplus; extra; exceeding. 
atirekaṁ | adverb: excessively; very much. 
atirekataraṁ | adverb: excessively; very much. 
atirekatā | fem.: excessiveness 
atirocati | ati + ruc + a: outshines; surpasses in splendour. 
atiroci | aor. of atirocati: outshined; urpassed in splendour. 
atiluddha | adj.: very miserly; stringent. 
ativatesi | aor. of ativatteti: overcame. 
ativatta | adj.: surpassed; overcome. 
ativattati | ati + vat + a: passes over; goes beyond. 
ativattana | neut.: over-coming. 
ativatteti | ati + vat + e: overcomes. 
ativassati | ati + vass + a: rains down on or into. 
ativassi | aor. of ativassati: rained down on or into. 
ativākya | neut.: abuse; reproach. 
ativāhaka | adj.: one who carries a burden; a guide. 
ativijjhati | ati + vidh + ya: sees through. 
ativijjhi | aor. of ativijjhati: saw through. 
ativiya | ind.: very much. 
ativuṭṭha | pp. of ativassati: rained down on or into. 
ativuṭṭhi | fem.: excess of rain. 
ativelaṁ | adverb: a protracted time. 
atisaya | masc.: abundance. 
atisayena | adverb: exceedingly. 
atisarati | ati + sar + a: goes beyond the limits; transgresses. 
atisari | aor. of atisarati: went beyond the limits; transgressed. 
atisāyaṁ | adverb: late in the evening. 
atisāra | masc.: 1. overstepping; 2. dysentery. 
atisuṇa | masc.: rabid dog. 
atisundara | adj.: excellent. 
atiharati | ati + har + a: 1. carries over; 2. brings. 
atihari | aor. of atiharati: carried; brought. 
atīta | adj.: past; gone by. (m.), the past. 
atīva | ind.: very much. 
ato | ind.: hence; therefore. 
atta | masc.: soul; oneself. 
attakāma | masc.: love of self. 
attakilamatha | masc.: self-mortification. 
attagutta | adj.: self-guarded. 
attagutti | fem.: self-care. 
attaghañña | neut.: self-destruction. 
attaja | adj.: proceeding from oneself. (m.), a son. 
attadattha | masc.: one's own welfare. 
attadanta | adj.: self-restrained. 
attadiṭṭhi | fem.: speculation about the soul. 
attadīpa | adj.: relying on oneself. 
attaniya | adj.: belonging to the self. 
attantapa | adj.: self-mortifying. 
attapaccakkha | adj.: self-witnessed. 
attapaṭilābha | masc.: acquisition of a personality. 
attabhāva | masc.: personality; individuality. 
attamana | adj.: delighted; glad. 
attamanatā | fem.: joy; pleasure. 
attavadha | masc.: self-destruction; suicide. 
attavāda | masc.: the theory of soul. 
attasambhava | adj.: originating from one's self. 
attahita | neut.: personal welfare. 
attahetu | ind.: for one's own sake. 
attāṇa | adj.: without protection. 
attmanatā | fem.: joy; pleasure. 
attha | pres. 2nd plu. of atthi.: pres. 2nd plu. of atthi. 
atthaṁ carati |: works for welfare. 
atthakathā | fem.: explanation; exposition; a commentary. 
atthakara | adj.: beneficial. 
atthakāma | adj.: well-wishing. 
atthakusala | adj.: clever in finding what is beneficial; clever in exposition. 
atthakkhāyī | adj.: showing what is profitable. 
atthagama | masc.: setting down; extinction. 
atthaṅgama | masc.: setting down. 
atthacara | adj.: doing good; busy in the interest of others. 
atthacariyā | fem.: doing good. 
atthaññū | adj.: one who knows the meaning or what is good. 
atthata | pp. of attharati: spread over with. 
atthadassī | adj.: intent upon the good. 
atthabhañjaka | adj.: destroying the welfare. 
atthara | masc.: a rug; a carpet. 
attharaka | masc.: one who spreads over. 
attharaṇa | neut.: a covering; a bed-sheet. 
attharati | ā + thar + a: spreads; lays out. 
attharāpeti | caus. of attharati: causes to be spread. 
atthari | aor. of attharati: spread; laid out. 
atthavasa | masc.: reason; use. 
atthavādī | masc.: one who speaks good. 
atthāya | dat. of attha: for the sake of, Kilamatthāya = what for? 
atthāra | masc.: spreading out. 
atthāraka | masc.: one who spreads out. 
atthi | as + a + ti: to be; to exist. 
atthika | adj.: desirous of; seeking for. 
atthitā | fem.: existence; the fact of being present. 
atthibhāva | masc.: existence; the fact of being present. 
atthiya | adj.: desirous of; seeking for. 
atthī | adj.: desirous of; seeking for. 
atthu | imper. of atthi: be it so. 
atra | adverb: here. 
atraja | adj.: born from oneself. (m.), a son. 
atrajā | fem.: a daughter. 
atriccha | adj.: very greedy. 
atricchatā | fem.: excessive greed. 
atricchā | fem.: excessive greed. 
atha | ind.: then; and also. 
atha ca pana | ind.: and yet. 
atha vā | ind.: or. 
atho | ind.: then; and also. 
adaka | adj.: eater. 
adati | ad + a: eats. 
adadi | aor. of dadāti: gave; offered; allowed; granted; handed over. 
adana | neut. & masc.: boiled rice. (nt.), eating. 
adassana | neut.: absence; disappearance. 
